prediction, timestamp 
sitting,1494404697352
sitting,1494404698720
sitting,1494404700215
walking downstairs,1494404701722
walking downstairs,1494404703228
walking,1494404704759
walking downstairs,1494404706228
walking downstairs,1494404707729
walking downstairs,1494404709205
walking downstairs,1494404710700
walking upstairs,1494404712210
walking downstairs,1494404713717
walking downstairs,1494404715212
walking downstairs,1494404716704
walking downstairs,1494404718209
walking downstairs,1494404719738
walking downstairs,1494404721219
walking downstairs,1494404722703
walking downstairs,1494404724209
walking downstairs,1494404725690
walking downstairs,1494404727197
walking downstairs,1494404728749
walking downstairs,1494404730207
walking downstairs,1494404731722
walking downstairs,1494404733206
walking downstairs,1494404734700
walking downstairs,1494404736215
walking downstairs,1494404737727
walking downstairs,1494404739209
walking downstairs,1494404740716
walking downstairs,1494404742208
walking downstairs,1494404743703
walking downstairs,1494404745251
walking downstairs,1494404746722
walking downstairs,1494404748206
walking downstairs,1494404749707
walking downstairs,1494404751197
walking downstairs,1494404752700
walking downstairs,1494404754210
walking downstairs,1494404755702
walking downstairs,1494404757214
walking downstairs,1494404758713
walking downstairs,1494404760203
walking downstairs,1494404761735
walking downstairs,1494404763213
walking downstairs,1494404764712
walking downstairs,1494404766213
walking downstairs,1494404767707
walking downstairs,1494404769200
walking downstairs,1494404770710
walking downstairs,1494404772217
walking downstairs,1494404773704
walking downstairs,1494404775209
sitting,1494404776697
sitting,1494404778243
sitting,1494404779720
sitting,1494404781201
sitting,1494404782716
sitting,1494404784200
sitting,1494404785710
sitting,1494404787232
sitting,1494404788691
sitting,1494404790207
walking downstairs,1494404791705
walking downstairs,1494404793208
walking downstairs,1494404794751
walking,1494404796219
sitting,1494404797720
sitting,1494404799208
walking downstairs,1494404800709
walking downstairs,1494404802215
sitting,1494404803706
walking downstairs,1494404805211
walking downstairs,1494404806717
walking downstairs,1494404808211
sitting,1494404809719
sitting,1494404811207
walking downstairs,1494404812732
walking downstairs,1494404814194
walking downstairs,1494404815731
sitting,1494404817195
walking downstairs,1494404818701
walking downstairs,1494404820179
walking downstairs,1494404821707
walking downstairs,1494404823196
walking downstairs,1494404824698
walking downstairs,1494404826202
walking downstairs,1494404827710
walking downstairs,1494404829246
sitting,1494404830706
walking downstairs,1494404832207
walking downstairs,1494404833710
sitting,1494404835198
sitting,1494404836697
sitting,1494404838209
walking downstairs,1494404839714
sitting,1494404841198
sitting,1494404842743
walking downstairs,1494404844198
sitting,1494404845708
walking downstairs,1494404847208
walking downstairs,1494404848701
walking downstairs,1494404850210
walking downstairs,1494404851709
walking downstairs,1494404853198
sitting,1494404854702
sitting,1494404856201
sitting,1494404857751
sitting,1494404859224
sitting,1494404860700
sitting,1494404862202
sitting,1494404863717
walking downstairs,1494404865202
walking downstairs,1494404866705
walking downstairs,1494404868205
walking downstairs,1494404869699
walking downstairs,1494404871262
walking downstairs,1494404872705
walking downstairs,1494404874205
walking downstairs,1494404875704
walking downstairs,1494404877195
walking downstairs,1494404878704
walking downstairs,1494404880200
walking downstairs,1494404881707
walking downstairs,1494404883201
walking downstairs,1494404884707
walking downstairs,1494404886270
walking downstairs,1494404887711
walking downstairs,1494404889214
sitting,1494404890769
walking downstairs,1494404892213
sitting,1494404893707
sitting,1494404895199
sitting,1494404896701
sitting,1494404898206
sitting,1494404899700
sitting,1494404901260
walking downstairs,1494404902709
walking downstairs,1494404904200
walking downstairs,1494404905701
sitting,1494404907197
sitting,1494404908711
sitting,1494404910208
sitting,1494404911722
walking downstairs,1494404913211
walking downstairs,1494404914714
walking downstairs,1494404916252
sitting,1494404917703
walking downstairs,1494404919215
sitting,1494404920712
walking,1494404922207
sitting,1494404923707
walking downstairs,1494404925196
walking downstairs,1494404926714
walking downstairs,1494404928205
walking downstairs,1494404929706
sitting,1494404931195
sitting,1494404932749
sitting,1494404934208
sitting,1494404935707
walking,1494404937198
walking downstairs,1494404938716
walking downstairs,1494404940198
walking downstairs,1494404941710
walking downstairs,1494404943193
walking downstairs,1494404944714
walking downstairs,1494404946225
walking downstairs,1494404947747
sitting,1494404949219
sitting,1494404950701
sitting,1494404952196
sitting,1494404953715
sitting,1494404955210
sitting,1494404958320
sitting,1494404959687
walking downstairs,1494404961207
walking downstairs,1494404962710
walking downstairs,1494404964204
sitting,1494404965760
walking downstairs,1494404967196
walking downstairs,1494404968709
walking downstairs,1494404970190
walking downstairs,1494404971697
walking downstairs,1494404973201
walking downstairs,1494404974696
walking downstairs,1494404976205
walking downstairs,1494404977710
walking downstairs,1494404979195
sitting,1494404980694
sitting,1494404982260
sitting,1494404983718
sitting,1494404985196
sitting,1494404986713
sitting,1494404988205
sitting,1494404989699
sitting,1494404991195
sitting,1494404992710
sitting,1494404994200
sitting,1494404995708
sitting,1494404997192
sitting,1494404998758
sitting,1494405000197
sitting,1494405001704
sitting,1494405003194
sitting,1494405004704
sitting,1494405006213
sitting,1494405007696
sitting,1494405009206
sitting,1494405010704
sitting,1494405012209
sitting,1494405013709
sitting,1494405015199
sitting,1494405016762
sitting,1494405018199
sitting,1494405019704
sitting,1494405021199
walking downstairs,1494405022707
sitting,1494405024193
sitting,1494405025705
sitting,1494405027199
sitting,1494405028710
sitting,1494405030179
sitting,1494405031713
sitting,1494405033206
sitting,1494405034764
sitting,1494405036215
sitting,1494405037707
sitting,1494405039212
sitting,1494405040702
sitting,1494405042212
sitting,1494405043699
sitting,1494405045205
sitting,1494405047115
sitting,1494405048206
sitting,1494405049733
sitting,1494405051213
sitting,1494405052762
sitting,1494405054205
sitting,1494405055703
sitting,1494405057705
sitting,1494405058687
sitting,1494405060222
sitting,1494405061708
sitting,1494405063214
sitting,1494405064709
sitting,1494405066205
sitting,1494405068021
sitting,1494405069208
sitting,1494405071871
sitting,1494405072206
walking,1494405073709
walking downstairs,1494405075218
walking downstairs,1494405076764
walking downstairs,1494405078926
walking downstairs,1494405079714
walking downstairs,1494405081204
walking downstairs,1494405082711
walking downstairs,1494405084208
walking downstairs,1494405085712
walking downstairs,1494405087207
walking downstairs,1494405088701
walking,1494405090234
walking downstairs,1494405091732
walking downstairs,1494405093212
walking downstairs,1494405094713
walking downstairs,1494405096262
walking downstairs,1494405097737
walking downstairs,1494405099204
walking downstairs,1494405100726
walking downstairs,1494405102205
walking downstairs,1494405103703
walking downstairs,1494405105231
walking downstairs,1494405106708
walking downstairs,1494405108207
walking downstairs,1494405109717
walking downstairs,1494405111212
walking,1494405112714
walking downstairs,1494405114235
walking downstairs,1494405115773
walking downstairs,1494405117207
walking downstairs,1494405118711
walking downstairs,1494405120231
walking downstairs,1494405121722
walking downstairs,1494405123202
walking downstairs,1494405124707
walking downstairs,1494405126206
walking downstairs,1494405127718
walking downstairs,1494405129206
walking downstairs,1494405130714
walking downstairs,1494405132212
