timestamp, latitude, longitude, accuracy, UUID 
1494446081205,48.1569654,11.5675391,20.573999404907227,,903d185fccf839df
1494446085236,48.1566402,11.5674067,48,,903d185fccf839df
1494446086233,48.1568585,11.5673555,16,,903d185fccf839df
1494446087232,48.1568579,11.5673629,16,,903d185fccf839df
1494446088232,48.1568551,11.5673689,16,,903d185fccf839df
1494446089232,48.1568569,11.5673665,16,,903d185fccf839df
1494446090232,48.156857,11.5673664,16,,903d185fccf839df
1494446091232,48.156857,11.5673664,16,,903d185fccf839df
1494446092232,48.156857,11.5673664,16,,903d185fccf839df
1494446093232,48.1568878,11.5673241,16,,903d185fccf839df
1494446094232,48.1568878,11.567324,16,,903d185fccf839df
1494446095249,48.1568878,11.567324,6,,903d185fccf839df
1494446096249,48.1569075,11.5673191,6,,903d185fccf839df
1494446097000,48.1569076,11.5673191,6,,903d185fccf839df
1494446098000,48.1569232,11.5673322,6,,903d185fccf839df
1494446099000,48.1569344,11.567334,6,,903d185fccf839df
1494446100000,48.1569497,11.5673398,6,,903d185fccf839df
1494446101000,48.1569498,11.5673398,8,,903d185fccf839df
1494446102000,48.1569742,11.5673524,8,,903d185fccf839df
1494446103000,48.1569755,11.5673787,8,,903d185fccf839df
1494446104000,48.1569755,11.5673789,8,,903d185fccf839df
1494446105000,48.1569721,11.5674135,6,,903d185fccf839df
1494446106000,48.1569775,11.5674284,8,,903d185fccf839df
1494446107000,48.1569775,11.5674286,8,,903d185fccf839df
1494446108000,48.1569875,11.5674562,8,,903d185fccf839df
1494446109000,48.1569972,11.5674775,8,,903d185fccf839df
1494446110000,48.1570123,11.5675044,8,,903d185fccf839df
1494446111000,48.1570324,11.5675397,8,,903d185fccf839df
1494446112000,48.1570471,11.5675622,8,,903d185fccf839df
1494446113000,48.1570471,11.5675622,8,,903d185fccf839df
1494446114000,48.1570876,11.5676321,8,,903d185fccf839df
1494446115000,48.1571055,11.5676475,8,,903d185fccf839df
1494446116000,48.1571208,11.5676591,8,,903d185fccf839df
1494446117000,48.1571332,11.5676619,8,,903d185fccf839df
1494446118000,48.1571406,11.5676677,8,,903d185fccf839df
1494446119000,48.1571502,11.5676752,8,,903d185fccf839df
1494446120000,48.157177,11.5676965,12,,903d185fccf839df
1494446121000,48.1571837,11.5677018,8,,903d185fccf839df
1494446122000,48.1571914,11.567708,12,,903d185fccf839df
1494446123000,48.1571997,11.5677148,12,,903d185fccf839df
1494446124000,48.1572102,11.567718,8,,903d185fccf839df
1494446125000,48.1572235,11.5677223,8,,903d185fccf839df
1494446126000,48.1572377,11.5677265,8,,903d185fccf839df
1494446127000,48.1572636,11.5677368,8,,903d185fccf839df
1494446128000,48.1572945,11.5677424,16,,903d185fccf839df
1494446129000,48.1573012,11.5677388,16,,903d185fccf839df
1494446130000,48.1573358,11.5677197,12,,903d185fccf839df
1494446131000,48.1573701,11.5676889,12,,903d185fccf839df
1494446132000,48.1573963,11.5676458,12,,903d185fccf839df
1494446133000,48.1574124,11.5675901,12,,903d185fccf839df
1494446134000,48.1574179,11.5675259,12,,903d185fccf839df
1494446135000,48.1574309,11.5674692,8,,903d185fccf839df
1494446136000,48.1574372,11.5674136,12,,903d185fccf839df
1494446137000,48.1574341,11.5673942,6,,903d185fccf839df
1494446138000,48.1574364,11.5673411,16,,903d185fccf839df
1494446139000,48.1574384,11.5673239,16,,903d185fccf839df
1494446140000,48.157437,11.5673071,16,,903d185fccf839df
1494446141000,48.1574344,11.567292,16,,903d185fccf839df
1494446142000,48.1574371,11.5672755,12,,903d185fccf839df
1494446143000,48.1574677,11.567236,8,,903d185fccf839df
1494446144000,48.1574677,11.5672359,8,,903d185fccf839df
1494446145000,48.1574715,11.5672253,8,,903d185fccf839df
1494446146000,48.1574715,11.5672252,12,,903d185fccf839df
1494446147000,48.1574715,11.5672252,12,,903d185fccf839df
1494446148000,48.1574715,11.5672252,8,,903d185fccf839df
1494446149000,48.1574715,11.5672252,16,,903d185fccf839df
1494446150000,48.1574715,11.5672252,8,,903d185fccf839df
1494446151000,48.15747,11.5672295,8,,903d185fccf839df
1494446152000,48.15747,11.5672295,6,,903d185fccf839df
1494446153000,48.1574663,11.5672379,8,,903d185fccf839df
1494446154000,48.1574624,11.5672434,12,,903d185fccf839df
1494446155000,48.1574624,11.5672434,12,,903d185fccf839df
1494446156000,48.1574624,11.5672434,6,,903d185fccf839df
1494446157000,48.1574624,11.5672434,12,,903d185fccf839df
1494446158000,48.1574604,11.5672428,12,,903d185fccf839df
1494446159000,48.1574573,11.567242,8,,903d185fccf839df
1494446160000,48.157455,11.5672527,12,,903d185fccf839df
1494446161000,48.1574521,11.5672633,12,,903d185fccf839df
1494446162000,48.1574471,11.5672757,12,,903d185fccf839df
1494446163000,48.1574438,11.5672923,16,,903d185fccf839df
1494446164000,48.1574407,11.5673129,8,,903d185fccf839df
1494446165000,48.1574387,11.5673303,12,,903d185fccf839df
1494446166000,48.1574397,11.5673888,12,,903d185fccf839df
1494446167000,48.1574397,11.5673889,12,,903d185fccf839df
1494446168000,48.1574397,11.5673889,8,,903d185fccf839df
1494446169000,48.1574397,11.5673889,8,,903d185fccf839df
1494446170000,48.1574366,11.5673811,12,,903d185fccf839df
1494446171000,48.1574321,11.5673712,16,,903d185fccf839df
1494446172000,48.1574271,11.5673563,12,,903d185fccf839df
1494446173000,48.1574236,11.5673381,16,,903d185fccf839df
1494446174000,48.1574191,11.5673137,16,,903d185fccf839df
1494446175000,48.15741,11.5672633,16,,903d185fccf839df
1494446176000,48.1573985,11.5672418,12,,903d185fccf839df
1494446177000,48.157383,11.5671906,12,,903d185fccf839df
1494446178000,48.1573987,11.5671471,12,,903d185fccf839df
1494446179000,48.1574042,11.5671396,12,,903d185fccf839df
