prediction, timestamp 
walking,1494342061301
walking upstairs,1494342062666
walking upstairs,1494342064180
walking downstairs,1494342065668
walking downstairs,1494342067188
walking downstairs,1494342068707
walking upstairs,1494342070169
walking upstairs,1494342071687
walking upstairs,1494342073164
walking upstairs,1494342074666
walking upstairs,1494342076169
walking upstairs,1494342077677
walking upstairs,1494342079181
walking upstairs,1494342080693
walking upstairs,1494342082179
walking upstairs,1494342083673
walking upstairs,1494342085171
walking downstairs,1494342086657
walking downstairs,1494342088173
walking downstairs,1494342089670
walking downstairs,1494342091159
walking downstairs,1494342092666
walking downstairs,1494342094160
walking downstairs,1494342095668
walking downstairs,1494342097194
walking downstairs,1494342098671
walking downstairs,1494342100172
walking downstairs,1494342101656
walking downstairs,1494342103167
walking downstairs,1494342104657
walking downstairs,1494342106169
walking upstairs,1494342107675
walking downstairs,1494342109178
walking downstairs,1494342110665
walking downstairs,1494342112205
walking downstairs,1494342113665
walking downstairs,1494342115185
walking downstairs,1494342116661
walking downstairs,1494342118172
walking downstairs,1494342119662
walking downstairs,1494342121159
walking downstairs,1494342122659
walking downstairs,1494342124162
walking downstairs,1494342125680
walking downstairs,1494342127165
sitting,1494342128695
sitting,1494342130176
walking,1494342131711
sitting,1494342133166
sitting,1494342134668
sitting,1494342136173
sitting,1494342137655
sitting,1494342139173
sitting,1494342140664
walking,1494342142174
walking,1494342143671
walking,1494342145197
sitting,1494342146671
walking,1494342148188
walking,1494342149663
walking downstairs,1494342151172
walking downstairs,1494342152662
walking downstairs,1494342154152
walking downstairs,1494342155648
walking downstairs,1494342157161
walking,1494342158663
sitting,1494342160179
sitting,1494342161687
sitting,1494342163209
walking downstairs,1494342164672
walking downstairs,1494342166177
walking downstairs,1494342167665
walking downstairs,1494342169180
walking downstairs,1494342170667
walking downstairs,1494342172156
sitting,1494342173658
sitting,1494342175167
sitting,1494342176651
sitting,1494342178190
sitting,1494342179658
walking downstairs,1494342181170
walking downstairs,1494342182710
walking downstairs,1494342184217
walking downstairs,1494342185821
sitting,1494342187154
sitting,1494342188637
sitting,1494342190147
sitting,1494342191668
sitting,1494342193166
sitting,1494342194710
sitting,1494342196177
sitting,1494342197682
walking downstairs,1494342199176
walking downstairs,1494342200672
walking downstairs,1494342202168
sitting,1494342203668
sitting,1494342205167
sitting,1494342206703
sitting,1494342208164
sitting,1494342209649
walking downstairs,1494342211166
walking downstairs,1494342212652
sitting,1494342214164
sitting,1494342215667
sitting,1494342217160
sitting,1494342218667
sitting,1494342220162
sitting,1494342221695
sitting,1494342223161
sitting,1494342224671
sitting,1494342226156
sitting,1494342227663
sitting,1494342229158
sitting,1494342230689
sitting,1494342232175
sitting,1494342233671
sitting,1494342235164
sitting,1494342236658
sitting,1494342238209
sitting,1494342239665
sitting,1494342241159
sitting,1494342242696
sitting,1494342244158
sitting,1494342245709
sitting,1494342248456
sitting,1494342248669
sitting,1494342250158
sitting,1494342252489
sitting,1494342253161
sitting,1494342254660
sitting,1494342256171
walking downstairs,1494342257700
walking downstairs,1494342259160
walking downstairs,1494342260666
walking downstairs,1494342262157
walking,1494342263655
sitting,1494342265181
walking downstairs,1494342266654
walking downstairs,1494342268161
sitting,1494342269671
sitting,1494342271160
sitting,1494342272665
sitting,1494342274163
sitting,1494342275704
walking downstairs,1494342277167
walking downstairs,1494342278667
walking downstairs,1494342281513
walking downstairs,1494342281675
walking downstairs,1494342283164
walking downstairs,1494342284663
walking downstairs,1494342286166
walking downstairs,1494342287670
sitting,1494342289171
walking downstairs,1494342290673
walking downstairs,1494342292168
walking downstairs,1494342293703
walking downstairs,1494342295168
walking downstairs,1494342297032
sitting,1494342298152
sitting,1494342299667
sitting,1494342301162
sitting,1494342302651
sitting,1494342304176
sitting,1494342305658
sitting,1494342307169
sitting,1494342309259
sitting,1494342310163
sitting,1494342311700
sitting,1494342313169
sitting,1494342314754
walking downstairs,1494342316160
sitting,1494342317650
sitting,1494342319160
sitting,1494342320661
sitting,1494342322162
sitting,1494342323677
sitting,1494342325159
sitting,1494342326701
sitting,1494342328151
sitting,1494342329653
sitting,1494342331160
sitting,1494342332650
sitting,1494342334155
walking downstairs,1494342335660
walking downstairs,1494342337175
walking downstairs,1494342338669
walking downstairs,1494342340184
walking downstairs,1494342341715
sitting,1494342343172
sitting,1494342344665
sitting,1494342346181
sitting,1494342347665
sitting,1494342349172
sitting,1494342350666
sitting,1494342352165
sitting,1494342353657
sitting,1494342355156
sitting,1494342356709
walking downstairs,1494342358163
walking downstairs,1494342359673
sitting,1494342361170
sitting,1494342362668
walking downstairs,1494342364156
sitting,1494342365662
sitting,1494342367158
sitting,1494342368661
walking,1494342370161
walking downstairs,1494342371686
walking downstairs,1494342373217
walking downstairs,1494342374657
walking downstairs,1494342376160
walking downstairs,1494342377674
walking downstairs,1494342379171
walking downstairs,1494342380673
walking downstairs,1494342382165
walking downstairs,1494342383665
walking upstairs,1494342385169
walking downstairs,1494342386672
sitting,1494342388203
sitting,1494342389668
walking downstairs,1494342391171
