timestamp, light1, light2, light3, UUID 
1494342058221,4086,6206,4086,,903d185fccf839df
1494342059663,9265,6249,9265,,903d185fccf839df
1494342059841,8681,6236,8681,,903d185fccf839df
1494342059841,8681,6236,8681,,903d185fccf839df
1494342060051,9035,6207,9035,,903d185fccf839df
1494342060202,9914,6139,9914,,903d185fccf839df
1494342060202,9914,6139,9914,,903d185fccf839df
1494342060386,10018,6105,10018,,903d185fccf839df
1494342060386,10018,6105,10018,,903d185fccf839df
1494342060562,9961,6075,9961,,903d185fccf839df
1494342060562,9961,6075,9961,,903d185fccf839df
1494342060744,10829,6086,10829,,903d185fccf839df
1494342060744,10829,6086,10829,,903d185fccf839df
1494342060925,10939,6078,10939,,903d185fccf839df
1494342061104,9446,6099,9446,,903d185fccf839df
1494342061282,9627,6086,9627,,903d185fccf839df
1494342061282,9627,6086,9627,,903d185fccf839df
1494342061463,10053,6092,10053,,903d185fccf839df
1494342061463,10053,6092,10053,,903d185fccf839df
1494342061653,8804,6093,8804,,903d185fccf839df
1494342061653,8804,6093,8804,,903d185fccf839df
1494342061835,9609,6076,9609,,903d185fccf839df
1494342062002,10075,6081,10075,,903d185fccf839df
1494342062002,10075,6081,10075,,903d185fccf839df
1494342062184,8132,6117,8132,,903d185fccf839df
1494342062184,8132,6117,8132,,903d185fccf839df
1494342062365,9094,6089,9094,,903d185fccf839df
1494342062365,9094,6089,9094,,903d185fccf839df
1494342062543,9057,6096,9057,,903d185fccf839df
1494342062543,9057,6096,9057,,903d185fccf839df
1494342062723,8900,6102,8900,,903d185fccf839df
1494342062902,9874,6066,9874,,903d185fccf839df
1494342062902,9874,6066,9874,,903d185fccf839df
1494342063086,9013,6079,9013,,903d185fccf839df
1494342063086,9013,6079,9013,,903d185fccf839df
1494342063262,8255,6105,8255,,903d185fccf839df
1494342063262,8255,6105,8255,,903d185fccf839df
1494342063446,9563,6076,9563,,903d185fccf839df
1494342063446,9563,6076,9563,,903d185fccf839df
1494342063631,8585,6107,8585,,903d185fccf839df
1494342063803,8866,6096,8866,,903d185fccf839df
1494342063803,8866,6096,8866,,903d185fccf839df
1494342063986,9626,6068,9626,,903d185fccf839df
1494342063986,9626,6068,9626,,903d185fccf839df
1494342064162,8670,6084,8670,,903d185fccf839df
1494342064162,8670,6084,8670,,903d185fccf839df
1494342064346,8467,6087,8467,,903d185fccf839df
1494342064346,8467,6087,8467,,903d185fccf839df
1494342064525,9701,6066,9701,,903d185fccf839df
1494342064703,7786,6127,7786,,903d185fccf839df
1494342064703,7786,6127,7786,,903d185fccf839df
1494342064887,8468,6098,8468,,903d185fccf839df
1494342064887,8468,6098,8468,,903d185fccf839df
1494342065068,8991,6077,8991,,903d185fccf839df
1494342065068,8991,6077,8991,,903d185fccf839df
1494342065242,7367,6141,7367,,903d185fccf839df
1494342065242,7367,6141,7367,,903d185fccf839df
1494342065423,7921,6103,7921,,903d185fccf839df
1494342065602,8522,6091,8522,,903d185fccf839df
1494342065602,8522,6091,8522,,903d185fccf839df
1494342065782,7545,6136,7545,,903d185fccf839df
1494342065782,7545,6136,7545,,903d185fccf839df
1494342065967,8489,6089,8489,,903d185fccf839df
1494342065967,8489,6089,8489,,903d185fccf839df
1494342066144,8390,6082,8390,,903d185fccf839df
1494342066144,8390,6082,8390,,903d185fccf839df
1494342066324,7128,6127,7128,,903d185fccf839df
1494342066502,8641,6080,8641,,903d185fccf839df
1494342066502,8641,6080,8641,,903d185fccf839df
1494342066685,7567,6121,7567,,903d185fccf839df
1494342066685,7567,6121,7567,,903d185fccf839df
1494342066862,7617,6118,7617,,903d185fccf839df
1494342066862,7617,6118,7617,,903d185fccf839df
1494342067042,8340,6071,8340,,903d185fccf839df
1494342067042,8340,6071,8340,,903d185fccf839df
1494342067222,7662,6095,7662,,903d185fccf839df
1494342067404,6984,6125,6984,,903d185fccf839df
1494342067404,6984,6125,6984,,903d185fccf839df
1494342067584,8321,6082,8321,,903d185fccf839df
1494342067584,8321,6082,8321,,903d185fccf839df
1494342067762,6224,6175,6224,,903d185fccf839df
1494342067762,6224,6175,6224,,903d185fccf839df
1494342067946,7695,6104,7695,,903d185fccf839df
1494342067946,7695,6104,7695,,903d185fccf839df
1494342068124,8025,6078,8025,,903d185fccf839df
1494342068302,6212,6161,6212,,903d185fccf839df
1494342068302,6212,6161,6212,,903d185fccf839df
1494342068490,7425,6111,7425,,903d185fccf839df
1494342068490,7425,6111,7425,,903d185fccf839df
1494342068662,8383,6088,8383,,903d185fccf839df
1494342068662,8383,6088,8383,,903d185fccf839df
1494342068843,6463,6172,6463,,903d185fccf839df
1494342068843,6463,6172,6463,,903d185fccf839df
1494342069024,8056,6094,8056,,903d185fccf839df
1494342069204,8126,6082,8126,,903d185fccf839df
1494342069204,8126,6082,8126,,903d185fccf839df
1494342069386,6668,6153,6668,,903d185fccf839df
1494342069386,6668,6153,6668,,903d185fccf839df
1494342069564,7724,6106,7724,,903d185fccf839df
1494342069564,7724,6106,7724,,903d185fccf839df
1494342069745,7512,6124,7512,,903d185fccf839df
1494342069745,7512,6124,7512,,903d185fccf839df
1494342069923,6594,6169,6594,,903d185fccf839df
1494342069923,6594,6169,6594,,903d185fccf839df
1494342070109,8196,6094,8196,,903d185fccf839df
1494342070287,7750,6104,7750,,903d185fccf839df
1494342070287,7750,6104,7750,,903d185fccf839df
1494342070463,7121,6130,7121,,903d185fccf839df
1494342070463,7121,6130,7121,,903d185fccf839df
1494342070644,8339,6094,8339,,903d185fccf839df
1494342070644,8339,6094,8339,,903d185fccf839df
1494342070823,6969,6135,6969,,903d185fccf839df
1494342071003,7223,6113,7223,,903d185fccf839df
1494342071003,7223,6113,7223,,903d185fccf839df
1494342071183,8034,6065,8034,,903d185fccf839df
1494342071183,8034,6065,8034,,903d185fccf839df
1494342071362,7588,6078,7588,,903d185fccf839df
1494342071362,7588,6078,7588,,903d185fccf839df
1494342071544,6996,6107,6996,,903d185fccf839df
1494342071544,6996,6107,6996,,903d185fccf839df
1494342071723,8744,6064,8744,,903d185fccf839df
1494342071902,6270,6162,6270,,903d185fccf839df
1494342071902,6270,6162,6270,,903d185fccf839df
1494342072089,7253,6107,7253,,903d185fccf839df
1494342072089,7253,6107,7253,,903d185fccf839df
1494342072267,8225,6025,8225,,903d185fccf839df
1494342072267,8225,6025,8225,,903d185fccf839df
