timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1494342059677,24.399999618530273,-10.90000057220459,-17.600000381469727,31.998906355289243,,903d185fccf839df
1494342059947,22,-11.199999809265137,-21,32.410492048286024,,903d185fccf839df
1494342059997,21.899999618530273,-11.199999809265137,-21.600000381469727,32.73545491114712,,903d185fccf839df
1494342060097,21.600000381469727,-10,-22.5,32.75377883658879,,903d185fccf839df
1494342060199,20,-9,-23.399999618530273,32.0711708167724,,903d185fccf839df
1494342060268,18.600000381469727,-8.100000381469727,-23.700000762939453,31.19711675281812,,903d185fccf839df
1494342060316,17.600000381469727,-7.800000190734863,-24,30.76686551686587,,903d185fccf839df
1494342060373,16.700000762939453,-7.400000095367432,-24.600000381469727,30.640007359078023,,903d185fccf839df
1494342060387,16.399999618530273,-7.200000286102295,-24.700000762939453,30.510490364427643,,903d185fccf839df
1494342060446,15.90000057220459,-6.599999904632568,-25.100000381469727,30.436491587264154,,903d185fccf839df
1494342060486,16,-6,-24.899999618530273,30.19950346885897,,903d185fccf839df
1494342060517,16.100000381469727,-5.599999904632568,-24.899999618530273,30.175818637466726,,903d185fccf839df
1494342060577,16.30000114440918,-4.700000286102295,-25,30.212249751035106,,903d185fccf839df
1494342060605,16.399999618530273,-4.200000286102295,-25.100000381469727,30.329853494040666,,903d185fccf839df
1494342060657,16.899999618530273,-3.200000047683716,-25,30.34551014691226,,903d185fccf839df
1494342060666,16.899999618530273,-3.1000001430511475,-25,30.3351279206453,,903d185fccf839df
1494342060718,17.30000114440918,-2.200000047683716,-25,30.481634457736806,,903d185fccf839df
1494342060766,17.700000762939453,-1.3000000715255737,-25.100000381469727,30.740690444499695,,903d185fccf839df
1494342060788,17.80000114440918,-1,-25.30000114440918,30.950446115461627,,903d185fccf839df
1494342060858,17.700000762939453,-0.6000000238418579,-25.5,31.04673958851082,,903d185fccf839df
1494342060879,17.700000762939453,-0.5,-25.600000381469727,31.127159932271667,,903d185fccf839df
1494342060931,17.399999618530273,-0.6000000238418579,-25.700000762939453,31.042068721847183,,903d185fccf839df
1494342060967,17.100000381469727,-1.100000023841858,-25.80000114440918,30.971924050401682,,903d185fccf839df
1494342060997,16.80000114440918,-1.600000023841858,-25.700000762939453,30.745570456900953,,903d185fccf839df
1494342061057,16.399999618530273,-3,-25.5,30.466538882109305,,903d185fccf839df
1494342061087,16.30000114440918,-3.700000047683716,-25.30000114440918,30.3227657278103,,903d185fccf839df
1494342061118,16.30000114440918,-4.300000190734863,-25.200000762939453,30.31864234592227,,903d185fccf839df
