timestamp, light1, light2, light3, UUID 
1497236289499,24,8186,24,,903d185fccf839df
1497236289499,24,8186,24,,903d185fccf839df
1497236289674,28,8277,28,,903d185fccf839df
1497236289854,28,8277,28,,903d185fccf839df
1497236289854,28,8277,28,,903d185fccf839df
1497236289854,28,8277,28,,903d185fccf839df
1497236290058,29,8316,29,,903d185fccf839df
1497236290210,26,8234,26,,903d185fccf839df
1497236290210,26,8234,26,,903d185fccf839df
1497236290391,24,8362,24,,903d185fccf839df
1497236290391,24,8362,24,,903d185fccf839df
1497236290569,26,8029,26,,903d185fccf839df
1497236290569,26,8029,26,,903d185fccf839df
1497236290760,26,8234,26,,903d185fccf839df
1497236290760,26,8234,26,,903d185fccf839df
1497236290931,28,8277,28,,903d185fccf839df
1497236291117,27,8083,27,,903d185fccf839df
1497236291117,27,8083,27,,903d185fccf839df
1497236291292,26,8234,26,,903d185fccf839df
1497236291292,26,8234,26,,903d185fccf839df
1497236291470,24,8186,24,,903d185fccf839df
1497236291650,24,8186,24,,903d185fccf839df
1497236291829,26,8234,26,,903d185fccf839df
1497236292013,26,8029,26,,903d185fccf839df
1497236292013,26,8029,26,,903d185fccf839df
1497236292190,26,8234,26,,903d185fccf839df
1497236292190,26,8234,26,,903d185fccf839df
1497236292370,26,8234,26,,903d185fccf839df
1497236292370,26,8234,26,,903d185fccf839df
1497236292550,26,8234,26,,903d185fccf839df
1497236292550,26,8234,26,,903d185fccf839df
1497236292729,26,8234,26,,903d185fccf839df
1497236292911,28,8277,28,,903d185fccf839df
1497236293090,27,8083,27,,903d185fccf839df
1497236293273,27,8083,27,,903d185fccf839df
1497236293633,26,8029,26,,903d185fccf839df
1497236293990,27,7889,27,,903d185fccf839df
1497236294170,27,8083,27,,903d185fccf839df
1497236294170,27,8083,27,,903d185fccf839df
1497236294350,27,8083,27,,903d185fccf839df
1497236294350,27,8083,27,,903d185fccf839df
1497236294530,29,7649,29,,903d185fccf839df
1497236294530,29,7649,29,,903d185fccf839df
1497236294710,28,7763,28,,903d185fccf839df
1497236294890,26,7695,26,,903d185fccf839df
1497236294890,26,7695,26,,903d185fccf839df
1497236295074,28,7763,28,,903d185fccf839df
1497236295074,28,7763,28,,903d185fccf839df
1497236295250,29,7649,29,,903d185fccf839df
1497236295250,29,7649,29,,903d185fccf839df
1497236295430,26,7695,26,,903d185fccf839df
1497236295611,28,7297,28,,903d185fccf839df
1497236295611,28,7297,28,,903d185fccf839df
1497236295790,29,7210,29,,903d185fccf839df
1497236295790,29,7210,29,,903d185fccf839df
1497236295970,26,7394,26,,903d185fccf839df
1497236295970,26,7394,26,,903d185fccf839df
1497236296164,26,7394,26,,903d185fccf839df
1497236296164,26,7394,26,,903d185fccf839df
1497236296342,28,7297,28,,903d185fccf839df
1497236296512,26,8234,26,,903d185fccf839df
1497236296512,26,8234,26,,903d185fccf839df
1497236296690,31,7056,31,,903d185fccf839df
1497236296869,28,6809,28,,903d185fccf839df
1497236296869,28,6809,28,,903d185fccf839df
1497236296869,28,6809,28,,903d185fccf839df
1497236297051,28,6809,28,,903d185fccf839df
1497236297051,28,6809,28,,903d185fccf839df
1497236297229,28,6809,28,,903d185fccf839df
1497236297229,28,6809,28,,903d185fccf839df
1497236297409,29,6969,29,,903d185fccf839df
1497236297591,30,6749,30,,903d185fccf839df
1497236297591,30,6749,30,,903d185fccf839df
1497236297770,29,6595,29,,903d185fccf839df
1497236297770,29,6595,29,,903d185fccf839df
1497236297954,28,6809,28,,903d185fccf839df
1497236297954,28,6809,28,,903d185fccf839df
1497236298131,30,6749,30,,903d185fccf839df
1497236298310,30,6749,30,,903d185fccf839df
1497236298310,30,6749,30,,903d185fccf839df
1497236298491,31,6693,31,,903d185fccf839df
1497236298491,31,6693,31,,903d185fccf839df
1497236298669,31,6693,31,,903d185fccf839df
1497236298669,31,6693,31,,903d185fccf839df
1497236298850,31,6841,31,,903d185fccf839df
1497236298850,31,6841,31,,903d185fccf839df
1497236299030,31,6841,31,,903d185fccf839df
1497236299216,30,6749,30,,903d185fccf839df
1497236299216,30,6749,30,,903d185fccf839df
1497236299390,29,6969,29,,903d185fccf839df
1497236299390,29,6969,29,,903d185fccf839df
1497236299572,28,6648,28,,903d185fccf839df
1497236299754,29,6969,29,,903d185fccf839df
1497236299931,29,7210,29,,903d185fccf839df
1497236300111,27,7122,27,,903d185fccf839df
1497236300470,29,7210,29,,903d185fccf839df
1497236300470,29,7210,29,,903d185fccf839df
1497236300470,29,7210,29,,903d185fccf839df
1497236300652,28,7473,28,,903d185fccf839df
1497236300652,28,7473,28,,903d185fccf839df
1497236300831,28,7473,28,,903d185fccf839df
1497236301011,30,7290,30,,903d185fccf839df
1497236301011,30,7290,30,,903d185fccf839df
1497236301196,27,7122,27,,903d185fccf839df
1497236301196,27,7122,27,,903d185fccf839df
1497236301370,27,7578,27,,903d185fccf839df
1497236301370,27,7578,27,,903d185fccf839df
1497236301554,26,7210,26,,903d185fccf839df
1497236301554,26,7210,26,,903d185fccf839df
1497236301730,25,7307,25,,903d185fccf839df
1497236301912,29,7377,29,,903d185fccf839df
1497236301912,29,7377,29,,903d185fccf839df
1497236302091,30,7712,30,,903d185fccf839df
1497236302091,30,7712,30,,903d185fccf839df
1497236302271,31,7450,31,,903d185fccf839df
1497236302271,31,7450,31,,903d185fccf839df
1497236302451,29,7824,29,,903d185fccf839df
1497236302451,29,7824,29,,903d185fccf839df
1497236302630,28,7473,28,,903d185fccf839df
1497236302810,26,7695,26,,903d185fccf839df
1497236302810,26,7695,26,,903d185fccf839df
1497236303019,26,7695,26,,903d185fccf839df
1497236303175,29,7824,29,,903d185fccf839df
1497236303175,29,7824,29,,903d185fccf839df
1497236303354,26,7695,26,,903d185fccf839df
1497236303531,28,7947,28,,903d185fccf839df
1497236303531,28,7947,28,,903d185fccf839df
1497236303710,30,7712,30,,903d185fccf839df
1497236303710,30,7712,30,,903d185fccf839df
1497236303893,29,8132,29,,903d185fccf839df
1497236303893,29,8132,29,,903d185fccf839df
1497236304072,30,8175,30,,903d185fccf839df
1497236304072,30,8175,30,,903d185fccf839df
1497236304251,29,8132,29,,903d185fccf839df
1497236304251,29,8132,29,,903d185fccf839df
1497236304432,29,7649,29,,903d185fccf839df
1497236304628,30,8000,30,,903d185fccf839df
1497236304628,30,8000,30,,903d185fccf839df
1497236304790,27,8083,27,,903d185fccf839df
1497236304790,27,8083,27,,903d185fccf839df
1497236304972,26,8234,26,,903d185fccf839df
1497236304972,26,8234,26,,903d185fccf839df
1497236305151,26,8234,26,,903d185fccf839df
1497236305151,26,8234,26,,903d185fccf839df
1497236305333,26,8029,26,,903d185fccf839df
1497236305512,28,7763,28,,903d185fccf839df
1497236305512,28,7763,28,,903d185fccf839df
1497236305691,27,8083,27,,903d185fccf839df
1497236305691,27,8083,27,,903d185fccf839df
1497236305872,28,7947,28,,903d185fccf839df
1497236305872,28,7947,28,,903d185fccf839df
1497236306051,29,8132,29,,903d185fccf839df
1497236306051,29,8132,29,,903d185fccf839df
1497236306231,27,7889,27,,903d185fccf839df
1497236306412,27,7889,27,,903d185fccf839df
1497236306412,27,7889,27,,903d185fccf839df
1497236306592,29,8132,29,,903d185fccf839df
1497236306592,29,8132,29,,903d185fccf839df
1497236306772,30,8000,30,,903d185fccf839df
1497236306772,30,8000,30,,903d185fccf839df
1497236306953,29,7824,29,,903d185fccf839df
1497236306953,29,7824,29,,903d185fccf839df
1497236307131,28,7947,28,,903d185fccf839df
1497236307311,27,8083,27,,903d185fccf839df
1497236307311,27,8083,27,,903d185fccf839df
1497236307493,29,7824,29,,903d185fccf839df
1497236307493,29,7824,29,,903d185fccf839df
1497236307670,28,7947,28,,903d185fccf839df
1497236307670,28,7947,28,,903d185fccf839df
1497236307851,30,8000,30,,903d185fccf839df
1497236307851,30,8000,30,,903d185fccf839df
1497236308031,31,7210,31,,903d185fccf839df
1497236308212,29,7649,29,,903d185fccf839df
1497236308212,29,7649,29,,903d185fccf839df
1497236308391,29,7649,29,,903d185fccf839df
1497236308391,29,7649,29,,903d185fccf839df
1497236308571,29,7649,29,,903d185fccf839df
1497236308571,29,7649,29,,903d185fccf839df
1497236308750,29,7649,29,,903d185fccf839df
1497236308750,29,7649,29,,903d185fccf839df
1497236308931,32,7136,32,,903d185fccf839df
1497236309111,32,6642,32,,903d185fccf839df
1497236309111,32,6642,32,,903d185fccf839df
1497236309298,30,7290,30,,903d185fccf839df
1497236309298,30,7290,30,,903d185fccf839df
1497236309471,30,6902,30,,903d185fccf839df
1497236309471,30,6902,30,,903d185fccf839df
1497236309650,31,7056,31,,903d185fccf839df
1497236309832,30,7290,30,,903d185fccf839df
1497236309832,30,7290,30,,903d185fccf839df
1497236310011,30,6902,30,,903d185fccf839df
1497236310011,30,6902,30,,903d185fccf839df
1497236310192,36,5366,36,,903d185fccf839df
