timestamp, light1, light2, light3, UUID 
1498060763511,4707,8391,4707,,903d185fccf839df
1498060763680,4905,8490,4905,,903d185fccf839df
1498060763871,5280,8496,5280,,903d185fccf839df
1498060763871,5280,8496,5280,,903d185fccf839df
1498060764046,5843,8366,5843,,903d185fccf839df
1498060764046,5843,8366,5843,,903d185fccf839df
1498060764216,5097,8420,5097,,903d185fccf839df
1498060764216,5097,8420,5097,,903d185fccf839df
1498060764399,5088,8328,5088,,903d185fccf839df
1498060764399,5088,8328,5088,,903d185fccf839df
1498060764576,5695,7825,5695,,903d185fccf839df
1498060764756,6026,8337,6026,,903d185fccf839df
1498060764756,6026,8337,6026,,903d185fccf839df
1498060764756,6026,8337,6026,,903d185fccf839df
1498060765116,10219,6883,10219,,903d185fccf839df
1498060765116,10219,6883,10219,,903d185fccf839df
1498060765298,10614,6879,10614,,903d185fccf839df
1498060765298,10614,6879,10614,,903d185fccf839df
1498060765476,8497,7608,8497,,903d185fccf839df
1498060765662,6895,8396,6895,,903d185fccf839df
1498060765662,6895,8396,6895,,903d185fccf839df
1498060765836,6899,8697,6899,,903d185fccf839df
1498060765836,6899,8697,6899,,903d185fccf839df
1498060766017,7184,8624,7184,,903d185fccf839df
1498060766017,7184,8624,7184,,903d185fccf839df
1498060766196,6670,8722,6670,,903d185fccf839df
1498060766196,6670,8722,6670,,903d185fccf839df
1498060766393,6917,8653,6917,,903d185fccf839df
1498060766556,6982,8710,6982,,903d185fccf839df
1498060766556,6982,8710,6982,,903d185fccf839df
1498060766742,6857,8740,6857,,903d185fccf839df
1498060766742,6857,8740,6857,,903d185fccf839df
1498060766917,6366,8784,6366,,903d185fccf839df
1498060766917,6366,8784,6366,,903d185fccf839df
1498060767096,6675,8762,6675,,903d185fccf839df
1498060767096,6675,8762,6675,,903d185fccf839df
1498060767280,6907,8729,6907,,903d185fccf839df
1498060767280,6907,8729,6907,,903d185fccf839df
1498060767457,6747,8735,6747,,903d185fccf839df
1498060767638,6956,8728,6956,,903d185fccf839df
1498060767638,6956,8728,6956,,903d185fccf839df
1498060767821,6762,8759,6762,,903d185fccf839df
1498060767821,6762,8759,6762,,903d185fccf839df
1498060767998,6171,8842,6171,,903d185fccf839df
1498060767998,6171,8842,6171,,903d185fccf839df
1498060768176,6185,8854,6185,,903d185fccf839df
1498060768359,6916,8795,6916,,903d185fccf839df
1498060768359,6916,8795,6916,,903d185fccf839df
1498060768536,6407,8765,6407,,903d185fccf839df
1498060768536,6407,8765,6407,,903d185fccf839df
1498060768716,6822,8732,6822,,903d185fccf839df
1498060768716,6822,8732,6822,,903d185fccf839df
1498060768898,6783,8793,6783,,903d185fccf839df
1498060768898,6783,8793,6783,,903d185fccf839df
1498060769079,6205,8869,6205,,903d185fccf839df
1498060769257,5927,8845,5927,,903d185fccf839df
1498060769257,5927,8845,5927,,903d185fccf839df
1498060769438,6697,8821,6697,,903d185fccf839df
1498060769438,6697,8821,6697,,903d185fccf839df
1498060769617,6429,8850,6429,,903d185fccf839df
1498060769617,6429,8850,6429,,903d185fccf839df
1498060769796,6589,8796,6589,,903d185fccf839df
1498060769796,6589,8796,6589,,903d185fccf839df
1498060769979,6805,8788,6805,,903d185fccf839df
1498060769979,6805,8788,6805,,903d185fccf839df
1498060770163,6443,8815,6443,,903d185fccf839df
1498060770337,6118,8859,6118,,903d185fccf839df
1498060770337,6118,8859,6118,,903d185fccf839df
1498060770517,6040,8830,6040,,903d185fccf839df
1498060770517,6040,8830,6040,,903d185fccf839df
1498060770698,6938,8766,6938,,903d185fccf839df
1498060770698,6938,8766,6938,,903d185fccf839df
1498060770876,6148,8819,6148,,903d185fccf839df
1498060771057,6264,8798,6264,,903d185fccf839df
1498060771057,6264,8798,6264,,903d185fccf839df
1498060771240,6619,8780,6619,,903d185fccf839df
1498060771240,6619,8780,6619,,903d185fccf839df
1498060771416,5941,8908,5941,,903d185fccf839df
1498060771416,5941,8908,5941,,903d185fccf839df
1498060771599,5523,8901,5523,,903d185fccf839df
1498060771599,5523,8901,5523,,903d185fccf839df
1498060771780,6027,8841,6027,,903d185fccf839df
1498060771957,6465,8799,6465,,903d185fccf839df
1498060771957,6465,8799,6465,,903d185fccf839df
1498060772138,5959,8831,5959,,903d185fccf839df
1498060772138,5959,8831,5959,,903d185fccf839df
1498060772329,6236,8760,6236,,903d185fccf839df
1498060772329,6236,8760,6236,,903d185fccf839df
1498060772496,6150,8808,6150,,903d185fccf839df
1498060772496,6150,8808,6150,,903d185fccf839df
1498060772680,5686,8893,5686,,903d185fccf839df
1498060772680,5686,8893,5686,,903d185fccf839df
1498060772860,5411,8864,5411,,903d185fccf839df
1498060773042,5387,8757,5387,,903d185fccf839df
1498060773042,5387,8757,5387,,903d185fccf839df
1498060773217,5185,8742,5185,,903d185fccf839df
1498060773217,5185,8742,5185,,903d185fccf839df
1498060773398,4601,8806,4601,,903d185fccf839df
1498060773398,4601,8806,4601,,903d185fccf839df
1498060773576,4282,8767,4282,,903d185fccf839df
1498060773576,4282,8767,4282,,903d185fccf839df
1498060773756,4327,8817,4327,,903d185fccf839df
1498060773938,4289,8869,4289,,903d185fccf839df
1498060773938,4289,8869,4289,,903d185fccf839df
1498060774116,4565,8844,4565,,903d185fccf839df
1498060774116,4565,8844,4565,,903d185fccf839df
1498060774297,5042,8818,5042,,903d185fccf839df
1498060774297,5042,8818,5042,,903d185fccf839df
1498060774476,5781,8828,5781,,903d185fccf839df
1498060774476,5781,8828,5781,,903d185fccf839df
1498060774659,5676,8856,5676,,903d185fccf839df
1498060774836,6157,8738,6157,,903d185fccf839df
1498060774836,6157,8738,6157,,903d185fccf839df
1498060775018,6117,8840,6117,,903d185fccf839df
1498060775018,6117,8840,6117,,903d185fccf839df
1498060775197,5862,8886,5862,,903d185fccf839df
1498060775197,5862,8886,5862,,903d185fccf839df
