prediction, timestamp 
sitting,1498460184885
sitting,1498460186271
sitting,1498460187767
sitting,1498460189322
sitting,1498460190753
sitting,1498460192264
walking downstairs,1498460193746
walking downstairs,1498460195290
walking downstairs,1498460196739
walking downstairs,1498460198258
walking downstairs,1498460199756
walking downstairs,1498460201289
walking downstairs,1498460202755
walking downstairs,1498460204246
walking downstairs,1498460205755
walking downstairs,1498460207257
walking downstairs,1498460208766
walking downstairs,1498460210259
walking downstairs,1498460211750
walking downstairs,1498460213257
walking downstairs,1498460214761
walking downstairs,1498460216292
walking downstairs,1498460217761
walking downstairs,1498460219253
walking downstairs,1498460220753
walking downstairs,1498460222255
walking downstairs,1498460223750
walking downstairs,1498460225275
walking downstairs,1498460226761
walking downstairs,1498460228251
walking downstairs,1498460229756
walking downstairs,1498460231266
walking downstairs,1498460232767
walking downstairs,1498460234247
walking downstairs,1498460235740
walking downstairs,1498460237247
walking downstairs,1498460238743
walking downstairs,1498460240247
walking downstairs,1498460241766
walking downstairs,1498460243270
walking downstairs,1498460244748
walking downstairs,1498460246260
walking downstairs,1498460247756
walking downstairs,1498460249232
walking downstairs,1498460250749
walking downstairs,1498460252245
walking downstairs,1498460253750
walking downstairs,1498460255252
walking downstairs,1498460256759
walking downstairs,1498460258273
walking downstairs,1498460259765
walking downstairs,1498460261255
walking downstairs,1498460262759
walking downstairs,1498460264247
walking downstairs,1498460265768
walking downstairs,1498460267251
walking downstairs,1498460268733
walking downstairs,1498460270259
walking downstairs,1498460271754
walking downstairs,1498460273245
walking downstairs,1498460274823
walking downstairs,1498460276266
walking,1498460277762
walking downstairs,1498460279249
walking downstairs,1498460280752
walking downstairs,1498460282233
walking downstairs,1498460283758
walking downstairs,1498460285260
walking downstairs,1498460286743
walking downstairs,1498460288257
walking downstairs,1498460289738
walking downstairs,1498460291239
walking downstairs,1498460292791
walking downstairs,1498460294236
walking downstairs,1498460295736
walking downstairs,1498460297239
walking downstairs,1498460298756
walking downstairs,1498460300256
walking downstairs,1498460301766
walking downstairs,1498460303258
walking downstairs,1498460304749
walking downstairs,1498460306251
walking downstairs,1498460307748
walking downstairs,1498460309294
walking downstairs,1498460310762
walking downstairs,1498460312263
walking downstairs,1498460313758
walking downstairs,1498460315255
walking downstairs,1498460316758
walking downstairs,1498460318265
walking downstairs,1498460319761
walking downstairs,1498460321248
walking downstairs,1498460322758
walking downstairs,1498460324295
walking downstairs,1498460325779
walking downstairs,1498460327251
walking downstairs,1498460328855
walking downstairs,1498460330254
walking downstairs,1498460331792
walking downstairs,1498460333247
walking downstairs,1498460334756
walking downstairs,1498460336241
walking downstairs,1498460337756
walking downstairs,1498460339250
walking downstairs,1498460340751
walking downstairs,1498460342290
walking downstairs,1498460343757
walking downstairs,1498460345267
walking downstairs,1498460346747
walking downstairs,1498460348270
walking downstairs,1498460349765
walking downstairs,1498460351253
walking downstairs,1498460352756
walking downstairs,1498460354270
walking downstairs,1498460355750
walking downstairs,1498460357241
walking downstairs,1498460358749
walking downstairs,1498460360306
walking downstairs,1498460361760
walking downstairs,1498460363249
walking upstairs,1498460364748
walking downstairs,1498460366255
walking downstairs,1498460367756
walking upstairs,1498460369249
walking upstairs,1498460370752
walking downstairs,1498460372247
walking downstairs,1498460373757
walking downstairs,1498460375299
walking downstairs,1498460376747
walking downstairs,1498460378263
walking downstairs,1498460379765
walking downstairs,1498460381271
walking downstairs,1498460382756
walking downstairs,1498460384251
walking downstairs,1498460385758
walking upstairs,1498460387260
walking downstairs,1498460388732
walking downstairs,1498460390288
walking downstairs,1498460391771
walking downstairs,1498460393250
walking downstairs,1498460394757
walking downstairs,1498460396254
walking downstairs,1498460397752
walking downstairs,1498460399240
walking downstairs,1498460400762
walking downstairs,1498460402263
walking downstairs,1498460403758
walking downstairs,1498460405257
walking downstairs,1498460406757
walking downstairs,1498460408349
walking downstairs,1498460409749
walking downstairs,1498460411266
walking downstairs,1498460412774
walking downstairs,1498460414251
walking downstairs,1498460415763
walking downstairs,1498460417264
walking downstairs,1498460418764
walking downstairs,1498460420245
walking downstairs,1498460421752
walking downstairs,1498460423247
walking downstairs,1498460424809
walking,1498460426293
walking downstairs,1498460427760
walking downstairs,1498460429257
walking downstairs,1498460430756
walking downstairs,1498460432254
walking downstairs,1498460433747
walking downstairs,1498460435254
walking downstairs,1498460436762
walking downstairs,1498460438262
walking downstairs,1498460439757
walking downstairs,1498460441255
walking downstairs,1498460442756
walking downstairs,1498460444297
walking downstairs,1498460445747
walking downstairs,1498460447259
walking downstairs,1498460448779
walking downstairs,1498460450245
