prediction, timestamp 
sitting,1495090671449
sitting,1495090672949
sitting,1495090674483
sitting,1495090675932
sitting,1495090677433
sitting,1495090679082
walking downstairs,1495090680521
walking downstairs,1495090681959
walking downstairs,1495090683441
walking downstairs,1495090684935
walking downstairs,1495090686440
walking downstairs,1495090687973
walking downstairs,1495090689451
walking downstairs,1495090690949
walking downstairs,1495090692429
walking downstairs,1495090693933
walking downstairs,1495090695433
sitting,1495090697002
sitting,1495090698432
sitting,1495090699978
sitting,1495090701443
sitting,1495090702943
sitting,1495090704428
sitting,1495090705940
sitting,1495090707439
sitting,1495090708960
walking downstairs,1495090710470
sitting,1495090711948
walking downstairs,1495090713436
sitting,1495090714937
sitting,1495090716452
sitting,1495090717941
sitting,1495090719440
walking,1495090720950
walking downstairs,1495090722435
sitting,1495090723980
sitting,1495090725426
sitting,1495090726941
sitting,1495090728427
sitting,1495090729942
sitting,1495090731429
sitting,1495090732964
sitting,1495090734429
sitting,1495090735978
sitting,1495090737440
sitting,1495090738928
sitting,1495090740432
walking,1495090741938
walking,1495090743428
sitting,1495090744946
sitting,1495090746431
sitting,1495090747972
sitting,1495090749439
sitting,1495090750935
sitting,1495090752430
sitting,1495090753937
sitting,1495090755440
sitting,1495090756932
sitting,1495090758439
sitting,1495090759978
sitting,1495090761425
sitting,1495090762957
sitting,1495090764420
sitting,1495090765934
sitting,1495090767423
sitting,1495090768943
sitting,1495090770423
sitting,1495090771967
sitting,1495090773517
sitting,1495090774943
sitting,1495090776432
sitting,1495090777949
sitting,1495090779427
sitting,1495090780934
sitting,1495090782418
sitting,1495090783966
sitting,1495090785455
sitting,1495090786945
sitting,1495090788439
sitting,1495090789934
sitting,1495090791431
sitting,1495090792940
sitting,1495090794439
walking downstairs,1495090795931
walking downstairs,1495090797464
walking downstairs,1495090799133
walking downstairs,1495090800443
walking downstairs,1495090801938
walking downstairs,1495090803424
walking downstairs,1495090804948
walking downstairs,1495090806449
walking downstairs,1495090807931
walking downstairs,1495090809436
walking downstairs,1495090810984
walking,1495090812432
sitting,1495090813946
sitting,1495090815429
sitting,1495090816910
sitting,1495090818406
sitting,1495090819939
walking downstairs,1495090821400
walking downstairs,1495090822911
sitting,1495090824405
sitting,1495090825907
sitting,1495090827487
sitting,1495090828935
sitting,1495090830430
sitting,1495090832148
sitting,1495090834319
sitting,1495090834927
sitting,1495090836429
sitting,1495090837948
sitting,1495090839442
sitting,1495090840982
sitting,1495090842435
sitting,1495090843949
sitting,1495090845437
sitting,1495090846931
sitting,1495090848425
sitting,1495090849932
sitting,1495090851432
sitting,1495090852987
sitting,1495090854428
sitting,1495090855947
sitting,1495090858896
sitting,1495090858981
sitting,1495090860430
sitting,1495090861921
sitting,1495090863449
sitting,1495090864938
sitting,1495090866456
sitting,1495090869086
sitting,1495090869429
sitting,1495090870958
sitting,1495090872440
sitting,1495090873933
sitting,1495090875456
sitting,1495090876947
sitting,1495090878471
sitting,1495090879990
sitting,1495090881428
sitting,1495090882945
