timestamp, light1, light2, light3, UUID 
1495279583669,49993,6113,49993,,903d185fccf839df
1495279607078,122152,5799,122152,,903d185fccf839df
1495279607265,133588,5610,133588,,903d185fccf839df
1495279607265,133588,5610,133588,,903d185fccf839df
1495279607265,133588,5610,133588,,903d185fccf839df
1495279607450,134384,5488,134384,,903d185fccf839df
1495279607450,134384,5488,134384,,903d185fccf839df
1495279607626,115069,5873,115069,,903d185fccf839df
1495279607796,103012,5978,103012,,903d185fccf839df
1495279607796,103012,5978,103012,,903d185fccf839df
1495279607972,104125,5978,104125,,903d185fccf839df
1495279607972,104125,5978,104125,,903d185fccf839df
1495279608152,104832,6129,104832,,903d185fccf839df
1495279608152,104832,6129,104832,,903d185fccf839df
1495279608352,83988,6042,83988,,903d185fccf839df
1495279608512,95688,6170,95688,,903d185fccf839df
1495279608512,95688,6170,95688,,903d185fccf839df
1495279608691,107775,5868,107775,,903d185fccf839df
1495279608691,107775,5868,107775,,903d185fccf839df
1495279608872,108528,6055,108528,,903d185fccf839df
1495279608872,108528,6055,108528,,903d185fccf839df
1495279609054,123186,5927,123186,,903d185fccf839df
1495279609054,123186,5927,123186,,903d185fccf839df
1495279609232,124482,5835,124482,,903d185fccf839df
1495279609232,124482,5835,124482,,903d185fccf839df
1495279609412,117609,5943,117609,,903d185fccf839df
1495279609594,116625,5904,116625,,903d185fccf839df
1495279609594,116625,5904,116625,,903d185fccf839df
1495279609771,126168,5892,126168,,903d185fccf839df
1495279609771,126168,5892,126168,,903d185fccf839df
1495279609952,122846,5991,122846,,903d185fccf839df
1495279609952,122846,5991,122846,,903d185fccf839df
1495279610132,134680,5781,134680,,903d185fccf839df
1495279610132,134680,5781,134680,,903d185fccf839df
1495279610311,133494,5776,133494,,903d185fccf839df
1495279610491,143562,5630,143562,,903d185fccf839df
1495279610491,143562,5630,143562,,903d185fccf839df
1495279610672,139053,5628,139053,,903d185fccf839df
1495279610672,139053,5628,139053,,903d185fccf839df
1495279610854,129135,5847,129135,,903d185fccf839df
1495279610854,129135,5847,129135,,903d185fccf839df
1495279611031,133472,5825,133472,,903d185fccf839df
1495279611031,133472,5825,133472,,903d185fccf839df
1495279611211,145411,5528,145411,,903d185fccf839df
1495279611396,143319,5505,143319,,903d185fccf839df
1495279611396,143319,5505,143319,,903d185fccf839df
1495279611571,140753,5430,140753,,903d185fccf839df
1495279611571,140753,5430,140753,,903d185fccf839df
1495279611753,139945,5385,139945,,903d185fccf839df
1495279611753,139945,5385,139945,,903d185fccf839df
1495279611935,127733,5647,127733,,903d185fccf839df
1495279611935,127733,5647,127733,,903d185fccf839df
1495279612112,140666,5443,140666,,903d185fccf839df
1495279612292,144986,5431,144986,,903d185fccf839df
1495279612292,144986,5431,144986,,903d185fccf839df
1495279612483,135595,5403,135595,,903d185fccf839df
1495279612483,135595,5403,135595,,903d185fccf839df
1495279612653,124396,5339,124396,,903d185fccf839df
1495279612653,124396,5339,124396,,903d185fccf839df
1495279612841,128942,5403,128942,,903d185fccf839df
1495279613013,118043,5572,118043,,903d185fccf839df
1495279613013,118043,5572,118043,,903d185fccf839df
1495279613192,134855,5366,134855,,903d185fccf839df
1495279613192,134855,5366,134855,,903d185fccf839df
1495279613374,134958,5380,134958,,903d185fccf839df
1495279613374,134958,5380,134958,,903d185fccf839df
1495279613559,48806,5545,48806,,903d185fccf839df
1495279613559,48806,5545,48806,,903d185fccf839df
1495279613734,125993,5434,125993,,903d185fccf839df
1495279613913,131739,5366,131739,,903d185fccf839df
1495279613913,131739,5366,131739,,903d185fccf839df
1495279614093,114844,5602,114844,,903d185fccf839df
1495279614093,114844,5602,114844,,903d185fccf839df
1495279614272,125475,5400,125475,,903d185fccf839df
1495279614272,125475,5400,125475,,903d185fccf839df
1495279614452,123631,5490,123631,,903d185fccf839df
1495279614452,123631,5490,123631,,903d185fccf839df
1495279614636,133967,5426,133967,,903d185fccf839df
1495279614636,133967,5426,133967,,903d185fccf839df
1495279614817,127846,5425,127846,,903d185fccf839df
1495279614994,116861,5605,116861,,903d185fccf839df
1495279614994,116861,5605,116861,,903d185fccf839df
1495279615176,122428,5573,122428,,903d185fccf839df
1495279615176,122428,5573,122428,,903d185fccf839df
1495279615353,145346,5435,145346,,903d185fccf839df
1495279615353,145346,5435,145346,,903d185fccf839df
1495279615533,136676,5390,136676,,903d185fccf839df
1495279615533,136676,5390,136676,,903d185fccf839df
1495279615719,137212,5440,137212,,903d185fccf839df
1495279615895,139522,5471,139522,,903d185fccf839df
1495279615895,139522,5471,139522,,903d185fccf839df
1495279616072,124400,5508,124400,,903d185fccf839df
1495279616072,124400,5508,124400,,903d185fccf839df
1495279616253,138230,5068,138230,,903d185fccf839df
1495279616253,138230,5068,138230,,903d185fccf839df
1495279616433,156557,5494,156557,,903d185fccf839df
1495279616433,156557,5494,156557,,903d185fccf839df
1495279616613,152053,5631,152053,,903d185fccf839df
1495279616792,144026,5124,144026,,903d185fccf839df
1495279616792,144026,5124,144026,,903d185fccf839df
1495279616972,145599,5260,145599,,903d185fccf839df
1495279616972,145599,5260,145599,,903d185fccf839df
1495279617153,125458,5639,125458,,903d185fccf839df
1495279617153,125458,5639,125458,,903d185fccf839df
1495279617333,127387,5366,127387,,903d185fccf839df
1495279617513,139475,5330,139475,,903d185fccf839df
1495279617513,139475,5330,139475,,903d185fccf839df
1495279617698,133916,5735,133916,,903d185fccf839df
