timestamp, latitude, longitude, accuracy, UUID 
1495595113324,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595116912,48.1439958,11.4950816,16,,903d185fccf839df
1495595117913,48.144001,11.4950744,16,,903d185fccf839df
1495595118913,48.1439993,11.4950662,16,,903d185fccf839df
1495595119911,48.1439851,11.4950455,6,,903d185fccf839df
1495595120911,48.143975,11.4950355,12,,903d185fccf839df
1495595121999,48.1439727,11.4950115,8,,903d185fccf839df
1495595122999,48.1439846,11.494995,8,,903d185fccf839df
1495595123999,48.1439969,11.4949815,12,,903d185fccf839df
1495595124999,48.144003,11.4949505,8,,903d185fccf839df
1495595125999,48.143999,11.4949205,8,,903d185fccf839df
1495595126999,48.1439717,11.4948548,8,,903d185fccf839df
1495595127999,48.1439703,11.49483,8,,903d185fccf839df
1495595128999,48.1439736,11.4948081,6,,903d185fccf839df
1495595129999,48.1439777,11.4947956,6,,903d185fccf839df
1495595130999,48.1439842,11.4947788,8,,903d185fccf839df
1495595131999,48.1439921,11.4947677,8,,903d185fccf839df
1495595132999,48.1439994,11.4947513,8,,903d185fccf839df
1495595133999,48.1440108,11.4947419,8,,903d185fccf839df
1495595134999,48.1440189,11.4947471,6,,903d185fccf839df
1495595135999,48.1440189,11.4947672,16,,903d185fccf839df
1495595136999,48.1440191,11.4947827,16,,903d185fccf839df
1495595137999,48.1440199,11.4948058,32,,903d185fccf839df
1495595138999,48.1440211,11.4948266,32,,903d185fccf839df
1495595139999,48.1440221,11.4948434,12,,903d185fccf839df
1495595140999,48.1440241,11.494866,24,,903d185fccf839df
1495595141999,48.1440271,11.4948869,24,,903d185fccf839df
1495595142999,48.1440283,11.4949089,24,,903d185fccf839df
1495595143999,48.1440295,11.4949309,24,,903d185fccf839df
1495595156902,48.1440295,11.4949309,206.61599731445312,,903d185fccf839df
1495595161920,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595166935,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595172001,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595177036,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595182055,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595187098,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595192198,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595197203,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595202264,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595207352,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595212388,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595217390,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595222463,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595227503,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595232571,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595237589,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595242627,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595247676,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595252716,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595257733,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595262790,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595267881,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595272894,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595277910,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595282955,48.1429662,11.4923198,699.9990234375,,903d185fccf839df
1495595287946,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595292974,48.1429662,11.4923198,600,,903d185fccf839df
1495595298023,48.1429662,11.4923198,600,,903d185fccf839df
1495595303029,48.1429662,11.4923198,600,,903d185fccf839df
1495595308077,48.1429662,11.4923198,600,,903d185fccf839df
1495595313125,48.1429662,11.4923198,600,,903d185fccf839df
1495595318175,48.1429662,11.4923198,600,,903d185fccf839df
1495595323228,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595328291,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595333324,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595338357,48.1429662,11.4923198,600,,903d185fccf839df
1495595343415,48.1429662,11.4923198,600,,903d185fccf839df
1495595348440,48.1429662,11.4923198,600,,903d185fccf839df
1495595353481,48.1429662,11.4923198,600,,903d185fccf839df
1495595358564,48.1429662,11.4923198,600,,903d185fccf839df
1495595363662,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595368643,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595373671,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595378717,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595397580,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595402582,48.1463556,11.5023459,899.9990234375,,903d185fccf839df
1495595407610,48.1432682,11.4924433,600,,903d185fccf839df
1495595412626,48.1432682,11.4924433,600,,903d185fccf839df
1495595417637,48.1462933,11.4998518,600,,903d185fccf839df
1495595422653,48.1462933,11.4998518,600,,903d185fccf839df
1495595427750,48.1462933,11.4998518,600,,903d185fccf839df
1495595432772,48.1432682,11.4924433,600,,903d185fccf839df
1495595437793,48.1432682,11.4924433,600,,903d185fccf839df
1495595442834,48.1432682,11.4924433,600,,903d185fccf839df
