timestamp, light1, light2, light3, UUID 
1495595112508,14,10529,14,,903d185fccf839df
1495595112508,14,10529,14,,903d185fccf839df
1495595112702,14,10437,14,,903d185fccf839df
1495595112702,14,10437,14,,903d185fccf839df
1495595112868,16,10693,16,,903d185fccf839df
1495595113038,17,10160,17,,903d185fccf839df
1495595113038,17,10160,17,,903d185fccf839df
1495595113217,16,10693,16,,903d185fccf839df
1495595113217,16,10693,16,,903d185fccf839df
1495595113397,16,10693,16,,903d185fccf839df
1495595113397,16,10693,16,,903d185fccf839df
1495595113577,14,10437,14,,903d185fccf839df
1495595113577,14,10437,14,,903d185fccf839df
1495595113777,12,10634,12,,903d185fccf839df
1495595113937,15,10283,15,,903d185fccf839df
1495595113937,15,10283,15,,903d185fccf839df
1495595114120,15,10283,15,,903d185fccf839df
1495595114120,15,10283,15,,903d185fccf839df
1495595114299,15,10283,15,,903d185fccf839df
1495595114299,15,10283,15,,903d185fccf839df
1495595114477,15,10283,15,,903d185fccf839df
1495595114477,15,10283,15,,903d185fccf839df
1495595114658,15,10898,15,,903d185fccf839df
1495595114839,15,10283,15,,903d185fccf839df
1495595114839,15,10283,15,,903d185fccf839df
1495595115017,14,10898,14,,903d185fccf839df
1495595115017,14,10898,14,,903d185fccf839df
1495595115198,15,11359,15,,903d185fccf839df
1495595115198,15,11359,15,,903d185fccf839df
1495595115384,15,10283,15,,903d185fccf839df
1495595115384,15,10283,15,,903d185fccf839df
1495595115562,18,9389,18,,903d185fccf839df
1495595115740,19,9054,19,,903d185fccf839df
1495595115740,19,9054,19,,903d185fccf839df
1495595115918,18,9389,18,,903d185fccf839df
1495595115918,18,9389,18,,903d185fccf839df
1495595116100,19,9054,19,,903d185fccf839df
1495595116100,19,9054,19,,903d185fccf839df
1495595116277,19,9054,19,,903d185fccf839df
1495595116277,19,9054,19,,903d185fccf839df
1495595116457,19,8486,19,,903d185fccf839df
1495595116637,19,9054,19,,903d185fccf839df
1495595116637,19,9054,19,,903d185fccf839df
1495595116818,20,8263,20,,903d185fccf839df
1495595116818,20,8263,20,,903d185fccf839df
1495595116997,20,8263,20,,903d185fccf839df
1495595116997,20,8263,20,,903d185fccf839df
1495595117178,20,8263,20,,903d185fccf839df
1495595117178,20,8263,20,,903d185fccf839df
1495595117359,19,8202,19,,903d185fccf839df
1495595117539,19,8202,19,,903d185fccf839df
1495595117539,19,8202,19,,903d185fccf839df
1495595117724,20,8000,20,,903d185fccf839df
1495595117724,20,8000,20,,903d185fccf839df
1495595117899,20,8000,20,,903d185fccf839df
1495595117899,20,8000,20,,903d185fccf839df
1495595118082,20,8000,20,,903d185fccf839df
1495595118082,20,8000,20,,903d185fccf839df
1495595118259,20,7578,20,,903d185fccf839df
1495595118452,19,7736,19,,903d185fccf839df
1495595118452,19,7736,19,,903d185fccf839df
1495595118619,18,7919,18,,903d185fccf839df
1495595118619,18,7919,18,,903d185fccf839df
1495595118797,19,7736,19,,903d185fccf839df
1495595118797,19,7736,19,,903d185fccf839df
1495595118978,19,7473,19,,903d185fccf839df
1495595118978,19,7473,19,,903d185fccf839df
1495595119157,19,8202,19,,903d185fccf839df
1495595119157,19,8202,19,,903d185fccf839df
1495595119337,20,7332,20,,903d185fccf839df
1495595119517,19,7736,19,,903d185fccf839df
1495595119517,19,7736,19,,903d185fccf839df
1495595119713,18,7919,18,,903d185fccf839df
1495595119713,18,7919,18,,903d185fccf839df
1495595119885,19,7736,19,,903d185fccf839df
1495595119885,19,7736,19,,903d185fccf839df
1495595120057,19,7473,19,,903d185fccf839df
1495595120240,17,8439,17,,903d185fccf839df
1495595120240,17,8439,17,,903d185fccf839df
1495595120428,17,8718,17,,903d185fccf839df
1495595120428,17,8718,17,,903d185fccf839df
1495595120597,17,8132,17,,903d185fccf839df
1495595120597,17,8132,17,,903d185fccf839df
1495595120777,17,8718,17,,903d185fccf839df
1495595120777,17,8718,17,,903d185fccf839df
1495595120957,16,8383,16,,903d185fccf839df
1495595120957,16,8383,16,,903d185fccf839df
1495595121140,17,7635,17,,903d185fccf839df
1495595121319,16,8383,16,,903d185fccf839df
1495595121319,16,8383,16,,903d185fccf839df
1495595121500,15,8685,15,,903d185fccf839df
1495595121500,15,8685,15,,903d185fccf839df
1495595121678,15,8685,15,,903d185fccf839df
1495595121678,15,8685,15,,903d185fccf839df
1495595121862,14,9463,14,,903d185fccf839df
1495595122038,14,9054,14,,903d185fccf839df
1495595122038,14,9054,14,,903d185fccf839df
1495595122219,14,8316,14,,903d185fccf839df
1495595122219,14,8316,14,,903d185fccf839df
1495595122397,15,7712,15,,903d185fccf839df
1495595122397,15,7712,15,,903d185fccf839df
1495595122579,16,7517,16,,903d185fccf839df
1495595122579,16,7517,16,,903d185fccf839df
1495595122757,15,8048,15,,903d185fccf839df
1495595122946,14,8316,14,,903d185fccf839df
1495595122946,14,8316,14,,903d185fccf839df
1495595123118,14,9054,14,,903d185fccf839df
1495595123118,14,9054,14,,903d185fccf839df
1495595123301,14,9054,14,,903d185fccf839df
1495595123301,14,9054,14,,903d185fccf839df
1495595123478,14,9054,14,,903d185fccf839df
1495595123478,14,9054,14,,903d185fccf839df
1495595123659,13,9976,13,,903d185fccf839df
1495595123843,14,10437,14,,903d185fccf839df
1495595123843,14,10437,14,,903d185fccf839df
1495595124018,12,10634,12,,903d185fccf839df
1495595124018,12,10634,12,,903d185fccf839df
1495595124203,12,9054,12,,903d185fccf839df
1495595124203,12,9054,12,,903d185fccf839df
1495595124378,11,9054,11,,903d185fccf839df
1495595124378,11,9054,11,,903d185fccf839df
1495595124564,11,9054,11,,903d185fccf839df
1495595124737,12,8593,12,,903d185fccf839df
1495595124737,12,8593,12,,903d185fccf839df
1495595124920,13,9515,13,,903d185fccf839df
1495595124920,13,9515,13,,903d185fccf839df
1495595125106,12,10107,12,,903d185fccf839df
1495595125106,12,10107,12,,903d185fccf839df
1495595125282,12,10107,12,,903d185fccf839df
1495595125282,12,10107,12,,903d185fccf839df
1495595125473,12,9054,12,,903d185fccf839df
1495595125639,11,9580,11,,903d185fccf839df
1495595125639,11,9580,11,,903d185fccf839df
1495595125819,11,9580,11,,903d185fccf839df
1495595125819,11,9580,11,,903d185fccf839df
1495595126003,13,9515,13,,903d185fccf839df
1495595126003,13,9515,13,,903d185fccf839df
1495595126258,12,10107,12,,903d185fccf839df
1495595126258,12,10107,12,,903d185fccf839df
1495595126358,13,9976,13,,903d185fccf839df
1495595126539,15,9873,15,,903d185fccf839df
1495595126539,15,9873,15,,903d185fccf839df
1495595126718,15,10283,15,,903d185fccf839df
1495595126718,15,10283,15,,903d185fccf839df
1495595126898,17,9791,17,,903d185fccf839df
1495595126898,17,9791,17,,903d185fccf839df
1495595127079,18,9724,18,,903d185fccf839df
1495595127079,18,9724,18,,903d185fccf839df
1495595127257,17,9791,17,,903d185fccf839df
1495595127257,17,9791,17,,903d185fccf839df
1495595127441,17,10160,17,,903d185fccf839df
1495595127441,17,10160,17,,903d185fccf839df
1495595127618,20,9054,20,,903d185fccf839df
1495595127798,20,8770,20,,903d185fccf839df
1495595127798,20,8770,20,,903d185fccf839df
1495595127977,19,9054,19,,903d185fccf839df
1495595127977,19,9054,19,,903d185fccf839df
1495595128157,19,9361,19,,903d185fccf839df
1495595128157,19,9361,19,,903d185fccf839df
1495595128338,19,9361,19,,903d185fccf839df
1495595128518,21,8263,21,,903d185fccf839df
1495595128518,21,8263,21,,903d185fccf839df
1495595128697,22,7671,22,,903d185fccf839df
1495595128697,22,7671,22,,903d185fccf839df
1495595128878,23,7535,23,,903d185fccf839df
1495595128878,23,7535,23,,903d185fccf839df
1495595129059,23,7901,23,,903d185fccf839df
1495595129059,23,7901,23,,903d185fccf839df
1495595129239,22,8316,22,,903d185fccf839df
1495595129418,21,8527,21,,903d185fccf839df
1495595129418,21,8527,21,,903d185fccf839df
1495595129599,21,8070,21,,903d185fccf839df
1495595129599,21,8070,21,,903d185fccf839df
1495595129780,20,8000,20,,903d185fccf839df
1495595129780,20,8000,20,,903d185fccf839df
1495595129959,19,8202,19,,903d185fccf839df
1495595130141,18,8746,18,,903d185fccf839df
1495595130141,18,8746,18,,903d185fccf839df
1495595130321,18,8439,18,,903d185fccf839df
1495595130321,18,8439,18,,903d185fccf839df
1495595130499,14,9463,14,,903d185fccf839df
1495595130499,14,9463,14,,903d185fccf839df
1495595130679,14,9054,14,,903d185fccf839df
1495595130679,14,9054,14,,903d185fccf839df
1495595130858,13,9515,13,,903d185fccf839df
1495595130858,13,9515,13,,903d185fccf839df
1495595131039,12,10107,12,,903d185fccf839df
1495595131219,11,10898,11,,903d185fccf839df
1495595131219,11,10898,11,,903d185fccf839df
1495595131398,11,10898,11,,903d185fccf839df
1495595131398,11,10898,11,,903d185fccf839df
1495595131579,12,10107,12,,903d185fccf839df
1495595131579,12,10107,12,,903d185fccf839df
1495595131758,10,10283,10,,903d185fccf839df
1495595131758,10,10283,10,,903d185fccf839df
1495595131939,9,10529,9,,903d185fccf839df
1495595132119,7,9054,7,,903d185fccf839df
1495595132119,7,9054,7,,903d185fccf839df
1495595132299,7,10898,7,,903d185fccf839df
1495595132299,7,10898,7,,903d185fccf839df
1495595132478,6,9054,6,,903d185fccf839df
1495595132478,6,9054,6,,903d185fccf839df
1495595132661,6,6841,6,,903d185fccf839df
1495595132848,5,6103,5,,903d185fccf839df
1495595132848,5,6103,5,,903d185fccf839df
1495595133019,6,4312,6,,903d185fccf839df
1495595133019,6,4312,6,,903d185fccf839df
1495595133198,7,3522,7,,903d185fccf839df
1495595133198,7,3522,7,,903d185fccf839df
1495595133380,9,3096,9,,903d185fccf839df
1495595133380,9,3096,9,,903d185fccf839df
1495595133559,12,3112,12,,903d185fccf839df
1495595133559,12,3112,12,,903d185fccf839df
1495595133739,16,2960,16,,903d185fccf839df
1495595133920,18,3096,18,,903d185fccf839df
1495595133920,18,3096,18,,903d185fccf839df
1495595134098,20,3126,20,,903d185fccf839df
1495595134098,20,3126,20,,903d185fccf839df
1495595134279,24,3130,24,,903d185fccf839df
1495595134279,24,3130,24,,903d185fccf839df
1495595134458,25,3196,25,,903d185fccf839df
1495595134639,25,3153,25,,903d185fccf839df
1495595134639,25,3153,25,,903d185fccf839df
1495595134821,22,3061,22,,903d185fccf839df
1495595134821,22,3061,22,,903d185fccf839df
1495595135002,19,2995,19,,903d185fccf839df
1495595135002,19,2995,19,,903d185fccf839df
1495595135180,19,3043,19,,903d185fccf839df
1495595135180,19,3043,19,,903d185fccf839df
1495595135359,18,3153,18,,903d185fccf839df
1495595135540,16,2960,16,,903d185fccf839df
1495595135540,16,2960,16,,903d185fccf839df
1495595135719,15,3082,15,,903d185fccf839df
1495595135719,15,3082,15,,903d185fccf839df
1495595135900,13,3036,13,,903d185fccf839df
1495595135900,13,3036,13,,903d185fccf839df
1495595136079,11,3061,11,,903d185fccf839df
1495595136079,11,3061,11,,903d185fccf839df
1495595136259,9,3096,9,,903d185fccf839df
1495595136440,6,3317,6,,903d185fccf839df
1495595136440,6,3317,6,,903d185fccf839df
