timestamp, latitude, longitude, accuracy, UUID 
1497326057999,48.1436186,11.5030873,8,,903d185fccf839df
1497326057724,48.1436186,11.5030873,17.35099983215332,,903d185fccf839df
1497326058999,48.1436186,11.5030873,8,,903d185fccf839df
1497326059999,48.1436186,11.5030873,6,,903d185fccf839df
1497326060999,48.1436186,11.5030873,8,,903d185fccf839df
1497326061999,48.1436712,11.5029937,6,,903d185fccf839df
1497326062999,48.1436712,11.5029937,6,,903d185fccf839df
1497326063999,48.1436712,11.5029937,6,,903d185fccf839df
1497326064999,48.1436712,11.5029937,6,,903d185fccf839df
1497326065999,48.1436912,11.5028999,6,,903d185fccf839df
1497326066999,48.1436912,11.5028999,6,,903d185fccf839df
1497326067999,48.1436912,11.5028999,6,,903d185fccf839df
1497326068999,48.1436912,11.5028999,8,,903d185fccf839df
1497326069999,48.1436422,11.5028567,8,,903d185fccf839df
1497326070999,48.1436422,11.5028567,8,,903d185fccf839df
1497326071999,48.1436422,11.5028567,8,,903d185fccf839df
1497326072999,48.1436422,11.5028567,8,,903d185fccf839df
1497326073999,48.1436422,11.5028567,8,,903d185fccf839df
1497326074999,48.143587,11.5028196,8,,903d185fccf839df
1497326075999,48.1435813,11.5028136,8,,903d185fccf839df
1497326076999,48.1435747,11.5028052,8,,903d185fccf839df
1497326077999,48.1435661,11.5027961,8,,903d185fccf839df
1497326078999,48.1435587,11.5027882,8,,903d185fccf839df
1497326079999,48.1435511,11.5027789,8,,903d185fccf839df
1497326080999,48.1435413,11.5027666,8,,903d185fccf839df
1497326081999,48.14353,11.5027515,8,,903d185fccf839df
1497326082999,48.14353,11.5027514,8,,903d185fccf839df
1497326083999,48.1435223,11.5027416,8,,903d185fccf839df
1497326084999,48.1435119,11.5027285,8,,903d185fccf839df
1497326085999,48.143503,11.502718,8,,903d185fccf839df
1497326086999,48.1434938,11.5027084,8,,903d185fccf839df
1497326087999,48.1434847,11.5026992,8,,903d185fccf839df
1497326088999,48.1434834,11.5026821,6,,903d185fccf839df
1497326089999,48.1434845,11.5026657,6,,903d185fccf839df
1497326090999,48.1434871,11.5026547,6,,903d185fccf839df
1497326091999,48.1434882,11.5026487,6,,903d185fccf839df
1497326092999,48.1434906,11.5026406,8,,903d185fccf839df
1497326093999,48.1434891,11.5026419,8,,903d185fccf839df
1497326094999,48.1434877,11.5026279,8,,903d185fccf839df
1497326095999,48.1434876,11.5026106,12,,903d185fccf839df
1497326096999,48.1434892,11.5025931,12,,903d185fccf839df
1497326097999,48.1434893,11.5025774,12,,903d185fccf839df
1497326098999,48.1434922,11.5025627,12,,903d185fccf839df
1497326099999,48.1434932,11.5025468,12,,903d185fccf839df
1497326100999,48.1434911,11.5025283,12,,903d185fccf839df
