1495195186786,78:94:b4:16:b5:a4,-79;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-78;,18:83:bf:a9:65:f0,-88;,36:81:c4:c9:ae:e1,-81;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-83;,34:81:c4:c9:ae:e1,-79;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,74:31:70:f1:16:da,-80;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-79;,58:20:b1:3d:14:f7,-88;,24:00:ba:61:40:dd,-89;,24:00:ba:61:40:df,-90;,e2:28:6d:e0:44:df,-82;,e0:28:6d:e0:44:df,-81;,c0:25:06:7c:91:08,-81;,08:7a:4c:36:df:54,-82;,f8:1a:67:fb:78:03,-87;,90:67:1c:c7:a2:c7,-91;,bc:30:7e:56:94:90,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,38:10:d5:1b:9d:7b,-90;,5c:dc:96:3b:60:69,-90;,68:72:51:34:a3:3b,-87;,32:cd:a7:22:17:93,-87;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-86;,84:24:8d:59:4f:80,-86;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-88;,d4:63:fe:51:12:89,-88;,88:f7:c7:dc:9c:75,-90;,a0:56:b2:9b:e4:05,-90;,9c:80:df:2c:ce:da,-91;,16:18:d6:2b:34:85,-91;,00:09:5b:5b:b9:50,-91;,,903d185fccf839df
1495195187038,78:94:b4:16:b5:a4,-79;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-78;,18:83:bf:a9:65:f0,-88;,36:81:c4:c9:ae:e1,-81;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-83;,34:81:c4:c9:ae:e1,-79;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,74:31:70:f1:16:da,-80;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-79;,58:20:b1:3d:14:f7,-88;,24:00:ba:61:40:dd,-89;,24:00:ba:61:40:df,-90;,e2:28:6d:e0:44:df,-82;,e0:28:6d:e0:44:df,-81;,c0:25:06:7c:91:08,-81;,08:7a:4c:36:df:54,-82;,f8:1a:67:fb:78:03,-87;,90:67:1c:c7:a2:c7,-91;,bc:30:7e:56:94:90,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,38:10:d5:1b:9d:7b,-90;,5c:dc:96:3b:60:69,-90;,68:72:51:34:a3:3b,-87;,32:cd:a7:22:17:93,-87;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-86;,84:24:8d:59:4f:80,-86;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-88;,d4:63:fe:51:12:89,-88;,88:f7:c7:dc:9c:75,-90;,a0:56:b2:9b:e4:05,-90;,9c:80:df:2c:ce:da,-91;,16:18:d6:2b:34:85,-91;,00:09:5b:5b:b9:50,-91;,,903d185fccf839df
1495195187279,78:94:b4:16:b5:a4,-80;,08:96:d7:48:90:84,-81;,94:10:3e:a8:37:24,-79;,18:83:bf:a9:65:f0,-87;,36:81:c4:c9:ae:e1,-82;,78:94:b4:16:b5:a6,-84;,ec:23:3d:a1:93:7c,-84;,34:81:c4:c9:ae:e1,-78;,f4:8e:92:00:bf:1a,-90;,24:00:ba:61:40:de,-88;,9c:c7:a6:a8:7f:6c,-90;,ec:23:3d:a1:93:7e,-88;,e0:28:6d:e0:44:de,-91;,08:7a:4c:36:df:56,-88;,90:67:1c:c7:a2:c9,-88;,74:31:70:f1:16:da,-79;,e2:28:6d:e0:44:de,-90;,24:00:ba:61:40:dc,-78;,58:20:b1:3d:14:f7,-89;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-91;,e2:28:6d:e0:44:df,-81;,e0:28:6d:e0:44:df,-82;,c0:25:06:7c:91:08,-80;,08:7a:4c:36:df:54,-83;,f8:1a:67:fb:78:03,-86;,90:67:1c:c7:a2:c7,-92;,bc:30:7e:56:94:90,-88;,e8:37:7a:cd:e8:01,-89;,5c:dc:96:3b:60:6b,-91;,38:10:d5:1b:9d:7b,-91;,5c:dc:96:3b:60:69,-89;,68:72:51:34:a3:3b,-88;,32:cd:a7:22:17:93,-86;,5c:dc:96:3b:60:6c,-92;,e0:60:66:81:21:9a,-85;,84:24:8d:59:4f:80,-87;,18:83:bf:e5:ab:89,-87;,84:24:8d:59:4f:82,-89;,d4:63:fe:51:12:89,-87;,88:f7:c7:dc:9c:75,-91;,a0:56:b2:9b:e4:05,-89;,9c:80:df:2c:ce:da,-92;,16:18:d6:2b:34:85,-90;,00:09:5b:5b:b9:50,-92;,,903d185fccf839df
1495195187580,78:94:b4:16:b5:a4,-85;,08:96:d7:48:90:84,-88;,94:10:3e:a8:37:24,-84;,18:83:bf:a9:65:f0,-94;,36:81:c4:c9:ae:e1,-87;,78:94:b4:16:b5:a6,-91;,ec:23:3d:a1:93:7c,-89;,34:81:c4:c9:ae:e1,-85;,f4:8e:92:00:bf:1a,-95;,24:00:ba:61:40:de,-95;,9c:c7:a6:a8:7f:6c,-95;,ec:23:3d:a1:93:7e,-95;,e0:28:6d:e0:44:de,-96;,08:7a:4c:36:df:56,-95;,90:67:1c:c7:a2:c9,-93;,74:31:70:f1:16:da,-86;,e2:28:6d:e0:44:de,-95;,24:00:ba:61:40:dc,-85;,58:20:b1:3d:14:f7,-94;,24:00:ba:61:40:dd,-95;,24:00:ba:61:40:df,-96;,e2:28:6d:e0:44:df,-88;,e0:28:6d:e0:44:df,-87;,c0:25:06:7c:91:08,-87;,08:7a:4c:36:df:54,-88;,f8:1a:67:fb:78:03,-93;,90:67:1c:c7:a2:c7,-97;,bc:30:7e:56:94:90,-95;,e8:37:7a:cd:e8:01,-94;,5c:dc:96:3b:60:6b,-98;,38:10:d5:1b:9d:7b,-96;,5c:dc:96:3b:60:69,-96;,68:72:51:34:a3:3b,-93;,32:cd:a7:22:17:93,-93;,5c:dc:96:3b:60:6c,-97;,e0:60:66:81:21:9a,-92;,84:24:8d:59:4f:80,-92;,18:83:bf:e5:ab:89,-94;,84:24:8d:59:4f:82,-94;,d4:63:fe:51:12:89,-94;,88:f7:c7:dc:9c:75,-96;,a0:56:b2:9b:e4:05,-96;,9c:80:df:2c:ce:da,-97;,16:18:d6:2b:34:85,-97;,00:09:5b:5b:b9:50,-97;,,903d185fccf839df
1495195187890,78:94:b4:16:b5:a4,-85;,08:96:d7:48:90:84,-88;,94:10:3e:a8:37:24,-84;,18:83:bf:a9:65:f0,-94;,36:81:c4:c9:ae:e1,-87;,78:94:b4:16:b5:a6,-91;,ec:23:3d:a1:93:7c,-89;,34:81:c4:c9:ae:e1,-85;,f4:8e:92:00:bf:1a,-95;,24:00:ba:61:40:de,-95;,9c:c7:a6:a8:7f:6c,-95;,ec:23:3d:a1:93:7e,-95;,e0:28:6d:e0:44:de,-96;,08:7a:4c:36:df:56,-95;,90:67:1c:c7:a2:c9,-93;,74:31:70:f1:16:da,-86;,e2:28:6d:e0:44:de,-95;,24:00:ba:61:40:dc,-85;,58:20:b1:3d:14:f7,-94;,24:00:ba:61:40:dd,-95;,24:00:ba:61:40:df,-96;,e2:28:6d:e0:44:df,-88;,e0:28:6d:e0:44:df,-87;,c0:25:06:7c:91:08,-87;,08:7a:4c:36:df:54,-88;,f8:1a:67:fb:78:03,-93;,90:67:1c:c7:a2:c7,-97;,bc:30:7e:56:94:90,-95;,e8:37:7a:cd:e8:01,-94;,5c:dc:96:3b:60:6b,-98;,38:10:d5:1b:9d:7b,-96;,5c:dc:96:3b:60:69,-96;,68:72:51:34:a3:3b,-93;,32:cd:a7:22:17:93,-93;,5c:dc:96:3b:60:6c,-97;,e0:60:66:81:21:9a,-92;,84:24:8d:59:4f:80,-92;,18:83:bf:e5:ab:89,-94;,84:24:8d:59:4f:82,-94;,d4:63:fe:51:12:89,-94;,88:f7:c7:dc:9c:75,-96;,a0:56:b2:9b:e4:05,-96;,9c:80:df:2c:ce:da,-97;,16:18:d6:2b:34:85,-97;,00:09:5b:5b:b9:50,-97;,,903d185fccf839df
1495195188206,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195188490,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195188782,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195189090,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195189383,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195189691,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195189982,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195190305,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195190579,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
1495195190885,78:94:b4:16:b5:a4,-88;,08:96:d7:48:90:84,-82;,94:10:3e:a8:37:24,-77;,18:83:bf:a9:65:f0,-86;,78:94:b4:16:b5:a6,-85;,ec:23:3d:a1:93:7c,-86;,f4:8e:92:00:bf:1a,-89;,24:00:ba:61:40:de,-89;,9c:c7:a6:a8:7f:6c,-89;,ec:23:3d:a1:93:7e,-89;,e0:28:6d:e0:44:de,-90;,08:7a:4c:36:df:56,-89;,90:67:1c:c7:a2:c9,-87;,e2:28:6d:e0:44:de,-89;,24:00:ba:61:40:dc,-84;,24:00:ba:61:40:dd,-88;,24:00:ba:61:40:df,-90;,08:7a:4c:36:df:54,-87;,90:67:1c:c7:a2:c7,-89;,e8:37:7a:cd:e8:01,-88;,5c:dc:96:3b:60:6b,-92;,5c:dc:96:3b:60:6c,-91;,e0:60:66:81:21:9a,-89;,84:24:8d:59:4f:80,-90;,18:83:bf:e5:ab:89,-88;,84:24:8d:59:4f:82,-91;,00:09:5b:5b:b9:50,-84;,38:10:d5:92:85:10,-77;,30:f7:72:6e:62:d2,-84;,94:10:3e:a8:34:32,-85;,0a:96:d7:90:30:0d,-89;,94:4a:0c:e8:65:8b,-91;,e4:3e:d7:75:1e:b1,-91;,00:18:9b:53:e9:da,-91;,06:18:d6:2b:34:85,-87;,,903d185fccf839df
