timestamp, latitude, longitude, accuracy, UUID 
1497373234343,48.1576167,11.5675877,14.36299991607666,,903d185fccf839df
1497373234506,48.1576167,11.5675877,14.36299991607666,,903d185fccf839df
1497373239170,48.1578528,11.5677143,12,,903d185fccf839df
1497373240168,48.1578373,11.5677084,24,,903d185fccf839df
1497373241168,48.157816,11.5677005,24,,903d185fccf839df
1497373242168,48.1577997,11.5676778,24,,903d185fccf839df
1497373243168,48.1577618,11.5676558,24,,903d185fccf839df
1497373244163,48.1577337,11.5676556,12,,903d185fccf839df
1497373245163,48.1577168,11.5676494,12,,903d185fccf839df
1497373246000,48.1577167,11.5676493,12,,903d185fccf839df
1497373247000,48.1577167,11.5676492,8,,903d185fccf839df
1497373248000,48.1577167,11.5676492,8,,903d185fccf839df
1497373249000,48.1577167,11.5676492,8,,903d185fccf839df
1497373250000,48.1577167,11.5676492,8,,903d185fccf839df
1497373248742,48.1577167,11.5676492,15.343999862670898,,903d185fccf839df
1497373251000,48.1577167,11.5676492,6,,903d185fccf839df
1497373252000,48.1577167,11.5676492,6,,903d185fccf839df
1497373253000,48.1576866,11.5675478,6,,903d185fccf839df
1497373254000,48.157689,11.5675342,6,,903d185fccf839df
1497373255000,48.157691,11.5675252,6,,903d185fccf839df
1497373256000,48.1576906,11.5675183,6,,903d185fccf839df
1497373257000,48.1576937,11.5675011,8,,903d185fccf839df
1497373258000,48.1576937,11.5675009,8,,903d185fccf839df
1497373259000,48.15771,11.5674735,8,,903d185fccf839df
1497373260000,48.1577191,11.567462,8,,903d185fccf839df
1497373261000,48.1577279,11.5674495,8,,903d185fccf839df
1497373262000,48.1577356,11.5674403,8,,903d185fccf839df
1497373263000,48.1577464,11.5674221,8,,903d185fccf839df
1497373264000,48.1577556,11.5674111,8,,903d185fccf839df
1497373265000,48.1577659,11.5673994,8,,903d185fccf839df
1497373266000,48.157774,11.567386,8,,903d185fccf839df
1497373267000,48.1577771,11.5673664,8,,903d185fccf839df
1497373268000,48.1577771,11.5673664,8,,903d185fccf839df
1497373269000,48.1577771,11.5673664,8,,903d185fccf839df
1497373270000,48.1577836,11.5673149,8,,903d185fccf839df
1497373271000,48.1577908,11.567294,16,,903d185fccf839df
1497373272000,48.1577961,11.5672802,8,,903d185fccf839df
1497373273000,48.157811,11.5672352,12,,903d185fccf839df
1497373274000,48.1578169,11.567224,12,,903d185fccf839df
1497373275000,48.1578233,11.5672097,12,,903d185fccf839df
1497373276000,48.1578384,11.567165,12,,903d185fccf839df
1497373277000,48.1578442,11.5671532,12,,903d185fccf839df
1497373278000,48.1578503,11.5671413,12,,903d185fccf839df
1497373279000,48.1578566,11.5671286,12,,903d185fccf839df
1497373280000,48.1578636,11.5671134,12,,903d185fccf839df
1497373281000,48.1578702,11.5671004,16,,903d185fccf839df
1497373282000,48.1578818,11.567052,16,,903d185fccf839df
1497373283000,48.1578863,11.567041,12,,903d185fccf839df
1497373284000,48.157891,11.5670319,12,,903d185fccf839df
1497373285000,48.1578953,11.5670268,8,,903d185fccf839df
1497373286000,48.1578953,11.5670268,12,,903d185fccf839df
1497373287000,48.1578953,11.5670268,16,,903d185fccf839df
1497373288000,48.1578953,11.5670268,16,,903d185fccf839df
1497373289000,48.1578953,11.5670268,16,,903d185fccf839df
1497373290000,48.1578953,11.5670268,24,,903d185fccf839df
1497373291000,48.1578953,11.5670268,16,,903d185fccf839df
1497373292000,48.1578953,11.5670268,32,,903d185fccf839df
1497373305166,48.1574115,11.5671641,98.4000015258789,,903d185fccf839df
1497373310190,48.1572245,11.5670263,75.06800079345703,,903d185fccf839df
1497373314001,48.1569472,11.5668831,165.64300537109375,,903d185fccf839df
1497373320226,48.157619,11.5664304,30.660999298095703,,903d185fccf839df
1497373324020,48.157619,11.5664304,79.98300170898438,,903d185fccf839df
1497373330235,48.1575091,11.5667178,98.4000015258789,,903d185fccf839df
1497373334036,48.1575091,11.5667178,147.81300354003906,,903d185fccf839df
1497373339114,48.1572926,11.5681889,800,,903d185fccf839df
1497373345311,48.1579185,11.5673522,26.34600067138672,,903d185fccf839df
1497373350314,48.1577125,11.567385,116.0999984741211,,903d185fccf839df
1497373355330,48.1578254,11.5671078,22.500999450683594,,903d185fccf839df
1497373360340,48.1578449,11.5672059,21.44499969482422,,903d185fccf839df
1497373365341,48.1577511,11.5672575,20.833999633789062,,903d185fccf839df
1497373370462,48.1576171,11.5669319,21.101999282836914,,903d185fccf839df
1497373375475,48.1578266,11.5669023,25.017000198364258,,903d185fccf839df
1497373380516,48.1577951,11.5670181,20.87299919128418,,903d185fccf839df
1497373385516,48.1578191,11.5669764,20.878000259399414,,903d185fccf839df
1497373390510,48.1577159,11.5668309,22.68600082397461,,903d185fccf839df
1497373395545,48.1574504,11.5673139,22.417999267578125,,903d185fccf839df
1497373400612,48.1578656,11.5670986,20.384000778198242,,903d185fccf839df
