timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1497373210120,-23.5,-1.600000023841858,3.200000047683716,23.770780401703067,,903d185fccf839df
1497373234300,-11.600000381469727,-12.100000381469727,-1,16.791962853683668,,903d185fccf839df
1497373234348,-11.800000190734863,-12.300000190734863,-1.2000000476837158,17.08713007193737,,903d185fccf839df
1497373234369,-11.40000057220459,-12.5,-1.5,16.984110418678608,,903d185fccf839df
1497373234438,-10.90000057220459,-12.40000057220459,-1.899999976158142,16.618664882538056,,903d185fccf839df
1497373234556,-9.699999809265137,-13,-2.5,16.411581165076406,,903d185fccf839df
1497373234595,-9.699999809265137,-13.800000190734863,-2.5,17.052272540025182,,903d185fccf839df
1497373234655,-9.699999809265137,-15,-2.700000047683716,18.06599005802286,,903d185fccf839df
1497373234680,-9.699999809265137,-15.699999809265137,-2.6000001430511475,18.637059512648037,,903d185fccf839df
1497373234733,-9.699999809265137,-17,-2.299999952316284,19.707358937710136,,903d185fccf839df
1497373234759,-9.699999809265137,-17.700000762939453,-2,20.282505648967305,,903d185fccf839df
1497373234827,-9.199999809265137,-18.899999618530273,-1.399999976158142,21.06679830357865,,903d185fccf839df
1497373234849,-8.800000190734863,-19.200000762939453,-1.100000023841858,21.149232069462727,,903d185fccf839df
1497373234880,-8.300000190734863,-19.30000114440918,-0.9000000357627869,21.028315451342472,,903d185fccf839df
1497373234940,-7.300000190734863,-19.5,-0.699999988079071,20.833386688084627,,903d185fccf839df
1497373234961,-7,-19.30000114440918,-0.800000011920929,20.545803739810978,,903d185fccf839df
1497373235008,-6.5,-18,-1.600000023841858,19.204426577776232,,903d185fccf839df
1497373235040,-6.099999904632568,-17.700000762939453,-0.800000011920929,18.73873096536348,,903d185fccf839df
1497373235107,-5.900000095367432,-17.30000114440918,-1.899999976158142,18.376888755469107,,903d185fccf839df
1497373235128,-5.900000095367432,-17,-1.8000000715255737,18.084523815164346,,903d185fccf839df
1497373235162,-6,-16.700000762939453,-1.899999976158142,17.84656870503496,,903d185fccf839df
1497373235211,-6.200000286102295,-16.200000762939453,-1.600000023841858,17.419530291646463,,903d185fccf839df
1497373235259,-6.400000095367432,-16.200000762939453,-1.100000023841858,17.453080985783032,,903d185fccf839df
1497373235302,-6.400000095367432,-16.30000114440918,-0.699999988079071,17.525411146044156,,903d185fccf839df
1497373235326,-6.300000190734863,-16.30000114440918,-0.6000000238418579,17.48542351259173,,903d185fccf839df
