timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1498668370454,-17.5,-15.800000190734863,-34.79999923706055,42.03486548547332,,903d185fccf839df
1498668370735,-21,-17.399999618530273,-34,43.58623612160204,,903d185fccf839df
1498668370829,-21.600000381469727,-17.700000762939453,-33.900001525878906,43.921067270120886,,903d185fccf839df
1498668370874,-21.80000114440918,-17.899999618530273,-34,44.177483228609375,,903d185fccf839df
1498668370904,-21.700000762939453,-17.80000114440918,-34.400001525878906,44.39696137624015,,903d185fccf839df
1498668370994,-21.100000381469727,-18,-36,45.44458187697029,,903d185fccf839df
1498668371035,-20.5,-18.5,-37.10000228881836,46.248353011215436,,903d185fccf839df
1498668371064,-20.30000114440918,-19.30000114440918,-37.60000228881836,46.88646116394919,,903d185fccf839df
1498668371103,-19.399999618530273,-19.30000114440918,-37.29999923706055,46.26164668073631,,903d185fccf839df
1498668371154,-18.5,-19.899999618530273,-37.70000076293945,46.470958870143264,,903d185fccf839df
1498668371195,-18.200000762939453,-20.30000114440918,-38.60000228881836,47.25770078202202,,903d185fccf839df
1498668371235,-17.600000381469727,-21,-38.29999923706055,47.09193033146709,,903d185fccf839df
1498668371271,-17.200000762939453,-21.5,-38,46.92643207037446,,903d185fccf839df
1498668371325,-16.5,-22.30000114440918,-36.79999923706055,46.08448794656262,,903d185fccf839df
1498668371363,-16.200000762939453,-22.80000114440918,-35.70000076293945,45.35162810880267,,903d185fccf839df
1498668371395,-16.100000381469727,-23.200000762939453,-34.900001525878906,44.89387714464106,,903d185fccf839df
1498668371424,-16,-23.899999618530273,-33.60000228881836,44.22861252645876,,903d185fccf839df
1498668371484,-15.699999809265137,-24.5,-32.5,43.623273492877345,,903d185fccf839df
1498668371514,-15.800000190734863,-24.700000762939453,-32.29999923706055,43.62361680600664,,903d185fccf839df
1498668371555,-15.699999809265137,-25.100000381469727,-31.80000114440918,43.448130584290176,,903d185fccf839df
1498668371606,-15.40000057220459,-25.5,-31.399999618530273,43.282444245425864,,903d185fccf839df
1498668371635,-15,-25.600000381469727,-31.30000114440918,43.12829824909953,,903d185fccf839df
1498668371663,-14.600000381469727,-25.80000114440918,-31.200000762939453,43.03765958811266,,903d185fccf839df
1498668371757,-13.699999809265137,-26.399999618530273,-30.80000114440918,42.81693617955062,,903d185fccf839df
1498668371796,-13.40000057220459,-26.899999618530273,-30.5,42.81845394416928,,903d185fccf839df
1498668371849,-13,-27.5,-29.700000762939453,42.51282191122425,,903d185fccf839df
1498668371875,-12.699999809265137,-28,-29.5,42.60915386728693,,903d185fccf839df
1498668372083,-12.100000381469727,-29.100000381469727,-28.100000381469727,42.223572179618124,,903d185fccf839df
1498668372103,-12.199999809265137,-29,-28.100000381469727,42.18352809716856,,903d185fccf839df
1498668372166,-12.600000381469727,-28.700000762939453,-27.80000114440918,41.89618313322602,,903d185fccf839df
1498668372196,-12.800000190734863,-28.700000762939453,-27.80000114440918,41.95676540158771,,903d185fccf839df
1498668372236,-12.90000057220459,-28.600000381469727,-27.600000381469727,41.78672098477194,,903d185fccf839df
1498668372268,-12.800000190734863,-28.399999618530273,-27.5,41.55297834277675,,903d185fccf839df
1498668372324,-12.699999809265137,-28.30000114440918,-27.899999618530273,41.72037921824606,,903d185fccf839df
