timestamp, light1, light2, light3, UUID 
1498737063282,19272,6023,19272,,903d185fccf839df
1498737064748,19702,6227,19702,,903d185fccf839df
1498737064895,20182,6235,20182,,903d185fccf839df
1498737064895,20182,6235,20182,,903d185fccf839df
1498737065114,19632,6262,19632,,903d185fccf839df
1498737065255,20154,6252,20154,,903d185fccf839df
1498737065255,20154,6252,20154,,903d185fccf839df
1498737065438,20690,6226,20690,,903d185fccf839df
1498737065438,20690,6226,20690,,903d185fccf839df
1498737065613,20831,6250,20831,,903d185fccf839df
1498737065613,20831,6250,20831,,903d185fccf839df
1498737065804,20423,6270,20423,,903d185fccf839df
1498737065804,20423,6270,20423,,903d185fccf839df
1498737065973,18364,6350,18364,,903d185fccf839df
1498737066155,20155,6284,20155,,903d185fccf839df
1498737066334,20592,6277,20592,,903d185fccf839df
1498737066334,20592,6277,20592,,903d185fccf839df
1498737066514,21847,6233,21847,,903d185fccf839df
1498737066514,21847,6233,21847,,903d185fccf839df
1498737066698,21579,6245,21579,,903d185fccf839df
1498737066698,21579,6245,21579,,903d185fccf839df
1498737066880,20889,6277,20889,,903d185fccf839df
1498737067058,19183,6336,19183,,903d185fccf839df
1498737067058,19183,6336,19183,,903d185fccf839df
1498737067233,20578,6277,20578,,903d185fccf839df
1498737067233,20578,6277,20578,,903d185fccf839df
1498737067417,20818,6281,20818,,903d185fccf839df
1498737067417,20818,6281,20818,,903d185fccf839df
1498737067597,20551,6294,20551,,903d185fccf839df
1498737067597,20551,6294,20551,,903d185fccf839df
1498737067775,20960,6305,20960,,903d185fccf839df
1498737067953,19790,6335,19790,,903d185fccf839df
1498737067953,19790,6335,19790,,903d185fccf839df
1498737068133,19592,6346,19592,,903d185fccf839df
1498737068133,19592,6346,19592,,903d185fccf839df
1498737068313,17913,6360,17913,,903d185fccf839df
1498737068313,17913,6360,17913,,903d185fccf839df
1498737068494,19761,6320,19761,,903d185fccf839df
1498737068494,19761,6320,19761,,903d185fccf839df
1498737068674,17631,6377,17631,,903d185fccf839df
1498737068856,17533,6403,17533,,903d185fccf839df
1498737068856,17533,6403,17533,,903d185fccf839df
1498737069048,17914,6396,17914,,903d185fccf839df
1498737069048,17914,6396,17914,,903d185fccf839df
1498737069213,17435,6429,17435,,903d185fccf839df
1498737069213,17435,6429,17435,,903d185fccf839df
1498737069393,16024,6474,16024,,903d185fccf839df
1498737069393,16024,6474,16024,,903d185fccf839df
