timestamp, light1, light2, light3, UUID 
1497359724804,4239,8298,4239,,903d185fccf839df
1497359724804,4239,8298,4239,,903d185fccf839df
1497359724982,4110,8162,4110,,903d185fccf839df
1497359724982,4110,8162,4110,,903d185fccf839df
1497359725163,4040,8130,4040,,903d185fccf839df
1497359725163,4040,8130,4040,,903d185fccf839df
1497359725348,4033,8107,4033,,903d185fccf839df
1497359725522,4184,8406,4184,,903d185fccf839df
1497359725522,4184,8406,4184,,903d185fccf839df
1497359725701,4103,8728,4103,,903d185fccf839df
1497359725884,4090,8896,4090,,903d185fccf839df
1497359725884,4090,8896,4090,,903d185fccf839df
1497359726065,4247,8596,4247,,903d185fccf839df
1497359726065,4247,8596,4247,,903d185fccf839df
1497359726241,4289,8751,4289,,903d185fccf839df
1497359726241,4289,8751,4289,,903d185fccf839df
1497359726426,4240,8954,4240,,903d185fccf839df
1497359726426,4240,8954,4240,,903d185fccf839df
1497359726601,4364,8572,4364,,903d185fccf839df
1497359726791,4219,8289,4219,,903d185fccf839df
1497359726791,4219,8289,4219,,903d185fccf839df
1497359726961,4180,8200,4180,,903d185fccf839df
1497359726961,4180,8200,4180,,903d185fccf839df
1497359727146,3841,8225,3841,,903d185fccf839df
1497359727146,3841,8225,3841,,903d185fccf839df
1497359727326,3762,8323,3762,,903d185fccf839df
1497359727326,3762,8323,3762,,903d185fccf839df
1497359727503,3757,8316,3757,,903d185fccf839df
1497359727681,3564,8167,3564,,903d185fccf839df
1497359727681,3564,8167,3564,,903d185fccf839df
1497359727869,3484,8144,3484,,903d185fccf839df
1497359727869,3484,8144,3484,,903d185fccf839df
1497359728043,3455,8193,3455,,903d185fccf839df
1497359728043,3455,8193,3455,,903d185fccf839df
1497359728224,3634,8249,3634,,903d185fccf839df
1497359728224,3634,8249,3634,,903d185fccf839df
1497359728403,3467,8207,3467,,903d185fccf839df
1497359728583,3552,8245,3552,,903d185fccf839df
1497359728583,3552,8245,3552,,903d185fccf839df
1497359728768,3457,8147,3457,,903d185fccf839df
1497359728768,3457,8147,3457,,903d185fccf839df
1497359728942,3264,8076,3264,,903d185fccf839df
1497359728942,3264,8076,3264,,903d185fccf839df
1497359729121,3021,8062,3021,,903d185fccf839df
1497359729121,3021,8062,3021,,903d185fccf839df
1497359729305,3021,8204,3021,,903d185fccf839df
1497359729484,2830,8217,2830,,903d185fccf839df
1497359729484,2830,8217,2830,,903d185fccf839df
1497359729662,2685,8282,2685,,903d185fccf839df
1497359729662,2685,8282,2685,,903d185fccf839df
1497359729842,2628,8498,2628,,903d185fccf839df
1497359729842,2628,8498,2628,,903d185fccf839df
1497359730022,2339,8551,2339,,903d185fccf839df
1497359730022,2339,8551,2339,,903d185fccf839df
1497359730202,2065,8416,2065,,903d185fccf839df
1497359730382,1981,8924,1981,,903d185fccf839df
1497359730382,1981,8924,1981,,903d185fccf839df
1497359730562,1886,9057,1886,,903d185fccf839df
1497359730562,1886,9057,1886,,903d185fccf839df
1497359730742,1950,8958,1950,,903d185fccf839df
1497359730742,1950,8958,1950,,903d185fccf839df
1497359730922,2080,9297,2080,,903d185fccf839df
1497359730922,2080,9297,2080,,903d185fccf839df
1497359731102,1973,9223,1973,,903d185fccf839df
1497359731286,1708,9074,1708,,903d185fccf839df
1497359731286,1708,9074,1708,,903d185fccf839df
1497359731462,1685,9078,1685,,903d185fccf839df
1497359731462,1685,9078,1685,,903d185fccf839df
1497359731641,1806,9280,1806,,903d185fccf839df
1497359731641,1806,9280,1806,,903d185fccf839df
1497359731822,1712,9130,1712,,903d185fccf839df
1497359731822,1712,9130,1712,,903d185fccf839df
1497359732016,1832,9280,1832,,903d185fccf839df
1497359732187,2002,9310,2002,,903d185fccf839df
1497359732187,2002,9310,2002,,903d185fccf839df
1497359732361,1870,9288,1870,,903d185fccf839df
1497359732361,1870,9288,1870,,903d185fccf839df
1497359732542,1783,9160,1783,,903d185fccf839df
1497359732542,1783,9160,1783,,903d185fccf839df
1497359732725,2101,9292,2101,,903d185fccf839df
1497359732725,2101,9292,2101,,903d185fccf839df
1497359732903,2242,9125,2242,,903d185fccf839df
1497359733081,2184,9174,2184,,903d185fccf839df
1497359733081,2184,9174,2184,,903d185fccf839df
1497359733264,2546,9095,2546,,903d185fccf839df
1497359733264,2546,9095,2546,,903d185fccf839df
1497359733441,2507,9094,2507,,903d185fccf839df
1497359733441,2507,9094,2507,,903d185fccf839df
1497359733621,2440,9154,2440,,903d185fccf839df
1497359733621,2440,9154,2440,,903d185fccf839df
1497359733810,3128,8952,3128,,903d185fccf839df
1497359733983,3320,8882,3320,,903d185fccf839df
1497359733983,3320,8882,3320,,903d185fccf839df
1497359734162,3363,8954,3363,,903d185fccf839df
1497359734162,3363,8954,3363,,903d185fccf839df
1497359734342,3678,8908,3678,,903d185fccf839df
1497359734342,3678,8908,3678,,903d185fccf839df
1497359734522,3803,8744,3803,,903d185fccf839df
1497359734522,3803,8744,3803,,903d185fccf839df
1497359734703,3862,8677,3862,,903d185fccf839df
1497359734882,4165,8558,4165,,903d185fccf839df
1497359734882,4165,8558,4165,,903d185fccf839df
1497359735062,4277,8523,4277,,903d185fccf839df
1497359735062,4277,8523,4277,,903d185fccf839df
1497359735242,4574,8370,4574,,903d185fccf839df
1497359735242,4574,8370,4574,,903d185fccf839df
1497359735424,4689,8441,4689,,903d185fccf839df
1497359735424,4689,8441,4689,,903d185fccf839df
1497359735601,5012,8211,5012,,903d185fccf839df
1497359735788,5353,7898,5353,,903d185fccf839df
1497359735788,5353,7898,5353,,903d185fccf839df
1497359735984,14350,6185,14350,,903d185fccf839df
1497359735984,14350,6185,14350,,903d185fccf839df
1497359736141,90068,6039,90068,,903d185fccf839df
1497359736141,90068,6039,90068,,903d185fccf839df
1497359736328,98788,5570,98788,,903d185fccf839df
1497359736328,98788,5570,98788,,903d185fccf839df
1497359736502,94163,5966,94163,,903d185fccf839df
1497359736682,95842,5632,95842,,903d185fccf839df
1497359736682,95842,5632,95842,,903d185fccf839df
1497359736867,121435,5716,121435,,903d185fccf839df
1497359736867,121435,5716,121435,,903d185fccf839df
1497359737047,111658,5654,111658,,903d185fccf839df
1497359737047,111658,5654,111658,,903d185fccf839df
1497359737222,4413,7901,4413,,903d185fccf839df
1497359737222,4413,7901,4413,,903d185fccf839df
1497359737402,4271,7798,4271,,903d185fccf839df
1497359737582,4102,8048,4102,,903d185fccf839df
1497359737582,4102,8048,4102,,903d185fccf839df
1497359737766,86052,5964,86052,,903d185fccf839df
1497359737766,86052,5964,86052,,903d185fccf839df
1497359737941,4072,7742,4072,,903d185fccf839df
1497359737941,4072,7742,4072,,903d185fccf839df
1497359738123,3832,7824,3832,,903d185fccf839df
1497359738123,3832,7824,3832,,903d185fccf839df
1497359738307,3592,7919,3592,,903d185fccf839df
1497359738482,3536,7986,3536,,903d185fccf839df
1497359738482,3536,7986,3536,,903d185fccf839df
1497359738663,3833,8064,3833,,903d185fccf839df
1497359738663,3833,8064,3833,,903d185fccf839df
1497359738846,3763,8132,3763,,903d185fccf839df
1497359738846,3763,8132,3763,,903d185fccf839df
1497359739022,3733,7794,3733,,903d185fccf839df
1497359739022,3733,7794,3733,,903d185fccf839df
1497359739205,3691,7947,3691,,903d185fccf839df
1497359739391,3522,7986,3522,,903d185fccf839df
1497359739391,3522,7986,3522,,903d185fccf839df
1497359739562,3394,7857,3394,,903d185fccf839df
1497359739562,3394,7857,3394,,903d185fccf839df
1497359739742,3635,8013,3635,,903d185fccf839df
1497359739742,3635,8013,3635,,903d185fccf839df
1497359739924,3465,8057,3465,,903d185fccf839df
1497359739924,3465,8057,3465,,903d185fccf839df
1497359740102,3224,7894,3224,,903d185fccf839df
1497359740285,3351,7758,3351,,903d185fccf839df
1497359740285,3351,7758,3351,,903d185fccf839df
1497359740462,3224,7894,3224,,903d185fccf839df
1497359740462,3224,7894,3224,,903d185fccf839df
1497359740642,4379,6896,4379,,903d185fccf839df
1497359740642,4379,6896,4379,,903d185fccf839df
1497359740823,3562,7344,3562,,903d185fccf839df
1497359740823,3562,7344,3562,,903d185fccf839df
1497359741003,3083,8048,3083,,903d185fccf839df
1497359741181,2913,7786,2913,,903d185fccf839df
1497359741181,2913,7786,2913,,903d185fccf839df
1497359741363,5081,6387,5081,,903d185fccf839df
1497359741363,5081,6387,5081,,903d185fccf839df
1497359741542,18434,5848,18434,,903d185fccf839df
1497359741542,18434,5848,18434,,903d185fccf839df
1497359741724,28105,6436,28105,,903d185fccf839df
1497359741724,28105,6436,28105,,903d185fccf839df
1497359741905,14230,5841,14230,,903d185fccf839df
1497359742082,6228,6773,6228,,903d185fccf839df
1497359742082,6228,6773,6228,,903d185fccf839df
1497359742266,3603,7210,3603,,903d185fccf839df
1497359742266,3603,7210,3603,,903d185fccf839df
1497359742442,39732,5679,39732,,903d185fccf839df
1497359742442,39732,5679,39732,,903d185fccf839df
1497359742623,27218,5733,27218,,903d185fccf839df
1497359742623,27218,5733,27218,,903d185fccf839df
1497359742805,24888,6394,24888,,903d185fccf839df
1497359742982,96335,5558,96335,,903d185fccf839df
1497359742982,96335,5558,96335,,903d185fccf839df
1497359743163,92105,5725,92105,,903d185fccf839df
1497359743163,92105,5725,92105,,903d185fccf839df
1497359743343,7004,6695,7004,,903d185fccf839df
1497359743343,7004,6695,7004,,903d185fccf839df
1497359743522,3093,6960,3093,,903d185fccf839df
1497359743522,3093,6960,3093,,903d185fccf839df
1497359743707,6576,6180,6576,,903d185fccf839df
1497359743884,690,8053,690,,903d185fccf839df
1497359743884,690,8053,690,,903d185fccf839df
1497359744070,2622,7497,2622,,903d185fccf839df
1497359744070,2622,7497,2622,,903d185fccf839df
1497359744242,2241,7780,2241,,903d185fccf839df
1497359744242,2241,7780,2241,,903d185fccf839df
1497359744422,2625,8066,2625,,903d185fccf839df
1497359744422,2625,8066,2625,,903d185fccf839df
1497359744602,2768,7647,2768,,903d185fccf839df
1497359744793,3686,6691,3686,,903d185fccf839df
1497359744793,3686,6691,3686,,903d185fccf839df
1497359744964,2232,8156,2232,,903d185fccf839df
1497359744964,2232,8156,2232,,903d185fccf839df
1497359745143,2812,7910,2812,,903d185fccf839df
1497359745143,2812,7910,2812,,903d185fccf839df
1497359745322,2503,7721,2503,,903d185fccf839df
1497359745322,2503,7721,2503,,903d185fccf839df
1497359745502,2797,8354,2797,,903d185fccf839df
1497359745682,6505,7083,6505,,903d185fccf839df
1497359745682,6505,7083,6505,,903d185fccf839df
1497359745866,64743,5409,64743,,903d185fccf839df
1497359745866,64743,5409,64743,,903d185fccf839df
1497359746042,4223,6884,4223,,903d185fccf839df
1497359746042,4223,6884,4223,,903d185fccf839df
1497359746223,43407,6436,43407,,903d185fccf839df
1497359746223,43407,6436,43407,,903d185fccf839df
1497359746403,64902,5571,64902,,903d185fccf839df
1497359746587,56753,6161,56753,,903d185fccf839df
1497359746587,56753,6161,56753,,903d185fccf839df
1497359746767,3424,8234,3424,,903d185fccf839df
1497359746767,3424,8234,3424,,903d185fccf839df
1497359746942,3155,8271,3155,,903d185fccf839df
1497359746942,3155,8271,3155,,903d185fccf839df
1497359747122,3183,8077,3183,,903d185fccf839df
1497359747122,3183,8077,3183,,903d185fccf839df
1497359747313,3665,8374,3665,,903d185fccf839df
1497359747483,3324,8211,3324,,903d185fccf839df
1497359747483,3324,8211,3324,,903d185fccf839df
1497359747663,3494,8156,3494,,903d185fccf839df
1497359747663,3494,8156,3494,,903d185fccf839df
1497359747843,3636,8277,3636,,903d185fccf839df
1497359747843,3636,8277,3636,,903d185fccf839df
1497359748022,3494,8156,3494,,903d185fccf839df
1497359748022,3494,8156,3494,,903d185fccf839df
1497359748206,3593,8180,3593,,903d185fccf839df
1497359748396,4089,8439,4089,,903d185fccf839df
1497359748396,4089,8439,4089,,903d185fccf839df
1497359748562,3961,8175,3961,,903d185fccf839df
1497359748562,3961,8175,3961,,903d185fccf839df
1497359748743,3792,8224,3792,,903d185fccf839df
1497359748743,3792,8224,3792,,903d185fccf839df
1497359748923,3807,8486,3807,,903d185fccf839df
1497359748923,3807,8486,3807,,903d185fccf839df
1497359749102,3651,8374,3651,,903d185fccf839df
1497359749282,3212,8495,3212,,903d185fccf839df
1497359749282,3212,8495,3212,,903d185fccf839df
1497359749463,3495,8439,3495,,903d185fccf839df
1497359749463,3495,8439,3495,,903d185fccf839df
1497359749642,3425,8527,3425,,903d185fccf839df
