timestamp, light1, light2, light3, UUID 
1497423286419,3023,7967,3023,,903d185fccf839df
1497423286604,3355,8005,3355,,903d185fccf839df
1497423286787,3625,8028,3625,,903d185fccf839df
1497423286787,3625,8028,3625,,903d185fccf839df
1497423286996,3471,8157,3471,,903d185fccf839df
1497423286996,3471,8157,3471,,903d185fccf839df
1497423287138,3492,8082,3492,,903d185fccf839df
1497423287322,3597,8097,3597,,903d185fccf839df
1497423287322,3597,8097,3597,,903d185fccf839df
1497423287499,3078,8208,3078,,903d185fccf839df
1497423287499,3078,8208,3078,,903d185fccf839df
1497423287678,3718,8104,3718,,903d185fccf839df
1497423287678,3718,8104,3718,,903d185fccf839df
1497423287858,4238,7974,4238,,903d185fccf839df
1497423288038,4307,7985,4307,,903d185fccf839df
1497423288218,4346,7993,4346,,903d185fccf839df
1497423288218,4346,7993,4346,,903d185fccf839df
1497423288398,4474,7918,4474,,903d185fccf839df
1497423288398,4474,7918,4474,,903d185fccf839df
1497423288584,4584,7880,4584,,903d185fccf839df
1497423288584,4584,7880,4584,,903d185fccf839df
1497423288758,4426,7980,4426,,903d185fccf839df
1497423288758,4426,7980,4426,,903d185fccf839df
1497423288939,4447,8055,4447,,903d185fccf839df
1497423289122,4264,8193,4264,,903d185fccf839df
1497423289122,4264,8193,4264,,903d185fccf839df
1497423289299,4098,8225,4098,,903d185fccf839df
1497423289299,4098,8225,4098,,903d185fccf839df
1497423289483,4346,8039,4346,,903d185fccf839df
1497423289483,4346,8039,4346,,903d185fccf839df
1497423289659,4151,7996,4151,,903d185fccf839df
1497423289659,4151,7996,4151,,903d185fccf839df
1497423289838,3795,7863,3795,,903d185fccf839df
1497423289838,3795,7863,3795,,903d185fccf839df
1497423290019,3922,7792,3922,,903d185fccf839df
1497423290199,4197,7689,4197,,903d185fccf839df
1497423290199,4197,7689,4197,,903d185fccf839df
1497423290384,4566,7725,4566,,903d185fccf839df
1497423290384,4566,7725,4566,,903d185fccf839df
1497423290559,5021,7550,5021,,903d185fccf839df
1497423290559,5021,7550,5021,,903d185fccf839df
1497423290739,5557,7441,5557,,903d185fccf839df
1497423290923,5424,7448,5424,,903d185fccf839df
1497423290923,5424,7448,5424,,903d185fccf839df
1497423291099,5209,7468,5209,,903d185fccf839df
1497423291099,5209,7468,5209,,903d185fccf839df
1497423291281,5452,7440,5452,,903d185fccf839df
1497423291281,5452,7440,5452,,903d185fccf839df
1497423291459,5456,7301,5456,,903d185fccf839df
1497423291459,5456,7301,5456,,903d185fccf839df
1497423291638,5527,7121,5527,,903d185fccf839df
1497423291818,6463,7107,6463,,903d185fccf839df
1497423291818,6463,7107,6463,,903d185fccf839df
1497423291999,7610,6807,7610,,903d185fccf839df
1497423291999,7610,6807,7610,,903d185fccf839df
1497423292181,7312,6752,7312,,903d185fccf839df
1497423292181,7312,6752,7312,,903d185fccf839df
1497423292358,6960,6720,6960,,903d185fccf839df
1497423292358,6960,6720,6960,,903d185fccf839df
1497423292538,6510,6662,6510,,903d185fccf839df
1497423292538,6510,6662,6510,,903d185fccf839df
1497423292727,6264,6656,6264,,903d185fccf839df
1497423292899,6295,6610,6295,,903d185fccf839df
1497423292899,6295,6610,6295,,903d185fccf839df
1497423293084,6879,6657,6879,,903d185fccf839df
1497423293084,6879,6657,6879,,903d185fccf839df
1497423293262,6351,6669,6351,,903d185fccf839df
1497423293262,6351,6669,6351,,903d185fccf839df
1497423293438,6227,6656,6227,,903d185fccf839df
1497423293622,7115,6685,7115,,903d185fccf839df
1497423293622,7115,6685,7115,,903d185fccf839df
1497423293800,6311,6637,6311,,903d185fccf839df
1497423293800,6311,6637,6311,,903d185fccf839df
1497423293979,6005,6633,6005,,903d185fccf839df
1497423293979,6005,6633,6005,,903d185fccf839df
1497423294160,6053,6660,6053,,903d185fccf839df
1497423294160,6053,6660,6053,,903d185fccf839df
1497423294339,7078,6726,7078,,903d185fccf839df
1497423294339,7078,6726,7078,,903d185fccf839df
1497423294518,6411,6741,6411,,903d185fccf839df
1497423294700,6694,6727,6694,,903d185fccf839df
1497423294700,6694,6727,6694,,903d185fccf839df
1497423294896,7859,6756,7859,,903d185fccf839df
1497423294896,7859,6756,7859,,903d185fccf839df
1497423295058,6381,6847,6381,,903d185fccf839df
1497423295058,6381,6847,6381,,903d185fccf839df
1497423295238,5617,6867,5617,,903d185fccf839df
1497423295238,5617,6867,5617,,903d185fccf839df
1497423295420,6881,6833,6881,,903d185fccf839df
1497423295599,7455,6743,7455,,903d185fccf839df
1497423295599,7455,6743,7455,,903d185fccf839df
1497423295779,7577,6693,7577,,903d185fccf839df
1497423295779,7577,6693,7577,,903d185fccf839df
1497423295959,7737,6687,7737,,903d185fccf839df
1497423295959,7737,6687,7737,,903d185fccf839df
1497423296152,6992,6726,6992,,903d185fccf839df
1497423296318,6426,6772,6426,,903d185fccf839df
1497423296318,6426,6772,6426,,903d185fccf839df
1497423296498,6297,6771,6297,,903d185fccf839df
1497423296498,6297,6771,6297,,903d185fccf839df
