timestamp, latitude, longitude, accuracy, UUID 
1497541014224,48.1567358,11.5673802,19.59000015258789,,903d185fccf839df
1497541018225,48.1567367,11.5673366,12,,903d185fccf839df
1497541019222,48.1567406,11.5673443,24,,903d185fccf839df
1497541020222,48.1567463,11.5673462,24,,903d185fccf839df
1497541021222,48.1567555,11.5673465,24,,903d185fccf839df
1497541022212,48.1567555,11.5673464,12,,903d185fccf839df
1497541023212,48.1567669,11.567332,12,,903d185fccf839df
1497541024000,48.1567729,11.5673281,12,,903d185fccf839df
1497541025000,48.1567821,11.5673192,12,,903d185fccf839df
1497541026000,48.1567926,11.5673152,12,,903d185fccf839df
1497541027000,48.1568004,11.56731,12,,903d185fccf839df
1497541028000,48.1568069,11.5673068,12,,903d185fccf839df
1497541029000,48.1568097,11.5673078,12,,903d185fccf839df
1497541030000,48.1568095,11.567312,12,,903d185fccf839df
1497541031000,48.1568095,11.567312,12,,903d185fccf839df
1497541032000,48.1568095,11.567312,8,,903d185fccf839df
1497541033000,48.1568354,11.5673291,12,,903d185fccf839df
1497541034000,48.1568463,11.5673426,8,,903d185fccf839df
1497541035000,48.1568513,11.5673692,8,,903d185fccf839df
1497541036000,48.156855,11.5673799,8,,903d185fccf839df
1497541037000,48.1568582,11.567389,8,,903d185fccf839df
1497541038000,48.1568648,11.5674014,8,,903d185fccf839df
1497541039000,48.1568693,11.5674281,8,,903d185fccf839df
1497541040000,48.1568694,11.5674283,12,,903d185fccf839df
1497541041000,48.1568694,11.5674284,12,,903d185fccf839df
1497541042000,48.1568694,11.5674284,12,,903d185fccf839df
1497541043000,48.1568694,11.5674284,12,,903d185fccf839df
1497541044000,48.1568982,11.5674893,12,,903d185fccf839df
1497541045000,48.1568982,11.5674893,12,,903d185fccf839df
1497541046000,48.1568982,11.5674893,12,,903d185fccf839df
1497541047000,48.1568982,11.5674893,12,,903d185fccf839df
1497541048000,48.1569161,11.5675199,12,,903d185fccf839df
1497541049000,48.1569253,11.5675249,8,,903d185fccf839df
1497541050000,48.156935,11.5675317,8,,903d185fccf839df
1497541051000,48.156935,11.5675317,12,,903d185fccf839df
1497541052000,48.156956,11.567541,12,,903d185fccf839df
1497541053000,48.1569689,11.5675448,12,,903d185fccf839df
1497541054000,48.1569689,11.5675448,12,,903d185fccf839df
1497541055000,48.1569689,11.5675448,12,,903d185fccf839df
1497541056000,48.1569689,11.5675448,12,,903d185fccf839df
1497541057000,48.1569689,11.5675448,12,,903d185fccf839df
1497541058000,48.1569689,11.5675448,12,,903d185fccf839df
1497541059000,48.1569689,11.5675448,16,,903d185fccf839df
1497541060000,48.1569689,11.5675448,16,,903d185fccf839df
1497541061000,48.1570524,11.5675786,16,,903d185fccf839df
1497541062000,48.1570524,11.5675786,12,,903d185fccf839df
1497541063000,48.1570706,11.5676036,12,,903d185fccf839df
1497541064000,48.157079,11.5676182,12,,903d185fccf839df
1497541065000,48.1570878,11.5676324,16,,903d185fccf839df
1497541066000,48.1570878,11.5676324,16,,903d185fccf839df
1497541067000,48.1570988,11.5676557,16,,903d185fccf839df
1497541066863,48.1570988,11.5676557,16.915000915527344,,903d185fccf839df
1497541068000,48.1570988,11.5676557,16,,903d185fccf839df
1497541069000,48.1570988,11.5676557,12,,903d185fccf839df
1497541070000,48.1571144,11.5676837,12,,903d185fccf839df
1497541071000,48.1571266,11.5676882,12,,903d185fccf839df
1497541072000,48.1571266,11.5676882,12,,903d185fccf839df
1497541073000,48.1571266,11.5676882,16,,903d185fccf839df
1497541074000,48.1571266,11.5676882,16,,903d185fccf839df
1497541075000,48.1572134,11.5675942,16,,903d185fccf839df
1497541076000,48.1572134,11.5675942,16,,903d185fccf839df
1497541077000,48.1572134,11.5675942,12,,903d185fccf839df
1497541078000,48.1572134,11.5675942,12,,903d185fccf839df
1497541079000,48.1572134,11.5675942,12,,903d185fccf839df
1497541080000,48.1572134,11.5675942,12,,903d185fccf839df
1497541081000,48.1572134,11.5675942,8,,903d185fccf839df
1497541082000,48.1573089,11.5676059,8,,903d185fccf839df
1497541083000,48.1573089,11.5676059,12,,903d185fccf839df
1497541084000,48.1573089,11.5676059,12,,903d185fccf839df
1497541085000,48.1573089,11.5676059,12,,903d185fccf839df
1497541086000,48.1573089,11.5676059,12,,903d185fccf839df
1497541087000,48.1573089,11.5676059,12,,903d185fccf839df
1497541088000,48.1573089,11.5676059,12,,903d185fccf839df
1497541089000,48.1573089,11.5676059,12,,903d185fccf839df
1497541090000,48.1574217,11.56765,12,,903d185fccf839df
1497541091000,48.1574611,11.5676569,12,,903d185fccf839df
1497541092000,48.1574934,11.5676627,12,,903d185fccf839df
1497541093000,48.1574934,11.5676627,12,,903d185fccf839df
1497541094000,48.1574934,11.5676627,12,,903d185fccf839df
1497541095000,48.1574934,11.5676627,6,,903d185fccf839df
1497541096000,48.1575638,11.5676393,6,,903d185fccf839df
1497541097000,48.1575638,11.5676393,6,,903d185fccf839df
1497541098000,48.1576038,11.5675474,6,,903d185fccf839df
1497541099000,48.1576236,11.5674717,4,,903d185fccf839df
1497541100000,48.1576396,11.5674254,4,,903d185fccf839df
1497541101000,48.1576513,11.5674051,8,,903d185fccf839df
1497541102000,48.1576599,11.5673876,8,,903d185fccf839df
1497541103000,48.1576639,11.5673707,12,,903d185fccf839df
1497541104000,48.1576743,11.5673704,16,,903d185fccf839df
1497541105000,48.1576729,11.5673654,8,,903d185fccf839df
1497541106000,48.1576668,11.567355,8,,903d185fccf839df
1497541107000,48.157675,11.5673329,16,,903d185fccf839df
1497541108000,48.1576852,11.5673116,16,,903d185fccf839df
1497541109000,48.1576941,11.5672933,8,,903d185fccf839df
1497541110000,48.1577069,11.5673078,16,,903d185fccf839df
1497541111000,48.1577214,11.567283,8,,903d185fccf839df
1497541112000,48.1577521,11.5672521,12,,903d185fccf839df
1497541113000,48.1577879,11.5672219,12,,903d185fccf839df
1497541114000,48.1578196,11.567188,12,,903d185fccf839df
1497541115000,48.1578323,11.5671779,8,,903d185fccf839df
1497541116000,48.1578421,11.5671593,8,,903d185fccf839df
1497541117000,48.1578527,11.5671416,8,,903d185fccf839df
1497541118000,48.1578608,11.5671252,8,,903d185fccf839df
1497541119000,48.1578679,11.5671062,12,,903d185fccf839df
1497541120000,48.1578762,11.5670908,12,,903d185fccf839df
1497541121000,48.1578848,11.5670761,12,,903d185fccf839df
1497541122000,48.1579014,11.5670341,12,,903d185fccf839df
1497541123000,48.157908,11.5670216,12,,903d185fccf839df
1497541124000,48.1579127,11.5670089,16,,903d185fccf839df
1497541125000,48.1579145,11.566999,16,,903d185fccf839df
1497541126000,48.1579146,11.566999,16,,903d185fccf839df
1497541127000,48.1579146,11.566999,16,,903d185fccf839df
1497541128000,48.1579146,11.566999,12,,903d185fccf839df
