timestamp, light1, light2, light3, UUID 
1498057231015,1938,8160,1938,,903d185fccf839df
1498057231202,2146,8225,2146,,903d185fccf839df
1498057231202,2146,8225,2146,,903d185fccf839df
1498057231369,2582,8205,2582,,903d185fccf839df
1498057231369,2582,8205,2582,,903d185fccf839df
1498057231553,2431,8196,2431,,903d185fccf839df
1498057231553,2431,8196,2431,,903d185fccf839df
1498057231729,2339,8221,2339,,903d185fccf839df
1498057231729,2339,8221,2339,,903d185fccf839df
1498057231909,2277,8231,2277,,903d185fccf839df
1498057231909,2277,8231,2277,,903d185fccf839df
1498057232098,2251,8295,2251,,903d185fccf839df
1498057232270,2449,8280,2449,,903d185fccf839df
1498057232270,2449,8280,2449,,903d185fccf839df
1498057232453,2630,8261,2630,,903d185fccf839df
1498057232629,2666,8285,2666,,903d185fccf839df
1498057232629,2666,8285,2666,,903d185fccf839df
1498057232629,2666,8285,2666,,903d185fccf839df
1498057232809,2618,8241,2618,,903d185fccf839df
1498057232989,2637,8202,2637,,903d185fccf839df
1498057232989,2637,8202,2637,,903d185fccf839df
1498057233169,2432,8148,2432,,903d185fccf839df
1498057233169,2432,8148,2432,,903d185fccf839df
1498057233348,2413,8115,2413,,903d185fccf839df
1498057233348,2413,8115,2413,,903d185fccf839df
1498057233535,2278,8066,2278,,903d185fccf839df
1498057233535,2278,8066,2278,,903d185fccf839df
1498057233712,2045,8016,2045,,903d185fccf839df
1498057233712,2045,8016,2045,,903d185fccf839df
1498057233888,1826,7994,1826,,903d185fccf839df
1498057234072,1692,7999,1692,,903d185fccf839df
1498057234072,1692,7999,1692,,903d185fccf839df
1498057234252,1538,8021,1538,,903d185fccf839df
1498057234252,1538,8021,1538,,903d185fccf839df
1498057234428,1374,8022,1374,,903d185fccf839df
1498057234428,1374,8022,1374,,903d185fccf839df
1498057234610,1339,7969,1339,,903d185fccf839df
1498057234792,1360,7889,1360,,903d185fccf839df
1498057234792,1360,7889,1360,,903d185fccf839df
1498057234970,1427,7695,1427,,903d185fccf839df
1498057234970,1427,7695,1427,,903d185fccf839df
1498057235148,1388,7654,1388,,903d185fccf839df
1498057235148,1388,7654,1388,,903d185fccf839df
1498057235330,1134,7570,1134,,903d185fccf839df
1498057235330,1134,7570,1134,,903d185fccf839df
1498057235514,969,7478,969,,903d185fccf839df
1498057235514,969,7478,969,,903d185fccf839df
1498057235693,904,7443,904,,903d185fccf839df
1498057235872,852,7407,852,,903d185fccf839df
1498057235872,852,7407,852,,903d185fccf839df
1498057236056,776,7413,776,,903d185fccf839df
1498057236056,776,7413,776,,903d185fccf839df
1498057236229,828,7449,828,,903d185fccf839df
1498057236229,828,7449,828,,903d185fccf839df
1498057236413,812,7474,812,,903d185fccf839df
1498057236413,812,7474,812,,903d185fccf839df
1498057236592,821,7474,821,,903d185fccf839df
1498057236769,905,7582,905,,903d185fccf839df
1498057236769,905,7582,905,,903d185fccf839df
1498057236949,928,7613,928,,903d185fccf839df
1498057236949,928,7613,928,,903d185fccf839df
1498057237137,945,7611,945,,903d185fccf839df
1498057237137,945,7611,945,,903d185fccf839df
1498057237311,1002,7646,1002,,903d185fccf839df
1498057237311,1002,7646,1002,,903d185fccf839df
1498057237492,1063,7699,1063,,903d185fccf839df
1498057237683,1175,7676,1175,,903d185fccf839df
1498057237683,1175,7676,1175,,903d185fccf839df
1498057237849,1179,7707,1179,,903d185fccf839df
1498057237849,1179,7707,1179,,903d185fccf839df
1498057238029,1191,7727,1191,,903d185fccf839df
1498057238029,1191,7727,1191,,903d185fccf839df
1498057238209,1311,7759,1311,,903d185fccf839df
1498057238390,1365,7793,1365,,903d185fccf839df
1498057238390,1365,7793,1365,,903d185fccf839df
1498057238569,1498,7883,1498,,903d185fccf839df
1498057238569,1498,7883,1498,,903d185fccf839df
1498057238751,1506,7902,1506,,903d185fccf839df
1498057238751,1506,7902,1506,,903d185fccf839df
1498057238942,1520,7933,1520,,903d185fccf839df
1498057238942,1520,7933,1520,,903d185fccf839df
1498057239111,1574,7952,1574,,903d185fccf839df
1498057239289,1832,7942,1832,,903d185fccf839df
1498057239289,1832,7942,1832,,903d185fccf839df
1498057239473,1846,7969,1846,,903d185fccf839df
1498057239473,1846,7969,1846,,903d185fccf839df
1498057239649,2129,7967,2129,,903d185fccf839df
1498057239649,2129,7967,2129,,903d185fccf839df
1498057239829,2294,7979,2294,,903d185fccf839df
1498057239829,2294,7979,2294,,903d185fccf839df
1498057240008,2590,7981,2590,,903d185fccf839df
1498057240190,2495,7983,2495,,903d185fccf839df
1498057240190,2495,7983,2495,,903d185fccf839df
1498057240372,2516,7929,2516,,903d185fccf839df
1498057240372,2516,7929,2516,,903d185fccf839df
1498057240548,2556,8006,2556,,903d185fccf839df
1498057240548,2556,8006,2556,,903d185fccf839df
1498057240729,2453,7919,2453,,903d185fccf839df
1498057240729,2453,7919,2453,,903d185fccf839df
1498057240913,2291,7960,2291,,903d185fccf839df
1498057240913,2291,7960,2291,,903d185fccf839df
1498057241090,2107,8093,2107,,903d185fccf839df
1498057241269,1978,8011,1978,,903d185fccf839df
1498057241269,1978,8011,1978,,903d185fccf839df
1498057241453,1917,7856,1917,,903d185fccf839df
1498057241453,1917,7856,1917,,903d185fccf839df
1498057241631,1858,7804,1858,,903d185fccf839df
1498057241631,1858,7804,1858,,903d185fccf839df
1498057241809,1519,7868,1519,,903d185fccf839df
1498057241990,1543,7673,1543,,903d185fccf839df
1498057241990,1543,7673,1543,,903d185fccf839df
1498057242169,1445,7409,1445,,903d185fccf839df
1498057242169,1445,7409,1445,,903d185fccf839df
1498057242362,1210,7340,1210,,903d185fccf839df
1498057242362,1210,7340,1210,,903d185fccf839df
1498057242530,1134,7240,1134,,903d185fccf839df
1498057242530,1134,7240,1134,,903d185fccf839df
1498057242713,1121,7290,1121,,903d185fccf839df
1498057242891,1091,7488,1091,,903d185fccf839df
1498057242891,1091,7488,1091,,903d185fccf839df
1498057243069,823,7605,823,,903d185fccf839df
1498057243069,823,7605,823,,903d185fccf839df
1498057243251,824,7520,824,,903d185fccf839df
1498057243251,824,7520,824,,903d185fccf839df
1498057243432,869,7604,869,,903d185fccf839df
1498057243432,869,7604,869,,903d185fccf839df
1498057243610,828,7537,828,,903d185fccf839df
1498057243610,828,7537,828,,903d185fccf839df
1498057243792,791,7527,791,,903d185fccf839df
1498057243971,750,7450,750,,903d185fccf839df
1498057243971,750,7450,750,,903d185fccf839df
1498057244150,749,7408,749,,903d185fccf839df
1498057244150,749,7408,749,,903d185fccf839df
1498057244331,670,7158,670,,903d185fccf839df
1498057244331,670,7158,670,,903d185fccf839df
1498057244510,670,7147,670,,903d185fccf839df
1498057244510,670,7147,670,,903d185fccf839df
1498057244691,667,7111,667,,903d185fccf839df
1498057244871,657,7044,657,,903d185fccf839df
1498057244871,657,7044,657,,903d185fccf839df
1498057245050,613,7083,613,,903d185fccf839df
1498057245050,613,7083,613,,903d185fccf839df
1498057245228,542,6907,542,,903d185fccf839df
1498057245228,542,6907,542,,903d185fccf839df
1498057245416,610,7142,610,,903d185fccf839df
1498057245416,610,7142,610,,903d185fccf839df
1498057245591,758,7341,758,,903d185fccf839df
1498057245775,810,7494,810,,903d185fccf839df
1498057245775,810,7494,810,,903d185fccf839df
1498057245955,959,7687,959,,903d185fccf839df
1498057245955,959,7687,959,,903d185fccf839df
1498057246131,1398,7920,1398,,903d185fccf839df
1498057246131,1398,7920,1398,,903d185fccf839df
1498057246310,1598,8040,1598,,903d185fccf839df
1498057246310,1598,8040,1598,,903d185fccf839df
1498057246495,1719,8113,1719,,903d185fccf839df
1498057246668,2014,8187,2014,,903d185fccf839df
1498057246668,2014,8187,2014,,903d185fccf839df
1498057246852,2542,8152,2542,,903d185fccf839df
1498057246852,2542,8152,2542,,903d185fccf839df
1498057247032,2886,8134,2886,,903d185fccf839df
1498057247032,2886,8134,2886,,903d185fccf839df
1498057247210,3230,8112,3230,,903d185fccf839df
1498057247210,3230,8112,3230,,903d185fccf839df
1498057247394,3473,8079,3473,,903d185fccf839df
1498057247571,3567,8034,3567,,903d185fccf839df
1498057247571,3567,8034,3567,,903d185fccf839df
1498057247761,3674,7965,3674,,903d185fccf839df
1498057247761,3674,7965,3674,,903d185fccf839df
1498057247930,3654,7846,3654,,903d185fccf839df
1498057247930,3654,7846,3654,,903d185fccf839df
1498057248116,3720,7783,3720,,903d185fccf839df
1498057248116,3720,7783,3720,,903d185fccf839df
1498057248298,3843,7773,3843,,903d185fccf839df
1498057248469,3937,7732,3937,,903d185fccf839df
1498057248469,3937,7732,3937,,903d185fccf839df
1498057248651,3456,7785,3456,,903d185fccf839df
1498057248651,3456,7785,3456,,903d185fccf839df
1498057248834,3193,7808,3193,,903d185fccf839df
1498057248834,3193,7808,3193,,903d185fccf839df
1498057249010,3194,7733,3194,,903d185fccf839df
1498057249189,2992,7732,2992,,903d185fccf839df
1498057249189,2992,7732,2992,,903d185fccf839df
1498057249371,2898,7638,2898,,903d185fccf839df
1498057249371,2898,7638,2898,,903d185fccf839df
1498057249550,2826,7633,2826,,903d185fccf839df
