timestamp, light1, light2, light3, UUID 
1498458286972,1596,5618,1596,,903d185fccf839df
1498458288352,1530,5489,1530,,903d185fccf839df
1498458288532,2146,5520,2146,,903d185fccf839df
1498458288730,3741,5636,3741,,903d185fccf839df
1498458288730,3741,5636,3741,,903d185fccf839df
1498458288895,5512,5829,5512,,903d185fccf839df
1498458288895,5512,5829,5512,,903d185fccf839df
1498458289076,5067,5782,5067,,903d185fccf839df
1498458289076,5067,5782,5067,,903d185fccf839df
1498458289254,6012,5987,6012,,903d185fccf839df
1498458289432,6664,6085,6664,,903d185fccf839df
1498458289432,6664,6085,6664,,903d185fccf839df
1498458289613,6307,6023,6307,,903d185fccf839df
1498458289613,6307,6023,6307,,903d185fccf839df
1498458289792,6052,5956,6052,,903d185fccf839df
1498458289973,6157,6032,6157,,903d185fccf839df
1498458289973,6157,6032,6157,,903d185fccf839df
1498458290154,5426,5936,5426,,903d185fccf839df
1498458290332,5886,6056,5886,,903d185fccf839df
1498458290332,5886,6056,5886,,903d185fccf839df
1498458290514,6199,6117,6199,,903d185fccf839df
1498458290514,6199,6117,6199,,903d185fccf839df
1498458290693,5623,6065,5623,,903d185fccf839df
1498458290693,5623,6065,5623,,903d185fccf839df
1498458290872,5575,6143,5575,,903d185fccf839df
1498458290872,5575,6143,5575,,903d185fccf839df
1498458291056,6093,6304,6093,,903d185fccf839df
1498458291056,6093,6304,6093,,903d185fccf839df
1498458291245,5732,6275,5732,,903d185fccf839df
1498458291413,6707,6413,6707,,903d185fccf839df
1498458291413,6707,6413,6707,,903d185fccf839df
1498458291593,6213,6374,6213,,903d185fccf839df
1498458291593,6213,6374,6213,,903d185fccf839df
1498458291774,6089,6404,6089,,903d185fccf839df
1498458291774,6089,6404,6089,,903d185fccf839df
1498458291956,5865,6454,5865,,903d185fccf839df
1498458292132,5002,6459,5002,,903d185fccf839df
1498458292132,5002,6459,5002,,903d185fccf839df
1498458292312,4360,6321,4360,,903d185fccf839df
1498458292312,4360,6321,4360,,903d185fccf839df
1498458292493,5911,6520,5911,,903d185fccf839df
1498458292493,5911,6520,5911,,903d185fccf839df
1498458292672,6329,6504,6329,,903d185fccf839df
1498458292672,6329,6504,6329,,903d185fccf839df
1498458292854,6162,6567,6162,,903d185fccf839df
1498458292854,6162,6567,6162,,903d185fccf839df
1498458293032,5989,6615,5989,,903d185fccf839df
1498458293215,4513,6677,4513,,903d185fccf839df
1498458293215,4513,6677,4513,,903d185fccf839df
1498458293399,4292,6622,4292,,903d185fccf839df
1498458293399,4292,6622,4292,,903d185fccf839df
1498458293573,5145,6650,5145,,903d185fccf839df
1498458293573,5145,6650,5145,,903d185fccf839df
1498458293752,5232,6687,5232,,903d185fccf839df
1498458293752,5232,6687,5232,,903d185fccf839df
1498458293934,4817,6713,4817,,903d185fccf839df
1498458294119,4479,6795,4479,,903d185fccf839df
1498458294119,4479,6795,4479,,903d185fccf839df
1498458294293,3938,6920,3938,,903d185fccf839df
1498458294293,3938,6920,3938,,903d185fccf839df
1498458294480,3499,7403,3499,,903d185fccf839df
1498458294480,3499,7403,3499,,903d185fccf839df
1498458294662,3144,8340,3144,,903d185fccf839df
1498458294832,3145,8636,3145,,903d185fccf839df
1498458294832,3145,8636,3145,,903d185fccf839df
1498458295015,2817,9267,2817,,903d185fccf839df
1498458295015,2817,9267,2817,,903d185fccf839df
1498458295197,2728,9599,2728,,903d185fccf839df
1498458295197,2728,9599,2728,,903d185fccf839df
1498458295373,2622,9692,2622,,903d185fccf839df
1498458295373,2622,9692,2622,,903d185fccf839df
1498458295553,2423,9426,2423,,903d185fccf839df
1498458295553,2423,9426,2423,,903d185fccf839df
1498458295741,2541,9508,2541,,903d185fccf839df
1498458295912,2682,9306,2682,,903d185fccf839df
1498458295912,2682,9306,2682,,903d185fccf839df
1498458296092,2725,9054,2725,,903d185fccf839df
1498458296092,2725,9054,2725,,903d185fccf839df
1498458296274,2499,9496,2499,,903d185fccf839df
1498458296274,2499,9496,2499,,903d185fccf839df
1498458296457,2312,9577,2312,,903d185fccf839df
1498458296634,2319,9476,2319,,903d185fccf839df
1498458296634,2319,9476,2319,,903d185fccf839df
1498458296838,2463,9430,2463,,903d185fccf839df
1498458296838,2463,9430,2463,,903d185fccf839df
1498458296993,2419,9262,2419,,903d185fccf839df
1498458296993,2419,9262,2419,,903d185fccf839df
1498458297174,2401,9388,2401,,903d185fccf839df
1498458297174,2401,9388,2401,,903d185fccf839df
1498458297353,2367,9414,2367,,903d185fccf839df
1498458297537,2307,9413,2307,,903d185fccf839df
1498458297537,2307,9413,2307,,903d185fccf839df
1498458297712,2352,9227,2352,,903d185fccf839df
1498458297712,2352,9227,2352,,903d185fccf839df
1498458297903,2377,9276,2377,,903d185fccf839df
1498458297903,2377,9276,2377,,903d185fccf839df
1498458298072,2291,9274,2291,,903d185fccf839df
1498458298072,2291,9274,2291,,903d185fccf839df
1498458298254,2398,9305,2398,,903d185fccf839df
1498458298433,2797,9079,2797,,903d185fccf839df
1498458298433,2797,9079,2797,,903d185fccf839df
1498458298625,3049,9431,3049,,903d185fccf839df
1498458298625,3049,9431,3049,,903d185fccf839df
1498458298793,3045,9532,3045,,903d185fccf839df
1498458298793,3045,9532,3045,,903d185fccf839df
1498458298975,2999,9497,2999,,903d185fccf839df
1498458298975,2999,9497,2999,,903d185fccf839df
