timestamp, light1, light2, light3, UUID 
1495442713431,3350,8592,3350,,903d185fccf839df
1495442713615,3351,8572,3351,,903d185fccf839df
1495442713615,3351,8572,3351,,903d185fccf839df
1495442713615,3351,8572,3351,,903d185fccf839df
1495442713800,3545,8579,3545,,903d185fccf839df
1495442713976,3637,8596,3637,,903d185fccf839df
1495442713976,3637,8596,3637,,903d185fccf839df
1495442714155,3862,8639,3862,,903d185fccf839df
1495442714155,3862,8639,3862,,903d185fccf839df
1495442714331,3894,8676,3894,,903d185fccf839df
1495442714331,3894,8676,3894,,903d185fccf839df
1495442714511,3975,8695,3975,,903d185fccf839df
1495442714511,3975,8695,3975,,903d185fccf839df
1495442714733,3934,8703,3934,,903d185fccf839df
1495442714872,3803,8668,3803,,903d185fccf839df
1495442715058,4087,8645,4087,,903d185fccf839df
1495442715058,4087,8645,4087,,903d185fccf839df
1495442715233,4324,8646,4324,,903d185fccf839df
1495442715233,4324,8646,4324,,903d185fccf839df
1495442715411,4415,8669,4415,,903d185fccf839df
1495442715411,4415,8669,4415,,903d185fccf839df
1495442715601,4497,8686,4497,,903d185fccf839df
1495442715601,4497,8686,4497,,903d185fccf839df
1495442715778,3849,8553,3849,,903d185fccf839df
1495442715954,4229,8705,4229,,903d185fccf839df
1495442715954,4229,8705,4229,,903d185fccf839df
1495442716132,4220,8747,4220,,903d185fccf839df
1495442716132,4220,8747,4220,,903d185fccf839df
1495442716312,4157,8732,4157,,903d185fccf839df
1495442716312,4157,8732,4157,,903d185fccf839df
1495442716492,3941,8692,3941,,903d185fccf839df
1495442716678,3990,8708,3990,,903d185fccf839df
1495442716678,3990,8708,3990,,903d185fccf839df
1495442716851,3892,8665,3892,,903d185fccf839df
1495442716851,3892,8665,3892,,903d185fccf839df
1495442717032,4174,8782,4174,,903d185fccf839df
1495442717032,4174,8782,4174,,903d185fccf839df
1495442717216,5449,7792,5449,,903d185fccf839df
1495442717216,5449,7792,5449,,903d185fccf839df
1495442717392,12468,7403,12468,,903d185fccf839df
1495442717573,17936,6103,17936,,903d185fccf839df
1495442717573,17936,6103,17936,,903d185fccf839df
1495442717756,15886,6207,15886,,903d185fccf839df
1495442717756,15886,6207,15886,,903d185fccf839df
1495442717934,12071,6884,12071,,903d185fccf839df
1495442717934,12071,6884,12071,,903d185fccf839df
1495442718112,12938,7421,12938,,903d185fccf839df
1495442718112,12938,7421,12938,,903d185fccf839df
1495442718291,21644,6132,21644,,903d185fccf839df
1495442718472,36055,6159,36055,,903d185fccf839df
1495442718472,36055,6159,36055,,903d185fccf839df
1495442718651,24632,6387,24632,,903d185fccf839df
1495442718651,24632,6387,24632,,903d185fccf839df
1495442718832,25675,5987,25675,,903d185fccf839df
1495442718832,25675,5987,25675,,903d185fccf839df
1495442719011,13495,7281,13495,,903d185fccf839df
1495442719011,13495,7281,13495,,903d185fccf839df
1495442719192,19061,6559,19061,,903d185fccf839df
1495442719192,19061,6559,19061,,903d185fccf839df
1495442719374,41959,6479,41959,,903d185fccf839df
1495442719554,37207,6330,37207,,903d185fccf839df
1495442719554,37207,6330,37207,,903d185fccf839df
1495442719731,38373,6258,38373,,903d185fccf839df
1495442719731,38373,6258,38373,,903d185fccf839df
1495442719917,37950,5969,37950,,903d185fccf839df
1495442719917,37950,5969,37950,,903d185fccf839df
1495442720094,13057,7185,13057,,903d185fccf839df
1495442720272,21199,6722,21199,,903d185fccf839df
1495442720272,21199,6722,21199,,903d185fccf839df
1495442720451,23830,6064,23830,,903d185fccf839df
1495442720451,23830,6064,23830,,903d185fccf839df
1495442720637,15900,6613,15900,,903d185fccf839df
1495442720637,15900,6613,15900,,903d185fccf839df
1495442720816,25784,6561,25784,,903d185fccf839df
1495442720816,25784,6561,25784,,903d185fccf839df
1495442720993,10338,7813,10338,,903d185fccf839df
1495442721172,17888,6534,17888,,903d185fccf839df
1495442721172,17888,6534,17888,,903d185fccf839df
1495442721352,20133,7039,20133,,903d185fccf839df
1495442721352,20133,7039,20133,,903d185fccf839df
1495442721533,20725,6496,20725,,903d185fccf839df
1495442721533,20725,6496,20725,,903d185fccf839df
1495442721712,16291,6458,16291,,903d185fccf839df
1495442721712,16291,6458,16291,,903d185fccf839df
1495442721894,6171,8697,6171,,903d185fccf839df
1495442721894,6171,8697,6171,,903d185fccf839df
1495442722073,8949,7520,8949,,903d185fccf839df
1495442722255,5732,8608,5732,,903d185fccf839df
1495442722255,5732,8608,5732,,903d185fccf839df
1495442722433,6665,8511,6665,,903d185fccf839df
1495442722433,6665,8511,6665,,903d185fccf839df
1495442722611,11154,7549,11154,,903d185fccf839df
1495442722611,11154,7549,11154,,903d185fccf839df
1495442722794,7666,8019,7666,,903d185fccf839df
1495442722794,7666,8019,7666,,903d185fccf839df
1495442722973,8214,7570,8214,,903d185fccf839df
1495442723157,7666,7974,7666,,903d185fccf839df
1495442723157,7666,7974,7666,,903d185fccf839df
1495442723333,10599,7224,10599,,903d185fccf839df
1495442723333,10599,7224,10599,,903d185fccf839df
1495442723514,33014,6222,33014,,903d185fccf839df
1495442723514,33014,6222,33014,,903d185fccf839df
1495442723699,25175,6529,25175,,903d185fccf839df
1495442723699,25175,6529,25175,,903d185fccf839df
1495442723873,23593,6139,23593,,903d185fccf839df
1495442724056,27479,6378,27479,,903d185fccf839df
1495442724056,27479,6378,27479,,903d185fccf839df
1495442724232,23604,6867,23604,,903d185fccf839df
1495442724232,23604,6867,23604,,903d185fccf839df
1495442724415,8802,7068,8802,,903d185fccf839df
1495442724415,8802,7068,8802,,903d185fccf839df
1495442724592,14045,6344,14045,,903d185fccf839df
1495442724592,14045,6344,14045,,903d185fccf839df
1495442724774,20456,6078,20456,,903d185fccf839df
1495442724952,23674,6045,23674,,903d185fccf839df
1495442724952,23674,6045,23674,,903d185fccf839df
1495442725132,19463,5900,19463,,903d185fccf839df
1495442725132,19463,5900,19463,,903d185fccf839df
1495442725315,12331,6749,12331,,903d185fccf839df
1495442725315,12331,6749,12331,,903d185fccf839df
1495442725492,12106,6846,12106,,903d185fccf839df
1495442725673,9055,6970,9055,,903d185fccf839df
1495442725673,9055,6970,9055,,903d185fccf839df
1495442725853,10241,6981,10241,,903d185fccf839df
1495442725853,10241,6981,10241,,903d185fccf839df
1495442726034,8346,6739,8346,,903d185fccf839df
1495442726034,8346,6739,8346,,903d185fccf839df
1495442726212,27285,6868,27285,,903d185fccf839df
1495442726212,27285,6868,27285,,903d185fccf839df
1495442726391,14173,6379,14173,,903d185fccf839df
1495442726391,14173,6379,14173,,903d185fccf839df
1495442726587,8769,6617,8769,,903d185fccf839df
1495442726761,10493,6912,10493,,903d185fccf839df
1495442726761,10493,6912,10493,,903d185fccf839df
1495442726932,7867,6841,7867,,903d185fccf839df
1495442726932,7867,6841,7867,,903d185fccf839df
1495442727112,8841,6862,8841,,903d185fccf839df
1495442727112,8841,6862,8841,,903d185fccf839df
1495442727292,14461,6906,14461,,903d185fccf839df
1495442727471,13482,6438,13482,,903d185fccf839df
1495442727471,13482,6438,13482,,903d185fccf839df
1495442727657,20380,5935,20380,,903d185fccf839df
1495442727657,20380,5935,20380,,903d185fccf839df
1495442727836,30333,5538,30333,,903d185fccf839df
1495442727836,30333,5538,30333,,903d185fccf839df
1495442728026,19228,5964,19228,,903d185fccf839df
1495442728026,19228,5964,19228,,903d185fccf839df
1495442728193,17545,6395,17545,,903d185fccf839df
1495442728380,14617,6909,14617,,903d185fccf839df
1495442728380,14617,6909,14617,,903d185fccf839df
1495442728551,13611,6523,13611,,903d185fccf839df
1495442728551,13611,6523,13611,,903d185fccf839df
1495442728733,19388,6095,19388,,903d185fccf839df
1495442728733,19388,6095,19388,,903d185fccf839df
1495442728913,18996,6174,18996,,903d185fccf839df
1495442728913,18996,6174,18996,,903d185fccf839df
1495442729093,15279,7458,15279,,903d185fccf839df
1495442729093,15279,7458,15279,,903d185fccf839df
1495442729289,15176,7328,15176,,903d185fccf839df
1495442729453,13785,6762,13785,,903d185fccf839df
1495442729453,13785,6762,13785,,903d185fccf839df
1495442729636,12528,6722,12528,,903d185fccf839df
1495442729636,12528,6722,12528,,903d185fccf839df
