timestamp, light1, light2, light3, UUID 
1495814783038,1406,8944,1406,,903d185fccf839df
1495814783328,1466,9005,1466,,903d185fccf839df
1495814783418,1505,9054,1505,,903d185fccf839df
1495814783418,1505,9054,1505,,903d185fccf839df
1495814783589,1516,9085,1516,,903d185fccf839df
1495814783778,1583,9099,1583,,903d185fccf839df
1495814783937,1550,9084,1550,,903d185fccf839df
1495814783937,1550,9084,1550,,903d185fccf839df
1495814784124,1573,9069,1573,,903d185fccf839df
1495814784124,1573,9069,1573,,903d185fccf839df
1495814784294,1568,9069,1568,,903d185fccf839df
1495814784294,1568,9069,1568,,903d185fccf839df
1495814784517,1634,9127,1634,,903d185fccf839df
1495814784657,1720,9236,1720,,903d185fccf839df
1495814784840,1742,9248,1742,,903d185fccf839df
1495814784840,1742,9248,1742,,903d185fccf839df
1495814785020,1741,9276,1741,,903d185fccf839df
1495814785020,1741,9276,1741,,903d185fccf839df
1495814785196,1843,9426,1843,,903d185fccf839df
1495814785196,1843,9426,1843,,903d185fccf839df
1495814785377,1835,9456,1835,,903d185fccf839df
1495814785377,1835,9456,1835,,903d185fccf839df
1495814785555,1782,9327,1782,,903d185fccf839df
1495814785555,1782,9327,1782,,903d185fccf839df
1495814785743,1755,9317,1755,,903d185fccf839df
1495814785918,1750,9418,1750,,903d185fccf839df
1495814785918,1750,9418,1750,,903d185fccf839df
1495814786096,1780,9398,1780,,903d185fccf839df
1495814786096,1780,9398,1780,,903d185fccf839df
1495814786277,1718,9251,1718,,903d185fccf839df
1495814786456,1705,9209,1705,,903d185fccf839df
1495814786456,1705,9209,1705,,903d185fccf839df
1495814786637,1759,9260,1759,,903d185fccf839df
1495814786637,1759,9260,1759,,903d185fccf839df
1495814786818,1586,9099,1586,,903d185fccf839df
1495814786818,1586,9099,1586,,903d185fccf839df
1495814786996,1706,9166,1706,,903d185fccf839df
1495814786996,1706,9166,1706,,903d185fccf839df
1495814787179,1748,9233,1748,,903d185fccf839df
1495814787179,1748,9233,1748,,903d185fccf839df
1495814787357,1744,9248,1744,,903d185fccf839df
1495814787536,1829,9252,1829,,903d185fccf839df
1495814787536,1829,9252,1829,,903d185fccf839df
1495814787717,1792,9174,1792,,903d185fccf839df
1495814787717,1792,9174,1792,,903d185fccf839df
1495814787896,1766,9135,1766,,903d185fccf839df
1495814787896,1766,9135,1766,,903d185fccf839df
1495814788080,1810,9241,1810,,903d185fccf839df
1495814788080,1810,9241,1810,,903d185fccf839df
1495814788256,2056,9536,2056,,903d185fccf839df
1495814788437,2135,9676,2135,,903d185fccf839df
1495814788437,2135,9676,2135,,903d185fccf839df
1495814788619,2109,9609,2109,,903d185fccf839df
1495814788619,2109,9609,2109,,903d185fccf839df
1495814788796,2064,9509,2064,,903d185fccf839df
1495814788796,2064,9509,2064,,903d185fccf839df
1495814788977,1923,9345,1923,,903d185fccf839df
1495814788977,1923,9345,1923,,903d185fccf839df
1495814789160,1957,9391,1957,,903d185fccf839df
1495814789348,2262,9698,2262,,903d185fccf839df
1495814789348,2262,9698,2262,,903d185fccf839df
1495814789515,2258,9722,2258,,903d185fccf839df
1495814789515,2258,9722,2258,,903d185fccf839df
1495814789699,2288,9701,2288,,903d185fccf839df
1495814789699,2288,9701,2288,,903d185fccf839df
1495814789880,2352,9672,2352,,903d185fccf839df
1495814789880,2352,9672,2352,,903d185fccf839df
1495814790062,2373,9644,2373,,903d185fccf839df
1495814790236,2412,9666,2412,,903d185fccf839df
1495814790236,2412,9666,2412,,903d185fccf839df
1495814790424,2522,9775,2522,,903d185fccf839df
1495814790424,2522,9775,2522,,903d185fccf839df
1495814790595,2490,9785,2490,,903d185fccf839df
1495814790595,2490,9785,2490,,903d185fccf839df
1495814790775,2480,9767,2480,,903d185fccf839df
1495814790775,2480,9767,2480,,903d185fccf839df
1495814790957,2613,9749,2613,,903d185fccf839df
1495814791135,2649,9749,2649,,903d185fccf839df
1495814791135,2649,9749,2649,,903d185fccf839df
1495814791318,2506,9759,2506,,903d185fccf839df
1495814791318,2506,9759,2506,,903d185fccf839df
1495814791497,2499,9836,2499,,903d185fccf839df
1495814791497,2499,9836,2499,,903d185fccf839df
1495814791676,2491,9828,2491,,903d185fccf839df
1495814791676,2491,9828,2491,,903d185fccf839df
1495814791856,2497,9761,2497,,903d185fccf839df
1495814792037,2475,9789,2475,,903d185fccf839df
1495814792037,2475,9789,2475,,903d185fccf839df
1495814792217,2190,9731,2190,,903d185fccf839df
1495814792217,2190,9731,2190,,903d185fccf839df
1495814792396,2146,9709,2146,,903d185fccf839df
1495814792396,2146,9709,2146,,903d185fccf839df
1495814792577,2288,9712,2288,,903d185fccf839df
1495814792577,2288,9712,2288,,903d185fccf839df
1495814792768,2259,9733,2259,,903d185fccf839df
1495814792937,2237,9692,2237,,903d185fccf839df
1495814792937,2237,9692,2237,,903d185fccf839df
1495814793115,2249,9677,2249,,903d185fccf839df
1495814793115,2249,9677,2249,,903d185fccf839df
1495814793296,2288,9712,2288,,903d185fccf839df
1495814793296,2288,9712,2288,,903d185fccf839df
1495814793475,2197,9621,2197,,903d185fccf839df
1495814793656,2327,9701,2327,,903d185fccf839df
1495814793656,2327,9701,2327,,903d185fccf839df
1495814793836,2363,9815,2363,,903d185fccf839df
1495814793836,2363,9815,2363,,903d185fccf839df
1495814794019,2401,9757,2401,,903d185fccf839df
1495814794019,2401,9757,2401,,903d185fccf839df
1495814794196,2415,9731,2415,,903d185fccf839df
1495814794196,2415,9731,2415,,903d185fccf839df
1495814794379,2841,9821,2841,,903d185fccf839df
1495814794379,2841,9821,2841,,903d185fccf839df
1495814794557,2767,9593,2767,,903d185fccf839df
1495814794739,2829,9711,2829,,903d185fccf839df
1495814794739,2829,9711,2829,,903d185fccf839df
1495814794917,2684,9829,2684,,903d185fccf839df
1495814794917,2684,9829,2684,,903d185fccf839df
1495814795098,2699,9804,2699,,903d185fccf839df
1495814795098,2699,9804,2699,,903d185fccf839df
1495814795276,2776,9782,2776,,903d185fccf839df
1495814795276,2776,9782,2776,,903d185fccf839df
1495814795457,2852,9752,2852,,903d185fccf839df
1495814795636,2748,9597,2748,,903d185fccf839df
1495814795636,2748,9597,2748,,903d185fccf839df
1495814795820,2634,9632,2634,,903d185fccf839df
1495814795820,2634,9632,2634,,903d185fccf839df
1495814795999,2675,9603,2675,,903d185fccf839df
1495814795999,2675,9603,2675,,903d185fccf839df
1495814796180,2676,9574,2676,,903d185fccf839df
1495814796180,2676,9574,2676,,903d185fccf839df
1495814796359,2790,9542,2790,,903d185fccf839df
1495814796536,2825,9518,2825,,903d185fccf839df
1495814796536,2825,9518,2825,,903d185fccf839df
1495814796722,2772,9407,2772,,903d185fccf839df
1495814796722,2772,9407,2772,,903d185fccf839df
1495814796900,2715,9424,2715,,903d185fccf839df
1495814796900,2715,9424,2715,,903d185fccf839df
1495814797077,2621,9361,2621,,903d185fccf839df
1495814797077,2621,9361,2621,,903d185fccf839df
1495814797257,2611,9314,2611,,903d185fccf839df
1495814797437,2643,9255,2643,,903d185fccf839df
1495814797437,2643,9255,2643,,903d185fccf839df
1495814797616,2674,9243,2674,,903d185fccf839df
