timestamp, light1, light2, light3, UUID 
1496069623826,921,5845,921,,903d185fccf839df
1496069623826,921,5845,921,,903d185fccf839df
1496069624005,885,5822,885,,903d185fccf839df
1496069624005,885,5822,885,,903d185fccf839df
1496069624237,803,5827,803,,903d185fccf839df
1496069624358,856,5775,856,,903d185fccf839df
1496069624358,856,5775,856,,903d185fccf839df
1496069624544,749,5790,749,,903d185fccf839df
1496069624544,749,5790,749,,903d185fccf839df
1496069624719,793,5722,793,,903d185fccf839df
1496069624719,793,5722,793,,903d185fccf839df
1496069624900,969,5798,969,,903d185fccf839df
1496069625080,1385,5892,1385,,903d185fccf839df
1496069625080,1385,5892,1385,,903d185fccf839df
1496069625257,1394,5941,1394,,903d185fccf839df
1496069625257,1394,5941,1394,,903d185fccf839df
1496069625438,1318,5950,1318,,903d185fccf839df
1496069625438,1318,5950,1318,,903d185fccf839df
1496069625618,1281,5925,1281,,903d185fccf839df
1496069625618,1281,5925,1281,,903d185fccf839df
1496069625798,1190,5878,1190,,903d185fccf839df
1496069625979,1387,6026,1387,,903d185fccf839df
1496069625979,1387,6026,1387,,903d185fccf839df
1496069626163,1556,6094,1556,,903d185fccf839df
1496069626163,1556,6094,1556,,903d185fccf839df
1496069626339,1749,6115,1749,,903d185fccf839df
1496069626339,1749,6115,1749,,903d185fccf839df
1496069626519,1664,6088,1664,,903d185fccf839df
1496069626519,1664,6088,1664,,903d185fccf839df
1496069626704,1526,6073,1526,,903d185fccf839df
1496069626878,1336,6082,1336,,903d185fccf839df
1496069626878,1336,6082,1336,,903d185fccf839df
1496069627059,1100,6148,1100,,903d185fccf839df
1496069627059,1100,6148,1100,,903d185fccf839df
1496069627243,1264,6098,1264,,903d185fccf839df
1496069627243,1264,6098,1264,,903d185fccf839df
1496069627419,1085,6142,1085,,903d185fccf839df
1496069627419,1085,6142,1085,,903d185fccf839df
1496069627598,1133,6039,1133,,903d185fccf839df
1496069627778,1115,5967,1115,,903d185fccf839df
1496069627778,1115,5967,1115,,903d185fccf839df
1496069627964,1194,5971,1194,,903d185fccf839df
1496069627964,1194,5971,1194,,903d185fccf839df
1496069628141,1157,6222,1157,,903d185fccf839df
1496069628141,1157,6222,1157,,903d185fccf839df
1496069628318,1160,6253,1160,,903d185fccf839df
1496069628318,1160,6253,1160,,903d185fccf839df
1496069628498,1064,6342,1064,,903d185fccf839df
1496069628679,1041,6348,1041,,903d185fccf839df
1496069628679,1041,6348,1041,,903d185fccf839df
1496069628867,932,6198,932,,903d185fccf839df
1496069628867,932,6198,932,,903d185fccf839df
1496069629046,871,6083,871,,903d185fccf839df
1496069629046,871,6083,871,,903d185fccf839df
1496069629220,854,6099,854,,903d185fccf839df
1496069629220,854,6099,854,,903d185fccf839df
1496069629409,832,6074,832,,903d185fccf839df
1496069629586,819,5949,819,,903d185fccf839df
1496069629586,819,5949,819,,903d185fccf839df
1496069629759,986,6515,986,,903d185fccf839df
1496069629759,986,6515,986,,903d185fccf839df
1496069629941,1042,6925,1042,,903d185fccf839df
1496069629941,1042,6925,1042,,903d185fccf839df
1496069630119,1018,6901,1018,,903d185fccf839df
1496069630119,1018,6901,1018,,903d185fccf839df
1496069630301,1151,7218,1151,,903d185fccf839df
1496069630479,1517,7732,1517,,903d185fccf839df
1496069630479,1517,7732,1517,,903d185fccf839df
1496069630659,1310,7457,1310,,903d185fccf839df
1496069630659,1310,7457,1310,,903d185fccf839df
1496069630842,1364,7334,1364,,903d185fccf839df
1496069630842,1364,7334,1364,,903d185fccf839df
1496069631034,1401,7288,1401,,903d185fccf839df
1496069631034,1401,7288,1401,,903d185fccf839df
1496069631199,1427,7495,1427,,903d185fccf839df
1496069631379,1396,7517,1396,,903d185fccf839df
1496069631379,1396,7517,1396,,903d185fccf839df
1496069631573,1515,7289,1515,,903d185fccf839df
1496069631573,1515,7289,1515,,903d185fccf839df
1496069631738,1470,7243,1470,,903d185fccf839df
1496069631738,1470,7243,1470,,903d185fccf839df
1496069631920,1431,7237,1431,,903d185fccf839df
1496069631920,1431,7237,1431,,903d185fccf839df
1496069632111,1545,7274,1545,,903d185fccf839df
1496069632279,1560,7531,1560,,903d185fccf839df
1496069632279,1560,7531,1560,,903d185fccf839df
1496069632459,1512,7655,1512,,903d185fccf839df
1496069632459,1512,7655,1512,,903d185fccf839df
1496069632638,1719,7687,1719,,903d185fccf839df
1496069632638,1719,7687,1719,,903d185fccf839df
1496069632820,1739,7732,1739,,903d185fccf839df
1496069632820,1739,7732,1739,,903d185fccf839df
1496069633000,1904,7884,1904,,903d185fccf839df
1496069633179,1895,7990,1895,,903d185fccf839df
1496069633179,1895,7990,1895,,903d185fccf839df
1496069633367,1952,8038,1952,,903d185fccf839df
1496069633367,1952,8038,1952,,903d185fccf839df
1496069633539,1900,8106,1900,,903d185fccf839df
1496069633539,1900,8106,1900,,903d185fccf839df
1496069633719,1979,8212,1979,,903d185fccf839df
1496069633719,1979,8212,1979,,903d185fccf839df
1496069633898,2127,8266,2127,,903d185fccf839df
1496069634078,2141,8310,2141,,903d185fccf839df
1496069634078,2141,8310,2141,,903d185fccf839df
1496069634262,2149,8341,2149,,903d185fccf839df
1496069634262,2149,8341,2149,,903d185fccf839df
1496069634439,2320,8463,2320,,903d185fccf839df
1496069634439,2320,8463,2320,,903d185fccf839df
1496069634618,2308,8351,2308,,903d185fccf839df
1496069634618,2308,8351,2308,,903d185fccf839df
1496069634803,2435,8325,2435,,903d185fccf839df
1496069634981,2525,8374,2525,,903d185fccf839df
1496069634981,2525,8374,2525,,903d185fccf839df
1496069635162,2601,8336,2601,,903d185fccf839df
1496069635162,2601,8336,2601,,903d185fccf839df
1496069635344,2621,8389,2621,,903d185fccf839df
1496069635344,2621,8389,2621,,903d185fccf839df
1496069635519,2772,8408,2772,,903d185fccf839df
1496069635519,2772,8408,2772,,903d185fccf839df
1496069635704,2582,8275,2582,,903d185fccf839df
1496069635879,2898,8311,2898,,903d185fccf839df
1496069635879,2898,8311,2898,,903d185fccf839df
1496069636064,3038,8447,3038,,903d185fccf839df
1496069636064,3038,8447,3038,,903d185fccf839df
1496069636238,2985,8346,2985,,903d185fccf839df
1496069636238,2985,8346,2985,,903d185fccf839df
1496069636419,3035,8309,3035,,903d185fccf839df
1496069636419,3035,8309,3035,,903d185fccf839df
1496069636601,3286,8485,3286,,903d185fccf839df
1496069636778,3316,8349,3316,,903d185fccf839df
1496069636778,3316,8349,3316,,903d185fccf839df
1496069636959,3438,8373,3438,,903d185fccf839df
1496069636959,3438,8373,3438,,903d185fccf839df
1496069637140,3516,8514,3516,,903d185fccf839df
1496069637140,3516,8514,3516,,903d185fccf839df
1496069637322,3517,8465,3517,,903d185fccf839df
1496069637322,3517,8465,3517,,903d185fccf839df
1496069637499,3423,8444,3423,,903d185fccf839df
1496069637678,3497,8499,3497,,903d185fccf839df
1496069637678,3497,8499,3497,,903d185fccf839df
1496069637860,3520,8382,3520,,903d185fccf839df
1496069637860,3520,8382,3520,,903d185fccf839df
1496069638041,3710,8512,3710,,903d185fccf839df
1496069638041,3710,8512,3710,,903d185fccf839df
1496069638220,3728,8637,3728,,903d185fccf839df
1496069638220,3728,8637,3728,,903d185fccf839df
1496069638407,3575,8589,3575,,903d185fccf839df
1496069638579,3524,8491,3524,,903d185fccf839df
1496069638579,3524,8491,3524,,903d185fccf839df
1496069638760,3589,8483,3589,,903d185fccf839df
1496069638760,3589,8483,3589,,903d185fccf839df
1496069638944,3569,8409,3569,,903d185fccf839df
1496069639119,3727,8457,3727,,903d185fccf839df
1496069639119,3727,8457,3727,,903d185fccf839df
1496069639119,3727,8457,3727,,903d185fccf839df
1496069639299,3719,8612,3719,,903d185fccf839df
1496069639485,3624,8536,3624,,903d185fccf839df
