prediction, timestamp 
sitting,1499022336162
sitting,1499022337478
sitting,1499022338992
sitting,1499022340510
walking,1499022342023
walking downstairs,1499022343495
walking downstairs,1499022345034
walking downstairs,1499022346514
walking downstairs,1499022347984
walking downstairs,1499022349488
walking downstairs,1499022350982
walking downstairs,1499022352489
walking downstairs,1499022353999
walking downstairs,1499022355515
walking downstairs,1499022357009
walking downstairs,1499022358522
walking downstairs,1499022360001
walking downstairs,1499022361487
walking downstairs,1499022362976
walking,1499022364496
walking,1499022365982
sitting,1499022367499
walking,1499022369013
walking downstairs,1499022370511
walking downstairs,1499022372010
walking downstairs,1499022373510
sitting,1499022374984
sitting,1499022376485
sitting,1499022377990
sitting,1499022379487
sitting,1499022380990
sitting,1499022382485
sitting,1499022383985
walking,1499022385478
walking downstairs,1499022387000
walking downstairs,1499022388500
walking downstairs,1499022389993
walking downstairs,1499022391494
walking downstairs,1499022393010
walking downstairs,1499022394469
walking downstairs,1499022395995
walking downstairs,1499022397501
walking downstairs,1499022398999
walking downstairs,1499022400493
walking downstairs,1499022401984
walking downstairs,1499022403482
walking downstairs,1499022405107
walking downstairs,1499022406491
walking downstairs,1499022407991
walking downstairs,1499022409490
walking downstairs,1499022410981
walking downstairs,1499022412490
walking downstairs,1499022413980
walking downstairs,1499022415491
walking downstairs,1499022416983
walking downstairs,1499022418486
walking downstairs,1499022419994
walking downstairs,1499022421533
walking downstairs,1499022422990
walking downstairs,1499022424488
walking downstairs,1499022425994
walking downstairs,1499022427484
walking downstairs,1499022428991
walking downstairs,1499022430478
walking downstairs,1499022431985
walking downstairs,1499022433502
walking downstairs,1499022434986
walking downstairs,1499022436483
walking downstairs,1499022438004
walking downstairs,1499022439496
walking downstairs,1499022440994
walking downstairs,1499022442487
walking downstairs,1499022443992
walking downstairs,1499022445483
walking downstairs,1499022446981
walking downstairs,1499022448490
walking downstairs,1499022449994
walking downstairs,1499022451482
walking downstairs,1499022452991
sitting,1499022454460
sitting,1499022455983
sitting,1499022457469
sitting,1499022458983
sitting,1499022460495
sitting,1499022462097
