timestamp, light1, light2, light3, UUID 
1499022331539,2,5366,2,,903d185fccf839df
1499022335141,2,7210,2,,903d185fccf839df
1499022335322,2,7210,2,,903d185fccf839df
1499022335502,1,9054,1,,903d185fccf839df
1499022335502,1,9054,1,,903d185fccf839df
1499022335680,2,5366,2,,903d185fccf839df
1499022335680,2,5366,2,,903d185fccf839df
1499022335863,1,9054,1,,903d185fccf839df
1499022336041,2,5366,2,,903d185fccf839df
1499022336220,1,9054,1,,903d185fccf839df
1499022336220,1,9054,1,,903d185fccf839df
1499022336405,1,9054,1,,903d185fccf839df
1499022336405,1,9054,1,,903d185fccf839df
1499022336582,1,9054,1,,903d185fccf839df
1499022336582,1,9054,1,,903d185fccf839df
1499022336761,2,7210,2,,903d185fccf839df
1499022336761,2,7210,2,,903d185fccf839df
1499022336942,2,12742,2,,903d185fccf839df
1499022337122,2,7210,2,,903d185fccf839df
1499022337122,2,7210,2,,903d185fccf839df
1499022337300,4,7824,4,,903d185fccf839df
1499022337300,4,7824,4,,903d185fccf839df
1499022337482,5,8132,5,,903d185fccf839df
1499022337482,5,8132,5,,903d185fccf839df
1499022337661,4,9054,4,,903d185fccf839df
1499022337661,4,9054,4,,903d185fccf839df
1499022337840,7,9054,7,,903d185fccf839df
1499022338020,9,9054,9,,903d185fccf839df
1499022338020,9,9054,9,,903d185fccf839df
1499022338202,10,10283,10,,903d185fccf839df
1499022338202,10,10283,10,,903d185fccf839df
1499022338380,9,9054,9,,903d185fccf839df
1499022338380,9,9054,9,,903d185fccf839df
1499022338560,10,9668,10,,903d185fccf839df
1499022338560,10,9668,10,,903d185fccf839df
1499022338741,11,9580,11,,903d185fccf839df
1499022338924,10,10283,10,,903d185fccf839df
1499022338924,10,10283,10,,903d185fccf839df
1499022339100,7,8316,7,,903d185fccf839df
1499022339100,7,8316,7,,903d185fccf839df
1499022339283,6,9976,6,,903d185fccf839df
1499022339283,6,9976,6,,903d185fccf839df
1499022339465,7,8316,7,,903d185fccf839df
1499022339465,7,8316,7,,903d185fccf839df
1499022339640,7,9976,7,,903d185fccf839df
1499022339821,11,9580,11,,903d185fccf839df
1499022339821,11,9580,11,,903d185fccf839df
1499022340004,12,9054,12,,903d185fccf839df
1499022340004,12,9054,12,,903d185fccf839df
1499022340182,7,8316,7,,903d185fccf839df
1499022340182,7,8316,7,,903d185fccf839df
1499022340360,9,9054,9,,903d185fccf839df
1499022340360,9,9054,9,,903d185fccf839df
1499022340542,6,9054,6,,903d185fccf839df
1499022340722,5,8132,5,,903d185fccf839df
1499022340722,5,8132,5,,903d185fccf839df
1499022340901,5,8132,5,,903d185fccf839df
1499022340901,5,8132,5,,903d185fccf839df
1499022341084,7,8316,7,,903d185fccf839df
1499022341084,7,8316,7,,903d185fccf839df
1499022341263,4,7824,4,,903d185fccf839df
1499022341263,4,7824,4,,903d185fccf839df
1499022341441,4,7824,4,,903d185fccf839df
1499022341621,3,9054,3,,903d185fccf839df
1499022341621,3,9054,3,,903d185fccf839df
1499022341803,3,9054,3,,903d185fccf839df
1499022341803,3,9054,3,,903d185fccf839df
1499022341984,2,7210,2,,903d185fccf839df
1499022342166,2,12742,2,,903d185fccf839df
1499022342166,2,12742,2,,903d185fccf839df
1499022342166,2,12742,2,,903d185fccf839df
1499022342346,2,7210,2,,903d185fccf839df
