timestamp, light1, light2, light3, UUID 
1497538115219,3558,7376,3558,,903d185fccf839df
1497538115219,3558,7376,3558,,903d185fccf839df
1497538115390,4155,7524,4155,,903d185fccf839df
1497538115553,4185,7529,4185,,903d185fccf839df
1497538115553,4185,7529,4185,,903d185fccf839df
1497538115734,4133,7500,4133,,903d185fccf839df
1497538115734,4133,7500,4133,,903d185fccf839df
1497538115914,3833,7361,3833,,903d185fccf839df
1497538115914,3833,7361,3833,,903d185fccf839df
1497538116098,4004,7317,4004,,903d185fccf839df
1497538116098,4004,7317,4004,,903d185fccf839df
1497538116272,4652,7472,4652,,903d185fccf839df
1497538116272,4652,7472,4652,,903d185fccf839df
1497538116272,4652,7472,4652,,903d185fccf839df
1497538116633,5230,7444,5230,,903d185fccf839df
1497538116633,5230,7444,5230,,903d185fccf839df
1497538116813,5378,7414,5378,,903d185fccf839df
1497538116813,5378,7414,5378,,903d185fccf839df
1497538116992,5504,7365,5504,,903d185fccf839df
1497538116992,5504,7365,5504,,903d185fccf839df
1497538117172,5290,7289,5290,,903d185fccf839df
1497538117172,5290,7289,5290,,903d185fccf839df
1497538117357,5176,7221,5176,,903d185fccf839df
1497538117531,4780,7113,4780,,903d185fccf839df
1497538117531,4780,7113,4780,,903d185fccf839df
1497538117720,4363,7191,4363,,903d185fccf839df
1497538117720,4363,7191,4363,,903d185fccf839df
1497538117894,5627,7268,5627,,903d185fccf839df
1497538117894,5627,7268,5627,,903d185fccf839df
1497538118071,5985,7327,5985,,903d185fccf839df
1497538118071,5985,7327,5985,,903d185fccf839df
1497538118253,5501,7231,5501,,903d185fccf839df
1497538118432,4878,7181,4878,,903d185fccf839df
1497538118432,4878,7181,4878,,903d185fccf839df
1497538118612,4713,7166,4713,,903d185fccf839df
1497538118612,4713,7166,4713,,903d185fccf839df
1497538118794,4687,7147,4687,,903d185fccf839df
1497538118794,4687,7147,4687,,903d185fccf839df
1497538118972,4877,7161,4877,,903d185fccf839df
1497538118972,4877,7161,4877,,903d185fccf839df
1497538119157,4972,7217,4972,,903d185fccf839df
1497538119333,4788,7280,4788,,903d185fccf839df
1497538119333,4788,7280,4788,,903d185fccf839df
1497538119513,4463,7203,4463,,903d185fccf839df
1497538119513,4463,7203,4463,,903d185fccf839df
1497538119692,3939,7210,3939,,903d185fccf839df
1497538119692,3939,7210,3939,,903d185fccf839df
1497538119882,4246,7138,4246,,903d185fccf839df
1497538119882,4246,7138,4246,,903d185fccf839df
1497538120052,4707,7106,4707,,903d185fccf839df
1497538120052,4707,7106,4707,,903d185fccf839df
1497538120235,4616,7095,4616,,903d185fccf839df
1497538120411,4833,7171,4833,,903d185fccf839df
1497538120411,4833,7171,4833,,903d185fccf839df
