timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1497375229167,-4.5,10.5,-9.199999809265137,14.667651461282015,,903d185fccf839df
1497375229331,-3.5,12,-11.300000190734863,16.850519352275356,,903d185fccf839df
1497375229548,-5.400000095367432,15.40000057220459,-11,19.680447674675978,,903d185fccf839df
1497375229691,-7.099999904632568,15.699999809265137,-10.40000057220459,20.126102488392803,,903d185fccf839df
1497375229737,-7,15.40000057220459,-10.600000381469727,19.962966391812728,,903d185fccf839df
1497375229767,-6.900000095367432,14.90000057220459,-10.699999809265137,19.59872465850128,,903d185fccf839df
1497375229863,-6.400000095367432,13.600000381469727,-11.199999809265137,18.74459934021127,,903d185fccf839df
1497375229921,-6,12.5,-11.40000057220459,17.950209099446926,,903d185fccf839df
1497375229993,-5.700000286102295,10.5,-11.800000190734863,16.792260335393532,,903d185fccf839df
1497375230057,-6,6.900000095367432,-10.90000057220459,14.227438751501774,,903d185fccf839df
1497375230118,-6.200000286102295,5.800000190734863,-10.199999809265137,13.271021020700886,,903d185fccf839df
1497375230178,-6.700000286102295,5.300000190734863,-10.199999809265137,13.304886265970673,,903d185fccf839df
1497375230257,-7.200000286102295,4.099999904632568,-9.5,12.605554467504694,,903d185fccf839df
1497375230299,-7.599999904632568,4,-9.300000190734863,12.658989051843644,,903d185fccf839df
1497375230319,-7.900000095367432,4,-9.600000381469727,13.060245155031412,,903d185fccf839df
1497375230367,-8.40000057220459,4.5,-10.100000381469727,13.885964949653582,,903d185fccf839df
1497375230418,-8.90000057220459,5.400000095367432,-10.100000381469727,14.504482694472523,,903d185fccf839df
1497375230451,-8.699999809265137,6.5,-10.100000381469727,14.830711533086898,,903d185fccf839df
1497375230499,-8.300000190734863,9.100000381469727,-9.90000057220459,15.802215488445338,,903d185fccf839df
1497375230549,-8.100000381469727,10,-10.5,16.609033934571453,,903d185fccf839df
1497375230567,-8,10.800000190734863,-10.300000190734863,16.933103997387132,,903d185fccf839df
1497375230648,-8,11.699999809265137,-9.90000057220459,17.288724914095702,,903d185fccf839df
1497375230709,-7.700000286102295,12.699999809265137,-9.699999809265137,17.738940057237016,,903d185fccf839df
1497375230757,-7.800000190734863,12.90000057220459,-9.800000190734863,17.98026762325052,,903d185fccf839df
1497375230830,-8.100000381469727,13,-9.699999809265137,18.130085619699557,,903d185fccf839df
1497375230859,-8.40000057220459,13,-9.800000190734863,18.319389010906182,,903d185fccf839df
1497375230897,-8.600000381469727,12.800000190734863,-9.600000381469727,18.164801732269368,,903d185fccf839df
1497375230928,-8.800000190734863,12.600000381469727,-9.5,18.067927723096282,,903d185fccf839df
1497375230958,-9,12.300000190734863,-9.40000057220459,17.90670312437965,,903d185fccf839df
1497375231019,-9.100000381469727,12,-9.199999809265137,17.647946185821077,,903d185fccf839df
1497375231097,-9.100000381469727,11.5,-8.90000057220459,17.154300099446072,,903d185fccf839df
1497375231128,-9.199999809265137,11.300000190734863,-8.90000057220459,17.07454270383022,,903d185fccf839df
1497375231167,-9.300000190734863,11.199999809265137,-8.5,16.857639226925453,,903d185fccf839df
