timestamp, light1, light2, light3, UUID 
1495111176984,974,6595,974,,903d185fccf839df
1495111177162,1485,7054,1485,,903d185fccf839df
1495111177162,1485,7054,1485,,903d185fccf839df
1495111177341,2191,7273,2191,,903d185fccf839df
1495111177341,2191,7273,2191,,903d185fccf839df
1495111177550,2368,7306,2368,,903d185fccf839df
1495111177550,2368,7306,2368,,903d185fccf839df
1495111177701,3337,7390,3337,,903d185fccf839df
1495111177881,3698,7375,3698,,903d185fccf839df
1495111177881,3698,7375,3698,,903d185fccf839df
1495111178061,3698,7334,3698,,903d185fccf839df
1495111178061,3698,7334,3698,,903d185fccf839df
1495111178061,3698,7334,3698,,903d185fccf839df
1495111178283,3931,7283,3931,,903d185fccf839df
1495111178423,4570,7113,4570,,903d185fccf839df
1495111178423,4570,7113,4570,,903d185fccf839df
1495111178607,6033,6856,6033,,903d185fccf839df
1495111178780,6398,6719,6398,,903d185fccf839df
1495111178780,6398,6719,6398,,903d185fccf839df
1495111178961,7382,6581,7382,,903d185fccf839df
1495111179143,7520,6544,7520,,903d185fccf839df
1495111179143,7520,6544,7520,,903d185fccf839df
1495111179320,7453,6543,7453,,903d185fccf839df
1495111179320,7453,6543,7453,,903d185fccf839df
1495111179503,7304,6651,7304,,903d185fccf839df
1495111179503,7304,6651,7304,,903d185fccf839df
1495111179682,7512,6621,7512,,903d185fccf839df
1495111179864,7837,6514,7837,,903d185fccf839df
1495111179864,7837,6514,7837,,903d185fccf839df
1495111180041,7649,6463,7649,,903d185fccf839df
1495111180041,7649,6463,7649,,903d185fccf839df
1495111180221,7869,6626,7869,,903d185fccf839df
1495111180221,7869,6626,7869,,903d185fccf839df
1495111180402,8080,6641,8080,,903d185fccf839df
1495111180402,8080,6641,8080,,903d185fccf839df
1495111180580,7576,6577,7576,,903d185fccf839df
1495111180760,7302,6592,7302,,903d185fccf839df
1495111180760,7302,6592,7302,,903d185fccf839df
1495111180945,8016,6551,8016,,903d185fccf839df
1495111180945,8016,6551,8016,,903d185fccf839df
1495111181121,7885,6454,7885,,903d185fccf839df
1495111181121,7885,6454,7885,,903d185fccf839df
1495111181300,7874,6522,7874,,903d185fccf839df
1495111181480,7280,6568,7280,,903d185fccf839df
1495111181480,7280,6568,7280,,903d185fccf839df
1495111181662,6965,6514,6965,,903d185fccf839df
1495111181662,6965,6514,6965,,903d185fccf839df
1495111181841,6687,6540,6687,,903d185fccf839df
