timestamp, latitude, longitude, accuracy, UUID 
1495874727567,48.1504373,11.5665759,20.388999938964844,,903d185fccf839df
1495874729860,48.1505851,11.5668523,32,,903d185fccf839df
1495874730871,48.1505833,11.5668927,32,,903d185fccf839df
1495874731856,48.1505596,11.5669201,12,,903d185fccf839df
1495874732856,48.1505211,11.5670045,12,,903d185fccf839df
1495874734000,48.150521,11.5670045,12,,903d185fccf839df
1495874735000,48.1504913,11.5670103,12,,903d185fccf839df
1495874736000,48.1504757,11.5670171,8,,903d185fccf839df
1495874737000,48.1504756,11.5670171,8,,903d185fccf839df
1495874738000,48.1504601,11.5670174,12,,903d185fccf839df
1495874739000,48.1504543,11.5670055,12,,903d185fccf839df
1495874740000,48.1504487,11.566986,12,,903d185fccf839df
1495874741000,48.1504486,11.5669858,12,,903d185fccf839df
1495874742000,48.1504486,11.5669858,12,,903d185fccf839df
1495874743000,48.1504486,11.5669858,12,,903d185fccf839df
1495874744000,48.1504486,11.5669858,12,,903d185fccf839df
1495874745000,48.1504486,11.5669858,12,,903d185fccf839df
1495874746000,48.1504486,11.5669858,16,,903d185fccf839df
1495874747000,48.1504486,11.5669858,16,,903d185fccf839df
1495874748000,48.1504486,11.5669858,16,,903d185fccf839df
1495874749000,48.1504486,11.5669858,16,,903d185fccf839df
1495874750000,48.1504486,11.5669858,16,,903d185fccf839df
1495874751000,48.1504486,11.5669858,16,,903d185fccf839df
1495874752000,48.1504486,11.5669858,16,,903d185fccf839df
1495874753000,48.1504486,11.5669858,16,,903d185fccf839df
1495874754000,48.1504486,11.5669858,16,,903d185fccf839df
1495874755000,48.1504486,11.5669858,16,,903d185fccf839df
1495874756000,48.1504486,11.5669858,16,,903d185fccf839df
1495874757000,48.1504486,11.5669858,12,,903d185fccf839df
1495874758000,48.1504486,11.5669858,16,,903d185fccf839df
1495874759000,48.1504486,11.5669858,12,,903d185fccf839df
1495874760000,48.1504486,11.5669858,12,,903d185fccf839df
1495874761000,48.1504486,11.5669858,12,,903d185fccf839df
1495874762000,48.1504486,11.5669858,12,,903d185fccf839df
1495874763000,48.1504486,11.5669858,24,,903d185fccf839df
1495874764000,48.1504486,11.5669858,24,,903d185fccf839df
1495874765000,48.1504486,11.5669858,16,,903d185fccf839df
1495874766000,48.1504486,11.5669858,12,,903d185fccf839df
1495874767000,48.1504486,11.5669858,12,,903d185fccf839df
1495874768000,48.1504161,11.5670002,12,,903d185fccf839df
1495874769000,48.1504161,11.5670002,12,,903d185fccf839df
1495874770000,48.1504161,11.5670002,12,,903d185fccf839df
