timestamp, latitude, longitude, accuracy, UUID 
1494319451999,48.156624,11.5679474,12,,903d185fccf839df
1494319452999,48.1566283,11.5679443,12,,903d185fccf839df
1494319453999,48.1566327,11.5679385,12,,903d185fccf839df
1494319454999,48.1566377,11.5679282,16,,903d185fccf839df
1494319455999,48.1566416,11.5679084,16,,903d185fccf839df
1494319456999,48.1566457,11.5678841,8,,903d185fccf839df
1494319457999,48.1566381,11.5678232,12,,903d185fccf839df
1494319458999,48.1566402,11.5677999,12,,903d185fccf839df
1494319459999,48.1566419,11.5677393,12,,903d185fccf839df
1494319460999,48.1566474,11.5677089,12,,903d185fccf839df
1494319461999,48.1566492,11.5676432,16,,903d185fccf839df
1494319462999,48.1566659,11.5675869,16,,903d185fccf839df
1494319463999,48.1566872,11.5675343,8,,903d185fccf839df
1494319464999,48.1566981,11.5675156,12,,903d185fccf839df
1494319465999,48.15671,11.5674914,12,,903d185fccf839df
1494319466999,48.1567164,11.5674661,12,,903d185fccf839df
1494319467999,48.1567245,11.5674465,12,,903d185fccf839df
1494319468999,48.1567293,11.5674309,12,,903d185fccf839df
1494319469999,48.1567325,11.5674174,12,,903d185fccf839df
1494319470999,48.156737,11.5674038,8,,903d185fccf839df
1494319471999,48.1567437,11.5673882,8,,903d185fccf839df
1494319472999,48.1567512,11.5673728,8,,903d185fccf839df
1494319473999,48.1567579,11.5673597,8,,903d185fccf839df
1494319474999,48.1567645,11.5673454,12,,903d185fccf839df
1494319475999,48.1567738,11.5673314,8,,903d185fccf839df
1494319476999,48.1567936,11.5673119,8,,903d185fccf839df
1494319477999,48.1568296,11.5673092,12,,903d185fccf839df
1494319478999,48.1568401,11.5673292,12,,903d185fccf839df
1494319479999,48.1568518,11.5673479,12,,903d185fccf839df
1494319480999,48.1568927,11.5673687,12,,903d185fccf839df
1494319481999,48.1569342,11.5673942,12,,903d185fccf839df
1494319482999,48.15697,11.5674193,12,,903d185fccf839df
1494319483999,48.1569821,11.5674336,12,,903d185fccf839df
1494319484999,48.1569947,11.5674457,16,,903d185fccf839df
1494319485999,48.1570055,11.5674508,12,,903d185fccf839df
1494319486999,48.1570415,11.5674655,12,,903d185fccf839df
1494319487999,48.1570488,11.5674698,12,,903d185fccf839df
1494319488999,48.1570745,11.5674969,16,,903d185fccf839df
1494319489999,48.1570984,11.5675265,16,,903d185fccf839df
1494319490999,48.1571078,11.5675343,16,,903d185fccf839df
1494319491999,48.1571176,11.5675405,16,,903d185fccf839df
1494319492999,48.1571268,11.5675485,6,,903d185fccf839df
1494319493999,48.1571387,11.5675583,16,,903d185fccf839df
1494319494999,48.1571506,11.5675666,12,,903d185fccf839df
1494319495999,48.1571809,11.5675874,8,,903d185fccf839df
1494319496999,48.1571921,11.5675973,8,,903d185fccf839df
1494319497999,48.1572091,11.5676033,8,,903d185fccf839df
1494319498999,48.1572268,11.5676083,8,,903d185fccf839df
1494319499999,48.1572444,11.5676111,8,,903d185fccf839df
1494319500999,48.1572574,11.5676146,16,,903d185fccf839df
1494319501999,48.1572698,11.5676194,16,,903d185fccf839df
1494319502999,48.1572803,11.5676251,12,,903d185fccf839df
1494319503999,48.1572917,11.5676299,12,,903d185fccf839df
1494319504999,48.1573051,11.5676317,12,,903d185fccf839df
1494319505999,48.1573174,11.5676312,8,,903d185fccf839df
1494319506999,48.1573283,11.5676334,16,,903d185fccf839df
1494319507999,48.1573409,11.5676349,8,,903d185fccf839df
1494319508999,48.1573534,11.5676375,4,,903d185fccf839df
1494319509999,48.1573666,11.5676394,6,,903d185fccf839df
1494319510999,48.1573744,11.5676344,12,,903d185fccf839df
1494319511999,48.1573818,11.5676242,12,,903d185fccf839df
1494319512999,48.1574006,11.5675744,12,,903d185fccf839df
1494319513999,48.1574098,11.5675074,12,,903d185fccf839df
1494319514999,48.1574245,11.5674426,8,,903d185fccf839df
1494319515999,48.1574362,11.5673812,8,,903d185fccf839df
1494319516999,48.1574382,11.5673213,12,,903d185fccf839df
1494319517999,48.1574377,11.5672994,12,,903d185fccf839df
1494319518999,48.157435,11.5672759,12,,903d185fccf839df
1494319519999,48.1574381,11.5672552,12,,903d185fccf839df
1494319520999,48.1574441,11.5672353,6,,903d185fccf839df
1494319521999,48.1574598,11.5671823,12,,903d185fccf839df
1494319522999,48.1574629,11.5671568,6,,903d185fccf839df
1494319523999,48.1574741,11.5670958,6,,903d185fccf839df
1494319524999,48.1574775,11.5670727,6,,903d185fccf839df
1494319525999,48.1574818,11.5670471,8,,903d185fccf839df
1494319526999,48.1574847,11.567022,8,,903d185fccf839df
1494319527999,48.1574884,11.5669966,6,,903d185fccf839df
1494319528999,48.1574925,11.566971,8,,903d185fccf839df
1494319529999,48.157496,11.5669453,8,,903d185fccf839df
1494319530999,48.1574991,11.5669238,4,,903d185fccf839df
1494319531999,48.1575009,11.5669017,8,,903d185fccf839df
1494319532999,48.157509,11.5668505,8,,903d185fccf839df
1494319533999,48.15751,11.5668284,16,,903d185fccf839df
1494319534999,48.1575119,11.5667983,12,,903d185fccf839df
1494319535999,48.1575136,11.5667658,12,,903d185fccf839df
1494319536999,48.1575134,11.566737,16,,903d185fccf839df
1494319537999,48.1575144,11.5667097,12,,903d185fccf839df
1494319538999,48.1575093,11.5666858,8,,903d185fccf839df
1494319539999,48.1575045,11.5666686,8,,903d185fccf839df
1494319540999,48.1575026,11.5666533,12,,903d185fccf839df
1494319541999,48.1575025,11.5666532,12,,903d185fccf839df
1494319542999,48.157498,11.5666446,12,,903d185fccf839df
1494319543999,48.1574949,11.5666337,12,,903d185fccf839df
1494319544999,48.1574849,11.5665832,12,,903d185fccf839df
1494319545999,48.1574747,11.5665314,12,,903d185fccf839df
1494319546999,48.1574716,11.5665162,12,,903d185fccf839df
1494319547999,48.1574715,11.5665036,12,,903d185fccf839df
1494319548999,48.1574706,11.5664891,8,,903d185fccf839df
1494319549999,48.1574686,11.566472,12,,903d185fccf839df
1494319550999,48.1574686,11.566472,8,,903d185fccf839df
1494319551999,48.1574686,11.566472,8,,903d185fccf839df
1494319552999,48.1574686,11.566472,8,,903d185fccf839df
1494319553999,48.1574709,11.5664637,8,,903d185fccf839df
1494319554999,48.1574711,11.5664531,12,,903d185fccf839df
1494319555999,48.1574719,11.5664453,12,,903d185fccf839df
1494319556999,48.1574721,11.5664415,12,,903d185fccf839df
1494319557999,48.1574733,11.566442,16,,903d185fccf839df
1494319558999,48.1574722,11.5664452,16,,903d185fccf839df
1494319559999,48.1574672,11.5664481,12,,903d185fccf839df
1494319560999,48.1574587,11.5664564,24,,903d185fccf839df
1494319561999,48.1574586,11.5664564,24,,903d185fccf839df
1494319562999,48.1574447,11.5664976,24,,903d185fccf839df
1494319563999,48.1574218,11.5665597,24,,903d185fccf839df
1494319564999,48.157399,11.5666303,32,,903d185fccf839df
1494319565999,48.1573661,11.5666253,32,,903d185fccf839df
1494319566999,48.1573292,11.5666186,16,,903d185fccf839df
1494319567999,48.1573291,11.5666187,16,,903d185fccf839df
1494319568999,48.1573291,11.5666187,16,,903d185fccf839df
1494319569999,48.1573291,11.5666187,16,,903d185fccf839df
1494319570999,48.1573291,11.5666187,16,,903d185fccf839df
1494319571999,48.1573291,11.5666187,24,,903d185fccf839df
1494319572999,48.1573291,11.5666187,24,,903d185fccf839df
1494319573999,48.1573291,11.5666187,16,,903d185fccf839df
1494319574999,48.1573298,11.5666509,16,,903d185fccf839df
1494319575999,48.157329,11.5666756,12,,903d185fccf839df
1494319576999,48.1573215,11.5667351,12,,903d185fccf839df
1494319577999,48.1573207,11.5667511,12,,903d185fccf839df
1494319578999,48.1573235,11.5667586,12,,903d185fccf839df
1494319579999,48.157328,11.5667616,12,,903d185fccf839df
1494319580999,48.1573287,11.5667693,12,,903d185fccf839df
1494319581999,48.1573319,11.5667682,6,,903d185fccf839df
1494319582999,48.1573397,11.5667713,8,,903d185fccf839df
1494319583999,48.1573494,11.5667703,8,,903d185fccf839df
1494319584999,48.1573574,11.5667713,8,,903d185fccf839df
1494319585999,48.1573675,11.5667742,8,,903d185fccf839df
1494319586999,48.1573756,11.5667749,12,,903d185fccf839df
1494319587999,48.1573845,11.5667765,12,,903d185fccf839df
1494319588999,48.1573941,11.5667736,12,,903d185fccf839df
1494319589999,48.1574197,11.5667727,12,,903d185fccf839df
1494319590999,48.1574469,11.5667815,12,,903d185fccf839df
1494319591999,48.1574525,11.5667784,12,,903d185fccf839df
1494319592999,48.1574603,11.5667743,12,,903d185fccf839df
1494319593999,48.1575044,11.566756,12,,903d185fccf839df
1494319594999,48.1575435,11.5667461,16,,903d185fccf839df
1494319595999,48.1575444,11.5667449,16,,903d185fccf839df
1494319596999,48.1575836,11.5667458,16,,903d185fccf839df
