timestamp, latitude, longitude, accuracy, UUID 
1494404695729,48.1567817,11.567412,19.594999313354492,,903d185fccf839df
1494404699484,48.1568348,11.5674332,8,,903d185fccf839df
1494404700474,48.1568397,11.5674372,16,,903d185fccf839df
1494404701478,48.1568503,11.5674254,12,,903d185fccf839df
1494404702478,48.1568685,11.5673929,12,,903d185fccf839df
1494404704000,48.156875,11.567373,8,,903d185fccf839df
1494404705000,48.156875,11.567373,8,,903d185fccf839df
1494404706000,48.1569101,11.5673577,8,,903d185fccf839df
1494404707000,48.1569125,11.5673653,6,,903d185fccf839df
1494404708000,48.1569181,11.56737,6,,903d185fccf839df
1494404709000,48.1569182,11.5673699,6,,903d185fccf839df
1494404710000,48.1569182,11.5673699,6,,903d185fccf839df
1494404711000,48.1569182,11.5673699,8,,903d185fccf839df
1494404712000,48.1569425,11.5673344,8,,903d185fccf839df
1494404713000,48.1569568,11.5673324,8,,903d185fccf839df
1494404714000,48.1569664,11.5673432,8,,903d185fccf839df
1494404715000,48.1569724,11.56735,8,,903d185fccf839df
1494404716000,48.156983,11.5673569,8,,903d185fccf839df
1494404717000,48.1569819,11.567372,8,,903d185fccf839df
1494404718000,48.1569826,11.5673836,8,,903d185fccf839df
1494404719000,48.1569877,11.5673901,8,,903d185fccf839df
1494404720000,48.1569919,11.5674063,8,,903d185fccf839df
1494404721000,48.1570025,11.5674186,8,,903d185fccf839df
1494404722000,48.1570196,11.5674386,6,,903d185fccf839df
1494404723000,48.157031,11.5674413,6,,903d185fccf839df
1494404724000,48.1570395,11.5674503,6,,903d185fccf839df
1494404725000,48.157048,11.5674586,6,,903d185fccf839df
1494404726000,48.1570542,11.5674652,6,,903d185fccf839df
1494404727000,48.1570542,11.5674652,6,,903d185fccf839df
1494404728000,48.1570542,11.5674652,6,,903d185fccf839df
1494404729000,48.1570542,11.5674652,6,,903d185fccf839df
1494404730000,48.1570757,11.5674965,6,,903d185fccf839df
1494404731000,48.1570781,11.5675169,8,,903d185fccf839df
1494404732000,48.1570786,11.5675291,12,,903d185fccf839df
1494404733000,48.1570793,11.5675457,8,,903d185fccf839df
1494404734000,48.1570983,11.5675535,8,,903d185fccf839df
1494404733405,48.1570983,11.5675535,13.244000434875488,,903d185fccf839df
1494404735000,48.1571112,11.5675538,8,,903d185fccf839df
1494404736000,48.1571052,11.5675831,8,,903d185fccf839df
1494404737000,48.1571021,11.5675993,8,,903d185fccf839df
1494404738000,48.1571027,11.5676119,8,,903d185fccf839df
1494404739000,48.1571061,11.5676198,8,,903d185fccf839df
1494404740000,48.1571111,11.5676206,8,,903d185fccf839df
1494404741000,48.1571468,11.5676003,16,,903d185fccf839df
1494404742000,48.1571603,11.5675932,8,,903d185fccf839df
1494404743000,48.1571944,11.5675766,12,,903d185fccf839df
1494404744000,48.1572043,11.5675714,12,,903d185fccf839df
1494404745000,48.1572374,11.5675552,8,,903d185fccf839df
1494404746000,48.1572492,11.5675557,12,,903d185fccf839df
1494404747000,48.1572614,11.5675573,12,,903d185fccf839df
1494404748000,48.1572917,11.5675552,12,,903d185fccf839df
1494404749000,48.1573046,11.5675537,12,,903d185fccf839df
1494404750000,48.1573136,11.5675522,8,,903d185fccf839df
1494404751000,48.1573237,11.5675485,12,,903d185fccf839df
1494404752000,48.1573336,11.5675414,12,,903d185fccf839df
1494404753000,48.1573436,11.5675317,12,,903d185fccf839df
1494404754000,48.1573527,11.567523,12,,903d185fccf839df
1494404755000,48.1573603,11.5675087,12,,903d185fccf839df
1494404756000,48.1573677,11.5675015,12,,903d185fccf839df
1494404757000,48.1573732,11.5674933,6,,903d185fccf839df
1494404758000,48.1573779,11.567484,8,,903d185fccf839df
1494404759000,48.1573853,11.5674778,8,,903d185fccf839df
1494404760000,48.1573927,11.567469,8,,903d185fccf839df
1494404761000,48.1573992,11.5674561,8,,903d185fccf839df
1494404762000,48.157404,11.567438,12,,903d185fccf839df
1494404763000,48.157409,11.5673902,6,,903d185fccf839df
1494404764000,48.1574124,11.5673717,12,,903d185fccf839df
1494404765000,48.1574141,11.5673539,12,,903d185fccf839df
1494404766000,48.1574191,11.5673342,8,,903d185fccf839df
1494404767000,48.157431,11.5672819,8,,903d185fccf839df
1494404768000,48.1574339,11.5672619,8,,903d185fccf839df
1494404769000,48.1574379,11.5672412,8,,903d185fccf839df
1494404770000,48.1574397,11.56719,12,,903d185fccf839df
1494404771000,48.1574458,11.5671726,8,,903d185fccf839df
1494404772000,48.1574503,11.5671614,8,,903d185fccf839df
1494404773000,48.1574526,11.5671494,12,,903d185fccf839df
1494404774000,48.1574552,11.5671352,12,,903d185fccf839df
1494404775000,48.1574505,11.5671251,12,,903d185fccf839df
1494404776000,48.1574441,11.567116,8,,903d185fccf839df
1494404777000,48.157444,11.5671159,12,,903d185fccf839df
1494404778000,48.157444,11.5671159,16,,903d185fccf839df
1494404779000,48.157444,11.5671159,16,,903d185fccf839df
1494404780000,48.157444,11.5671159,16,,903d185fccf839df
1494404781000,48.1574389,11.5670987,16,,903d185fccf839df
1494404795440,48.1574586,11.5673302,20.326000213623047,,903d185fccf839df
1494404800500,48.1574158,11.5673641,19.611000061035156,,903d185fccf839df
1494404805506,48.1574158,11.5673641,19.625999450683594,,903d185fccf839df
1494404810511,48.1574158,11.5673641,19.639999389648438,,903d185fccf839df
1494404815676,48.1574158,11.5673641,19.639999389648438,,903d185fccf839df
1494404820605,48.1573202,11.5675307,21.472999572753906,,903d185fccf839df
1494404825669,48.1573202,11.5675307,21.493000030517578,,903d185fccf839df
1494404830709,48.1574158,11.5673641,19.576000213623047,,903d185fccf839df
1494404835790,48.1574913,11.5673952,19.51799964904785,,903d185fccf839df
1494404840882,48.1574913,11.5673952,19.691999435424805,,903d185fccf839df
1494404845925,48.1574913,11.5673952,19.746999740600586,,903d185fccf839df
1494404850959,48.1574913,11.5673952,19.76099967956543,,903d185fccf839df
1494404855997,48.1574913,11.5673952,19.7450008392334,,903d185fccf839df
1494404861092,48.1574913,11.5673952,19.770000457763672,,903d185fccf839df
1494404866096,48.1574913,11.5673952,20.604000091552734,,903d185fccf839df
1494404871150,48.1574913,11.5673952,20.60700035095215,,903d185fccf839df
1494404876170,48.1574913,11.5673952,19.760000228881836,,903d185fccf839df
1494404881218,48.1574913,11.5673952,19.586999893188477,,903d185fccf839df
1494404886309,48.1574158,11.5673641,20.246999740600586,,903d185fccf839df
1494404891353,48.1574058,11.5674629,19.593000411987305,,903d185fccf839df
1494404896412,48.1574913,11.5673952,19.5939998626709,,903d185fccf839df
1494404901432,48.1574158,11.5673641,19.69099998474121,,903d185fccf839df
1494404906462,48.1574586,11.5673302,19.454999923706055,,903d185fccf839df
1494404911499,48.1574586,11.5673302,19.4689998626709,,903d185fccf839df
1494404916545,48.1574913,11.5673952,19.606000900268555,,903d185fccf839df
1494404921661,48.1574158,11.5673641,19.694000244140625,,903d185fccf839df
1494404922999,48.157495,11.5674191,32,,903d185fccf839df
1494404923999,48.1574662,11.567422,24,,903d185fccf839df
1494404924999,48.1574889,11.5674145,16,,903d185fccf839df
1494404925999,48.1574782,11.5673889,24,,903d185fccf839df
1494404926999,48.1574802,11.567406,24,,903d185fccf839df
1494404933999,48.1574438,11.567402,16,,903d185fccf839df
1494404942298,48.1574913,11.5673952,19.483999252319336,,903d185fccf839df
1494404947341,48.1574913,11.5673952,19.517000198364258,,903d185fccf839df
1494404951999,48.1572985,11.5672754,32,,903d185fccf839df
1494404952999,48.1572837,11.5672711,24,,903d185fccf839df
1494404953999,48.1573017,11.5672848,24,,903d185fccf839df
1494404954999,48.1572978,11.5672904,24,,903d185fccf839df
1494404955999,48.1573154,11.5672989,12,,903d185fccf839df
1494404956999,48.1573186,11.5673064,16,,903d185fccf839df
1494404957999,48.1573126,11.5673496,24,,903d185fccf839df
1494404958999,48.1573162,11.5673475,24,,903d185fccf839df
1494404959999,48.1573188,11.567367,24,,903d185fccf839df
1494404960999,48.1573227,11.5673936,24,,903d185fccf839df
1494404961999,48.1573303,11.5673971,16,,903d185fccf839df
1494404962999,48.1573246,11.5674071,16,,903d185fccf839df
1494404963999,48.1573333,11.5674344,16,,903d185fccf839df
1494404964999,48.1573318,11.5674415,16,,903d185fccf839df
1494404965999,48.1573183,11.5674333,16,,903d185fccf839df
1494404966999,48.1573231,11.567431,8,,903d185fccf839df
1494404967999,48.1573234,11.5674285,16,,903d185fccf839df
1494404968999,48.1573266,11.5674411,16,,903d185fccf839df
1494404969999,48.1573347,11.5674647,24,,903d185fccf839df
1494404970999,48.1573402,11.5674695,16,,903d185fccf839df
1494404971999,48.1573403,11.5674695,16,,903d185fccf839df
1494404972999,48.1573446,11.5674603,16,,903d185fccf839df
1494404973999,48.1573489,11.5674516,16,,903d185fccf839df
1494404974999,48.1573489,11.5674516,24,,903d185fccf839df
1494404975999,48.1573489,11.5674516,12,,903d185fccf839df
1494404976999,48.1573489,11.5674516,16,,903d185fccf839df
1494404977999,48.1573489,11.5674516,24,,903d185fccf839df
1494404978999,48.1573499,11.5674444,24,,903d185fccf839df
1494404979999,48.1573501,11.5674368,16,,903d185fccf839df
1494404980999,48.1573494,11.5674321,24,,903d185fccf839df
1494404981999,48.1573494,11.5674321,24,,903d185fccf839df
1494404982999,48.1573494,11.5674321,24,,903d185fccf839df
1494404983999,48.1573494,11.5674321,24,,903d185fccf839df
1494404984999,48.1573494,11.5674321,24,,903d185fccf839df
1494404985999,48.1573494,11.5674321,24,,903d185fccf839df
1494404986999,48.1573538,11.5674287,24,,903d185fccf839df
1494404987999,48.1573568,11.5674455,32,,903d185fccf839df
1494404988999,48.1573577,11.5674437,32,,903d185fccf839df
1494404989999,48.1573586,11.5674423,32,,903d185fccf839df
1494404990999,48.1573586,11.5674423,24,,903d185fccf839df
1494404991999,48.1573586,11.5674423,16,,903d185fccf839df
1494404992999,48.1573586,11.5674423,16,,903d185fccf839df
1494404993999,48.1573586,11.5674423,16,,903d185fccf839df
1494404994999,48.1573586,11.5674423,32,,903d185fccf839df
1494404995999,48.1573586,11.5674423,32,,903d185fccf839df
1494404996999,48.1573586,11.5674423,24,,903d185fccf839df
1494404997999,48.1573586,11.5674423,24,,903d185fccf839df
