timestamp, light1, light2, light3, UUID 
1494404694224,5337,6576,5337,,903d185fccf839df
1494404695665,4582,7873,4582,,903d185fccf839df
1494404696023,4625,7947,4625,,903d185fccf839df
1494404696023,4625,7947,4625,,903d185fccf839df
1494404696214,4795,7919,4795,,903d185fccf839df
1494404696214,4795,7919,4795,,903d185fccf839df
1494404696385,5164,8115,5164,,903d185fccf839df
1494404696385,5164,8115,5164,,903d185fccf839df
1494404696565,5207,8371,5207,,903d185fccf839df
1494404696751,5592,8919,5592,,903d185fccf839df
1494404696751,5592,8919,5592,,903d185fccf839df
1494404696922,5139,8837,5139,,903d185fccf839df
1494404696922,5139,8837,5139,,903d185fccf839df
1494404697102,5306,8383,5306,,903d185fccf839df
1494404697283,5303,7845,5303,,903d185fccf839df
1494404697464,5444,7763,5444,,903d185fccf839df
1494404697464,5444,7763,5444,,903d185fccf839df
1494404697646,5375,7973,5375,,903d185fccf839df
1494404697646,5375,7973,5375,,903d185fccf839df
1494404697827,5024,8415,5024,,903d185fccf839df
1494404697827,5024,8415,5024,,903d185fccf839df
1494404698003,4925,8611,4925,,903d185fccf839df
1494404698003,4925,8611,4925,,903d185fccf839df
1494404698183,4757,8897,4757,,903d185fccf839df
1494404698183,4757,8897,4757,,903d185fccf839df
1494404698369,4658,8893,4658,,903d185fccf839df
1494404698549,4587,8972,4587,,903d185fccf839df
1494404698549,4587,8972,4587,,903d185fccf839df
1494404698726,4856,8900,4856,,903d185fccf839df
1494404698726,4856,8900,4856,,903d185fccf839df
1494404698904,5196,8981,5196,,903d185fccf839df
1494404698904,5196,8981,5196,,903d185fccf839df
1494404699089,4516,8808,4516,,903d185fccf839df
1494404699089,4516,8808,4516,,903d185fccf839df
1494404699263,4389,8968,4389,,903d185fccf839df
1494404699444,4618,9568,4618,,903d185fccf839df
1494404699444,4618,9568,4618,,903d185fccf839df
1494404699631,4206,9330,4206,,903d185fccf839df
1494404699631,4206,9330,4206,,903d185fccf839df
1494404699803,3625,9159,3625,,903d185fccf839df
1494404699803,3625,9159,3625,,903d185fccf839df
1494404699984,3866,9253,3866,,903d185fccf839df
1494404700163,4135,9146,4135,,903d185fccf839df
1494404700163,4135,9146,4135,,903d185fccf839df
1494404700348,4569,8075,4569,,903d185fccf839df
1494404700348,4569,8075,4569,,903d185fccf839df
1494404700524,5161,7591,5161,,903d185fccf839df
1494404700524,5161,7591,5161,,903d185fccf839df
1494404700703,5358,7482,5358,,903d185fccf839df
1494404700703,5358,7482,5358,,903d185fccf839df
1494404700884,5428,7447,5428,,903d185fccf839df
1494404700884,5428,7447,5428,,903d185fccf839df
1494404701063,5458,7663,5458,,903d185fccf839df
1494404701063,5458,7663,5458,,903d185fccf839df
1494404701249,5430,7763,5430,,903d185fccf839df
1494404701426,5431,7928,5431,,903d185fccf839df
1494404701426,5431,7928,5431,,903d185fccf839df
1494404701603,5474,7991,5474,,903d185fccf839df
1494404701603,5474,7991,5474,,903d185fccf839df
1494404701788,5278,8316,5278,,903d185fccf839df
1494404701788,5278,8316,5278,,903d185fccf839df
1494404701976,5432,8100,5432,,903d185fccf839df
1494404702147,5543,7784,5543,,903d185fccf839df
1494404702147,5543,7784,5543,,903d185fccf839df
1494404702328,5135,8048,5135,,903d185fccf839df
1494404702328,5135,8048,5135,,903d185fccf839df
