prediction, timestamp 
sitting,1494340803474
sitting,1494340804039
walking downstairs,1494340804978
walking downstairs,1494340805547
walking downstairs,1494340806467
walking downstairs,1494340807047
walking downstairs,1494340808002
walking downstairs,1494340808549
walking downstairs,1494340809500
walking downstairs,1494340810075
walking downstairs,1494340810997
walking downstairs,1494340811579
walking downstairs,1494340812509
walking downstairs,1494340813050
walking downstairs,1494340814015
walking downstairs,1494340814549
walking downstairs,1494340815468
walking downstairs,1494340816048
walking downstairs,1494340816983
walking upstairs,1494340817588
walking downstairs,1494340818487
walking downstairs,1494340819061
walking upstairs,1494340819983
walking upstairs,1494340820550
walking upstairs,1494340821463
walking upstairs,1494340822071
walking upstairs,1494340822975
walking upstairs,1494340823547
walking upstairs,1494340824470
walking upstairs,1494340825078
walking upstairs,1494340825978
walking upstairs,1494340826546
walking upstairs,1494340827519
walking upstairs,1494340828040
walking upstairs,1494340829015
walking upstairs,1494340829547
walking upstairs,1494340830486
walking upstairs,1494340831077
walking upstairs,1494340832009
walking upstairs,1494340832581
walking upstairs,1494340833487
walking upstairs,1494340834042
walking upstairs,1494340834991
walking upstairs,1494340835549
walking upstairs,1494340836494
walking upstairs,1494340837084
walking upstairs,1494340837999
walking upstairs,1494340838541
walking upstairs,1494340839468
walking upstairs,1494340840047
walking upstairs,1494340841009
walking upstairs,1494340841537
walking upstairs,1494340842494
walking upstairs,1494340843061
walking upstairs,1494340843999
walking upstairs,1494340844547
walking upstairs,1494340845480
walking upstairs,1494340846061
walking upstairs,1494340847060
walking upstairs,1494340847565
walking upstairs,1494340848477
walking upstairs,1494340849070
walking upstairs,1494340850006
walking upstairs,1494340850555
walking upstairs,1494340851482
walking upstairs,1494340852060
walking upstairs,1494340853033
walking upstairs,1494340853540
walking upstairs,1494340854472
walking upstairs,1494340855048
walking upstairs,1494340856013
walking upstairs,1494340856586
walking upstairs,1494340857535
walking upstairs,1494340858058
walking upstairs,1494340858997
walking upstairs,1494340859550
walking upstairs,1494340860475
