timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1494444160392,-15.300000190734863,-10.5,-55.29999923706055,58.33035106483313,,903d185fccf839df
1494444160512,-16.100000381469727,-9.90000057220459,-56,59.10346886383473,,903d185fccf839df
1494444160560,-16.399999618530273,-9.40000057220459,-56.10000228881836,59.199072668184165,,903d185fccf839df
1494444160663,-17.200000762939453,-7.800000190734863,-56.79999923706055,59.857497617734815,,903d185fccf839df
1494444160745,-18,-6.800000190734863,-56.900001525878906,60.065381952505234,,903d185fccf839df
1494444160813,-18.30000114440918,-6.5,-57.400001525878906,60.5962069693497,,903d185fccf839df
1494444160873,-18.600000381469727,-6.900000095367432,-57.900001525878906,61.2044130666491,,903d185fccf839df
1494444160953,-18.700000762939453,-7.400000095367432,-57.70000076293945,61.104337605097356,,903d185fccf839df
1494444161046,-18.399999618530273,-8.100000381469727,-57.400001525878906,60.81883145625695,,903d185fccf839df
1494444161103,-18,-8.100000381469727,-57.10000228881836,60.41539675024692,,903d185fccf839df
1494444161153,-17.899999618530273,-7.800000190734863,-56.60000228881836,59.87328519336643,,903d185fccf839df
1494444161248,-17.399999618530273,-8.199999809265137,-56.10000228881836,59.306072051603124,,903d185fccf839df
1494444161318,-17.200000762939453,-9.100000381469727,-56.20000076293945,59.473441279199,,903d185fccf839df
1494444161539,-16,-12,-56.400001525878906,59.841124697636864,,903d185fccf839df
1494444161666,-15.40000057220459,-10.199999809265137,-56.60000228881836,59.53788974209118,,903d185fccf839df
1494444161734,-16,-9,-56.60000228881836,59.50260752886696,,903d185fccf839df
1494444161794,-16.899999618530273,-8,-56.70000076293945,59.70343475940319,,903d185fccf839df
1494444161893,-18.80000114440918,-7.300000190734863,-56.400001525878906,59.89733081659513,,903d185fccf839df
1494444161963,-20,-6.800000190734863,-56.20000076293945,60.038988892430076,,903d185fccf839df
1494444162034,-21.100000381469727,-6.400000095367432,-56.10000228881836,60.277526740485555,,903d185fccf839df
