timestamp, light1, light2, light3, UUID 
1494346431411,3519,6296,3519,,903d185fccf839df
1494346432633,3245,6514,3245,,903d185fccf839df
1494346432997,3035,6495,3035,,903d185fccf839df
1494346432997,3035,6495,3035,,903d185fccf839df
1494346433181,2767,6507,2767,,903d185fccf839df
1494346433181,2767,6507,2767,,903d185fccf839df
1494346433352,2627,6505,2627,,903d185fccf839df
1494346433352,2627,6505,2627,,903d185fccf839df
1494346433535,2463,6506,2463,,903d185fccf839df
1494346433535,2463,6506,2463,,903d185fccf839df
1494346433713,2428,6500,2428,,903d185fccf839df
1494346433713,2428,6500,2428,,903d185fccf839df
1494346433891,2504,6460,2504,,903d185fccf839df
1494346433891,2504,6460,2504,,903d185fccf839df
1494346434076,2724,6427,2724,,903d185fccf839df
1494346434252,3165,6363,3165,,903d185fccf839df
1494346434433,3504,6317,3504,,903d185fccf839df
1494346434433,3504,6317,3504,,903d185fccf839df
1494346434612,4012,6261,4012,,903d185fccf839df
1494346434612,4012,6261,4012,,903d185fccf839df
1494346434798,4103,6229,4103,,903d185fccf839df
1494346434972,4189,6195,4189,,903d185fccf839df
1494346434972,4189,6195,4189,,903d185fccf839df
1494346435152,4303,6180,4303,,903d185fccf839df
1494346435152,4303,6180,4303,,903d185fccf839df
1494346435332,4124,6181,4124,,903d185fccf839df
1494346435332,4124,6181,4124,,903d185fccf839df
1494346435511,4319,6168,4319,,903d185fccf839df
1494346435511,4319,6168,4319,,903d185fccf839df
1494346435701,4316,6187,4316,,903d185fccf839df
1494346435874,4537,6181,4537,,903d185fccf839df
1494346435874,4537,6181,4537,,903d185fccf839df
1494346436056,4636,6179,4636,,903d185fccf839df
1494346436056,4636,6179,4636,,903d185fccf839df
1494346436233,4765,6187,4765,,903d185fccf839df
1494346436233,4765,6187,4765,,903d185fccf839df
1494346436418,4610,6192,4610,,903d185fccf839df
1494346436418,4610,6192,4610,,903d185fccf839df
1494346436594,4645,6164,4645,,903d185fccf839df
1494346436594,4645,6164,4645,,903d185fccf839df
1494346436775,4718,6150,4718,,903d185fccf839df
1494346436952,4803,6139,4803,,903d185fccf839df
1494346436952,4803,6139,4803,,903d185fccf839df
1494346437135,4779,6128,4779,,903d185fccf839df
1494346437135,4779,6128,4779,,903d185fccf839df
1494346437315,4851,6123,4851,,903d185fccf839df
1494346437315,4851,6123,4851,,903d185fccf839df
1494346437492,4838,6125,4838,,903d185fccf839df
1494346437492,4838,6125,4838,,903d185fccf839df
1494346437676,4695,6139,4695,,903d185fccf839df
1494346437859,4731,6124,4731,,903d185fccf839df
1494346437859,4731,6124,4731,,903d185fccf839df
1494346438032,4643,6119,4643,,903d185fccf839df
1494346438032,4643,6119,4643,,903d185fccf839df
1494346438212,4513,6130,4513,,903d185fccf839df
1494346438212,4513,6130,4513,,903d185fccf839df
1494346438404,4050,6185,4050,,903d185fccf839df
1494346438572,4059,6177,4059,,903d185fccf839df
1494346438572,4059,6177,4059,,903d185fccf839df
1494346438752,4083,6186,4083,,903d185fccf839df
1494346438752,4083,6186,4083,,903d185fccf839df
1494346438933,4121,6178,4121,,903d185fccf839df
1494346438933,4121,6178,4121,,903d185fccf839df
1494346439114,4392,6144,4392,,903d185fccf839df
1494346439114,4392,6144,4392,,903d185fccf839df
1494346439292,4381,6133,4381,,903d185fccf839df
1494346439479,4322,6145,4322,,903d185fccf839df
1494346439479,4322,6145,4322,,903d185fccf839df
1494346439653,4103,6168,4103,,903d185fccf839df
1494346439653,4103,6168,4103,,903d185fccf839df
1494346439833,4271,6155,4271,,903d185fccf839df
1494346439833,4271,6155,4271,,903d185fccf839df
1494346440016,4139,6174,4139,,903d185fccf839df
1494346440016,4139,6174,4139,,903d185fccf839df
1494346440196,4098,6178,4098,,903d185fccf839df
1494346440196,4098,6178,4098,,903d185fccf839df
1494346440381,4382,6133,4382,,903d185fccf839df
1494346440555,4228,6137,4228,,903d185fccf839df
1494346440555,4228,6137,4228,,903d185fccf839df
1494346440741,4024,6171,4024,,903d185fccf839df
1494346440741,4024,6171,4024,,903d185fccf839df
1494346440913,4002,6166,4002,,903d185fccf839df
1494346440913,4002,6166,4002,,903d185fccf839df
1494346441092,4200,6152,4200,,903d185fccf839df
1494346441272,4079,6183,4079,,903d185fccf839df
1494346441272,4079,6183,4079,,903d185fccf839df
1494346441455,4027,6185,4027,,903d185fccf839df
1494346441455,4027,6185,4027,,903d185fccf839df
1494346441631,4073,6160,4073,,903d185fccf839df
1494346441631,4073,6160,4073,,903d185fccf839df
1494346441812,3997,6187,3997,,903d185fccf839df
1494346441812,3997,6187,3997,,903d185fccf839df
1494346441993,3708,6248,3708,,903d185fccf839df
1494346442173,3336,6300,3336,,903d185fccf839df
1494346442173,3336,6300,3336,,903d185fccf839df
1494346442353,3517,6262,3517,,903d185fccf839df
1494346442353,3517,6262,3517,,903d185fccf839df
1494346442532,3790,6232,3790,,903d185fccf839df
1494346442532,3790,6232,3790,,903d185fccf839df
1494346442715,3797,6214,3797,,903d185fccf839df
1494346442715,3797,6214,3797,,903d185fccf839df
1494346442892,3766,6222,3766,,903d185fccf839df
1494346443072,3856,6220,3856,,903d185fccf839df
1494346443072,3856,6220,3856,,903d185fccf839df
1494346443256,3824,6213,3824,,903d185fccf839df
1494346443256,3824,6213,3824,,903d185fccf839df
1494346443432,3897,6195,3897,,903d185fccf839df
1494346443432,3897,6195,3897,,903d185fccf839df
1494346443611,4092,6179,4092,,903d185fccf839df
1494346443611,4092,6179,4092,,903d185fccf839df
1494346443807,4119,6178,4119,,903d185fccf839df
1494346443984,4072,6179,4072,,903d185fccf839df
1494346443984,4072,6179,4072,,903d185fccf839df
1494346444153,3735,6198,3735,,903d185fccf839df
1494346444153,3735,6198,3735,,903d185fccf839df
1494346444333,3709,6205,3709,,903d185fccf839df
1494346444333,3709,6205,3709,,903d185fccf839df
1494346444515,3848,6196,3848,,903d185fccf839df
1494346444515,3848,6196,3848,,903d185fccf839df
1494346444692,4087,6186,4087,,903d185fccf839df
1494346444877,5049,6182,5049,,903d185fccf839df
1494346444877,5049,6182,5049,,903d185fccf839df
1494346445054,5202,6204,5202,,903d185fccf839df
1494346445054,5202,6204,5202,,903d185fccf839df
1494346445231,5228,6207,5228,,903d185fccf839df
1494346445231,5228,6207,5228,,903d185fccf839df
1494346445413,5362,6194,5362,,903d185fccf839df
1494346445413,5362,6194,5362,,903d185fccf839df
1494346445593,5155,6170,5155,,903d185fccf839df
1494346445593,5155,6170,5155,,903d185fccf839df
1494346445776,4510,6147,4510,,903d185fccf839df
1494346445954,4728,6148,4728,,903d185fccf839df
1494346445954,4728,6148,4728,,903d185fccf839df
1494346446132,5216,6160,5216,,903d185fccf839df
1494346446132,5216,6160,5216,,903d185fccf839df
1494346446313,4428,6154,4428,,903d185fccf839df
1494346446313,4428,6154,4428,,903d185fccf839df
1494346446496,4677,6158,4677,,903d185fccf839df
1494346446496,4677,6158,4677,,903d185fccf839df
1494346446673,4745,6145,4745,,903d185fccf839df
1494346446853,4645,6143,4645,,903d185fccf839df
1494346446853,4645,6143,4645,,903d185fccf839df
1494346447034,4035,6129,4035,,903d185fccf839df
1494346447034,4035,6129,4035,,903d185fccf839df
1494346447213,3208,6204,3208,,903d185fccf839df
1494346447213,3208,6204,3208,,903d185fccf839df
1494346447394,1259,6409,1259,,903d185fccf839df
1494346447394,1259,6409,1259,,903d185fccf839df
1494346447575,1163,6435,1163,,903d185fccf839df
1494346447753,1378,6485,1378,,903d185fccf839df
1494346447753,1378,6485,1378,,903d185fccf839df
1494346447932,1823,6551,1823,,903d185fccf839df
1494346447932,1823,6551,1823,,903d185fccf839df
1494346448115,1880,6520,1880,,903d185fccf839df
1494346448115,1880,6520,1880,,903d185fccf839df
1494346448304,1698,6527,1698,,903d185fccf839df
1494346448478,1900,6540,1900,,903d185fccf839df
1494346448478,1900,6540,1900,,903d185fccf839df
1494346448652,1323,6445,1323,,903d185fccf839df
1494346448652,1323,6445,1323,,903d185fccf839df
1494346448834,975,6333,975,,903d185fccf839df
1494346448834,975,6333,975,,903d185fccf839df
1494346449012,1626,6483,1626,,903d185fccf839df
1494346449012,1626,6483,1626,,903d185fccf839df
1494346449197,3004,6268,3004,,903d185fccf839df
1494346449197,3004,6268,3004,,903d185fccf839df
1494346449396,3656,6175,3656,,903d185fccf839df
1494346449555,3981,6229,3981,,903d185fccf839df
1494346449555,3981,6229,3981,,903d185fccf839df
1494346449734,4094,6226,4094,,903d185fccf839df
1494346449734,4094,6226,4094,,903d185fccf839df
1494346449912,4136,6260,4136,,903d185fccf839df
1494346449912,4136,6260,4136,,903d185fccf839df
1494346450098,4308,6284,4308,,903d185fccf839df
1494346450098,4308,6284,4308,,903d185fccf839df
1494346450285,4401,6295,4401,,903d185fccf839df
1494346450454,4550,6318,4550,,903d185fccf839df
1494346450454,4550,6318,4550,,903d185fccf839df
1494346450632,4917,6324,4917,,903d185fccf839df
1494346450632,4917,6324,4917,,903d185fccf839df
1494346450812,4502,6370,4502,,903d185fccf839df
1494346450812,4502,6370,4502,,903d185fccf839df
1494346450994,4692,6354,4692,,903d185fccf839df
1494346450994,4692,6354,4692,,903d185fccf839df
1494346451175,4878,6349,4878,,903d185fccf839df
1494346451352,5018,6354,5018,,903d185fccf839df
1494346451352,5018,6354,5018,,903d185fccf839df
1494346451533,5328,6346,5328,,903d185fccf839df
1494346451533,5328,6346,5328,,903d185fccf839df
1494346451715,5556,6345,5556,,903d185fccf839df
1494346451715,5556,6345,5556,,903d185fccf839df
1494346451895,5994,6328,5994,,903d185fccf839df
1494346451895,5994,6328,5994,,903d185fccf839df
1494346452072,5781,6354,5781,,903d185fccf839df
