timestamp, light1, light2, light3, UUID 
1491900131408,18764,6578,18764,,903d185fccf839df
1491900131589,18836,6577,18836,,903d185fccf839df
1491900131589,18836,6577,18836,,903d185fccf839df
1491900131589,18836,6577,18836,,903d185fccf839df
1491900131769,18814,6578,18814,,903d185fccf839df
1491900131769,18814,6578,18814,,903d185fccf839df
1491900131769,18814,6578,18814,,903d185fccf839df
1491900131947,18896,6574,18896,,903d185fccf839df
1491900131947,18896,6574,18896,,903d185fccf839df
1491900131947,18896,6574,18896,,903d185fccf839df
1491900131947,18896,6574,18896,,903d185fccf839df
1491900132127,18707,6583,18707,,903d185fccf839df
1491900132127,18707,6583,18707,,903d185fccf839df
1491900132127,18707,6583,18707,,903d185fccf839df
1491900132127,18707,6583,18707,,903d185fccf839df
1491900132308,18848,6578,18848,,903d185fccf839df
1491900132308,18848,6578,18848,,903d185fccf839df
1491900132308,18848,6578,18848,,903d185fccf839df
1491900132488,19259,6553,19259,,903d185fccf839df
1491900132488,19259,6553,19259,,903d185fccf839df
1491900132488,19259,6553,19259,,903d185fccf839df
1491900132488,19259,6553,19259,,903d185fccf839df
1491900132667,19459,6537,19459,,903d185fccf839df
1491900132667,19459,6537,19459,,903d185fccf839df
1491900132667,19459,6537,19459,,903d185fccf839df
1491900132667,19459,6537,19459,,903d185fccf839df
1491900132847,19111,6561,19111,,903d185fccf839df
1491900132847,19111,6561,19111,,903d185fccf839df
1491900132847,19111,6561,19111,,903d185fccf839df
1491900133034,19196,6558,19196,,903d185fccf839df
1491900133034,19196,6558,19196,,903d185fccf839df
1491900133034,19196,6558,19196,,903d185fccf839df
1491900133034,19196,6558,19196,,903d185fccf839df
1491900133208,18691,6585,18691,,903d185fccf839df
1491900133208,18691,6585,18691,,903d185fccf839df
1491900133208,18691,6585,18691,,903d185fccf839df
1491900133389,18400,6602,18400,,903d185fccf839df
1491900133389,18400,6602,18400,,903d185fccf839df
1491900133389,18400,6602,18400,,903d185fccf839df
1491900133389,18400,6602,18400,,903d185fccf839df
1491900133571,18408,6597,18408,,903d185fccf839df
1491900133571,18408,6597,18408,,903d185fccf839df
1491900133571,18408,6597,18408,,903d185fccf839df
1491900133571,18408,6597,18408,,903d185fccf839df
1491900133747,18024,6606,18024,,903d185fccf839df
1491900133747,18024,6606,18024,,903d185fccf839df
1491900133747,18024,6606,18024,,903d185fccf839df
1491900133928,17928,6609,17928,,903d185fccf839df
1491900133928,17928,6609,17928,,903d185fccf839df
1491900133928,17928,6609,17928,,903d185fccf839df
1491900133928,17928,6609,17928,,903d185fccf839df
1491900134107,18778,6594,18778,,903d185fccf839df
1491900134107,18778,6594,18778,,903d185fccf839df
1491900134107,18778,6594,18778,,903d185fccf839df
1491900134107,18778,6594,18778,,903d185fccf839df
1491900134291,18562,6588,18562,,903d185fccf839df
1491900134291,18562,6588,18562,,903d185fccf839df
1491900134291,18562,6588,18562,,903d185fccf839df
1491900134467,17894,6580,17894,,903d185fccf839df
1491900134467,17894,6580,17894,,903d185fccf839df
1491900134467,17894,6580,17894,,903d185fccf839df
1491900134467,17894,6580,17894,,903d185fccf839df
1491900134650,18266,6571,18266,,903d185fccf839df
1491900134650,18266,6571,18266,,903d185fccf839df
1491900134650,18266,6571,18266,,903d185fccf839df
1491900134831,16869,6592,16869,,903d185fccf839df
1491900134831,16869,6592,16869,,903d185fccf839df
1491900134831,16869,6592,16869,,903d185fccf839df
1491900134831,16869,6592,16869,,903d185fccf839df
1491900135007,15507,6608,15507,,903d185fccf839df
1491900135007,15507,6608,15507,,903d185fccf839df
1491900135007,15507,6608,15507,,903d185fccf839df
1491900135007,15507,6608,15507,,903d185fccf839df
1491900135187,16173,6617,16173,,903d185fccf839df
1491900135187,16173,6617,16173,,903d185fccf839df
1491900135187,16173,6617,16173,,903d185fccf839df
1491900135370,15949,6543,15949,,903d185fccf839df
1491900135370,15949,6543,15949,,903d185fccf839df
1491900135370,15949,6543,15949,,903d185fccf839df
1491900135550,15931,6575,15931,,903d185fccf839df
1491900135550,15931,6575,15931,,903d185fccf839df
1491900135550,15931,6575,15931,,903d185fccf839df
1491900135550,15931,6575,15931,,903d185fccf839df
1491900135728,15307,6621,15307,,903d185fccf839df
1491900135728,15307,6621,15307,,903d185fccf839df
1491900135728,15307,6621,15307,,903d185fccf839df
1491900135728,15307,6621,15307,,903d185fccf839df
1491900135910,14859,6547,14859,,903d185fccf839df
1491900135910,14859,6547,14859,,903d185fccf839df
1491900135910,14859,6547,14859,,903d185fccf839df
1491900136089,15551,6453,15551,,903d185fccf839df
1491900136089,15551,6453,15551,,903d185fccf839df
1491900136089,15551,6453,15551,,903d185fccf839df
1491900136089,15551,6453,15551,,903d185fccf839df
1491900136271,14760,6475,14760,,903d185fccf839df
1491900136271,14760,6475,14760,,903d185fccf839df
1491900136271,14760,6475,14760,,903d185fccf839df
1491900136271,14760,6475,14760,,903d185fccf839df
1491900136452,14224,6440,14224,,903d185fccf839df
1491900136452,14224,6440,14224,,903d185fccf839df
1491900136452,14224,6440,14224,,903d185fccf839df
1491900136633,13597,6441,13597,,903d185fccf839df
1491900136633,13597,6441,13597,,903d185fccf839df
1491900136633,13597,6441,13597,,903d185fccf839df
1491900136633,13597,6441,13597,,903d185fccf839df
1491900136810,13358,6520,13358,,903d185fccf839df
1491900136810,13358,6520,13358,,903d185fccf839df
1491900136810,13358,6520,13358,,903d185fccf839df
1491900136988,12960,6519,12960,,903d185fccf839df
1491900136988,12960,6519,12960,,903d185fccf839df
1491900136988,12960,6519,12960,,903d185fccf839df
1491900136988,12960,6519,12960,,903d185fccf839df
1491900137168,12527,6482,12527,,903d185fccf839df
1491900137168,12527,6482,12527,,903d185fccf839df
1491900137168,12527,6482,12527,,903d185fccf839df
