timestamp, latitude, longitude, accuracy, UUID 
1497236291031,48.1434665,11.5003017,20.849000930786133,,903d185fccf839df
1497236298033,48.1439411,11.5000353,24,,903d185fccf839df
1497236299033,48.1439357,11.5000088,12,,903d185fccf839df
1497236299999,48.1439255,11.4999944,12,,903d185fccf839df
1497236300999,48.1439134,11.4999814,12,,903d185fccf839df
1497236301999,48.1439025,11.4999681,12,,903d185fccf839df
1497236302999,48.1438866,11.4999518,8,,903d185fccf839df
1497236303999,48.1438688,11.499942,8,,903d185fccf839df
1497236304999,48.1438436,11.4999275,8,,903d185fccf839df
1497236305999,48.1438102,11.4999117,16,,903d185fccf839df
1497236306999,48.1437804,11.4998978,16,,903d185fccf839df
1497236307999,48.1437545,11.4998797,16,,903d185fccf839df
1497236308999,48.1437316,11.4998666,16,,903d185fccf839df
1497236309999,48.1437062,11.4998538,16,,903d185fccf839df
1497236310999,48.1436856,11.4998409,16,,903d185fccf839df
1497236311999,48.1436683,11.499827,16,,903d185fccf839df
1497236310437,48.1436683,11.499827,26.40999984741211,,903d185fccf839df
1497236312999,48.1436564,11.4998113,16,,903d185fccf839df
1497236313999,48.1436404,11.4998036,16,,903d185fccf839df
1497236314999,48.1436318,11.4997958,16,,903d185fccf839df
1497236315999,48.1436279,11.4997834,16,,903d185fccf839df
1497236316999,48.143624,11.4997738,16,,903d185fccf839df
1497236317999,48.1436291,11.4997477,12,,903d185fccf839df
1497236318999,48.1436328,11.4997311,12,,903d185fccf839df
1497236319999,48.143631,11.4997213,12,,903d185fccf839df
1497236320999,48.1436257,11.4997096,12,,903d185fccf839df
1497236321999,48.1436189,11.4997012,12,,903d185fccf839df
1497236322999,48.1436189,11.4997012,12,,903d185fccf839df
1497236323999,48.1436189,11.4997012,12,,903d185fccf839df
1497236324999,48.1436189,11.4997012,12,,903d185fccf839df
1497236325999,48.1436189,11.4997012,8,,903d185fccf839df
1497236326999,48.1436189,11.4997012,8,,903d185fccf839df
1497236327999,48.1436189,11.4997012,8,,903d185fccf839df
1497236328999,48.1436033,11.4996146,12,,903d185fccf839df
1497236329999,48.1436036,11.4995767,16,,903d185fccf839df
1497236330999,48.1436013,11.4995505,8,,903d185fccf839df
