timestamp, latitude, longitude, accuracy, UUID 
1495090670227,48.1435071,11.4982485,20.03499984741211,,903d185fccf839df
1495090674079,48.1437831,11.4976068,48,,903d185fccf839df
1495090675081,48.1435861,11.4973432,48,,903d185fccf839df
1495090676083,48.1436132,11.497321,24,,903d185fccf839df
1495090677083,48.1436227,11.4973081,24,,903d185fccf839df
1495090678083,48.1436237,11.4973164,16,,903d185fccf839df
1495090679083,48.1436241,11.4973117,16,,903d185fccf839df
1495090680076,48.1436457,11.4972928,8,,903d185fccf839df
1495090680479,48.1436457,11.4972928,13.942999839782715,,903d185fccf839df
1495090681076,48.1436593,11.4972684,8,,903d185fccf839df
1495090682000,48.1436597,11.497234,8,,903d185fccf839df
1495090683000,48.1436663,11.4972157,8,,903d185fccf839df
1495090684000,48.1436725,11.4971997,6,,903d185fccf839df
1495090685000,48.1436783,11.4971918,6,,903d185fccf839df
1495090686000,48.1436861,11.4971834,6,,903d185fccf839df
1495090687000,48.1436923,11.4971713,6,,903d185fccf839df
1495090688000,48.1436927,11.4971547,6,,903d185fccf839df
1495090689000,48.1437096,11.4971671,12,,903d185fccf839df
1495090690000,48.1437238,11.4971746,12,,903d185fccf839df
1495090691000,48.1437431,11.497181,12,,903d185fccf839df
1495090692000,48.1437544,11.4971728,12,,903d185fccf839df
1495090693000,48.1437641,11.4971586,12,,903d185fccf839df
1495090694000,48.143772,11.4971479,12,,903d185fccf839df
1495090695000,48.143782,11.4971356,12,,903d185fccf839df
1495090696000,48.1437913,11.4971249,6,,903d185fccf839df
1495090697000,48.1437964,11.4971105,6,,903d185fccf839df
1495090698000,48.1438028,11.4970948,12,,903d185fccf839df
1495090699000,48.1438124,11.4970767,6,,903d185fccf839df
1495090700000,48.1438205,11.4970565,12,,903d185fccf839df
1495090701000,48.143826,11.4970342,12,,903d185fccf839df
1495090702000,48.143829,11.4970105,6,,903d185fccf839df
1495090703000,48.1438323,11.4969909,12,,903d185fccf839df
1495090704000,48.1438369,11.4969749,12,,903d185fccf839df
1495090705000,48.1438405,11.4969595,12,,903d185fccf839df
1495090706000,48.1438441,11.4969442,12,,903d185fccf839df
1495090707000,48.1438468,11.4969216,12,,903d185fccf839df
1495090708000,48.1438477,11.4969012,12,,903d185fccf839df
1495090709000,48.1438484,11.4968805,12,,903d185fccf839df
1495090710000,48.1438456,11.4968568,12,,903d185fccf839df
1495090711000,48.1438445,11.4968301,8,,903d185fccf839df
1495090712000,48.1438421,11.4968026,8,,903d185fccf839df
1495090713000,48.1438416,11.4967806,6,,903d185fccf839df
1495090714000,48.1438425,11.4967601,8,,903d185fccf839df
1495090715000,48.143844,11.4967402,6,,903d185fccf839df
1495090716000,48.1438486,11.4967246,6,,903d185fccf839df
1495090717000,48.1438533,11.4967099,6,,903d185fccf839df
1495090718000,48.1438569,11.4966945,6,,903d185fccf839df
1495090719000,48.1438618,11.4966785,8,,903d185fccf839df
1495090720000,48.1438665,11.4966629,4,,903d185fccf839df
1495090721000,48.1438704,11.4966472,6,,903d185fccf839df
1495090722000,48.1438738,11.4966336,8,,903d185fccf839df
1495090723000,48.1438762,11.4966213,6,,903d185fccf839df
1495090724000,48.1438786,11.496605,6,,903d185fccf839df
1495090725000,48.1438797,11.4965854,6,,903d185fccf839df
1495090726000,48.1438809,11.4965674,6,,903d185fccf839df
1495090727000,48.1438832,11.4965509,4,,903d185fccf839df
1495090728000,48.1438843,11.4965316,4,,903d185fccf839df
1495090729000,48.143886,11.496517,6,,903d185fccf839df
1495090730000,48.1438887,11.4965047,6,,903d185fccf839df
1495090731000,48.1438919,11.4964948,6,,903d185fccf839df
1495090732000,48.1438953,11.4964847,6,,903d185fccf839df
1495090733000,48.1438968,11.496472,6,,903d185fccf839df
1495090734000,48.1438983,11.4964523,6,,903d185fccf839df
1495090735000,48.1439002,11.4964305,6,,903d185fccf839df
1495090736000,48.1439046,11.496394,6,,903d185fccf839df
1495090737000,48.143911,11.4963643,4,,903d185fccf839df
1495090738000,48.1439152,11.4963428,4,,903d185fccf839df
1495090739000,48.14392,11.496318,4,,903d185fccf839df
1495090740000,48.1439246,11.4962962,4,,903d185fccf839df
1495090741000,48.1439291,11.4962745,4,,903d185fccf839df
1495090742000,48.1439337,11.4962541,4,,903d185fccf839df
1495090743000,48.1439378,11.4962316,4,,903d185fccf839df
1495090744000,48.1439409,11.4962155,4,,903d185fccf839df
1495090745000,48.1439441,11.496198,4,,903d185fccf839df
1495090746000,48.1439463,11.4961815,4,,903d185fccf839df
1495090747000,48.1439478,11.4961628,4,,903d185fccf839df
1495090748000,48.1439498,11.4961419,4,,903d185fccf839df
1495090749000,48.1439523,11.4961184,4,,903d185fccf839df
1495090750000,48.1439536,11.4960926,4,,903d185fccf839df
1495090751000,48.1439555,11.4960702,4,,903d185fccf839df
1495090752000,48.1439573,11.496056,4,,903d185fccf839df
1495090753000,48.1439593,11.4960364,4,,903d185fccf839df
1495090754000,48.1439624,11.4960155,4,,903d185fccf839df
1495090755000,48.1439634,11.4960001,4,,903d185fccf839df
1495090756000,48.1439659,11.4959825,4,,903d185fccf839df
1495090757000,48.1439695,11.4959626,4,,903d185fccf839df
1495090758000,48.1439708,11.495946,4,,903d185fccf839df
1495090759000,48.1439716,11.4959237,4,,903d185fccf839df
1495090760000,48.1439737,11.4959028,4,,903d185fccf839df
1495090761000,48.1439743,11.495879,4,,903d185fccf839df
1495090762000,48.1439756,11.4958575,4,,903d185fccf839df
1495090763000,48.1439779,11.4958363,4,,903d185fccf839df
1495090764000,48.1439799,11.4958122,4,,903d185fccf839df
1495090765000,48.1439807,11.4957879,4,,903d185fccf839df
1495090766000,48.1439806,11.4957648,4,,903d185fccf839df
1495090767000,48.1439825,11.4957449,4,,903d185fccf839df
1495090768000,48.143984,11.4957245,4,,903d185fccf839df
1495090769000,48.1439887,11.4957005,4,,903d185fccf839df
1495090770000,48.1439898,11.4956744,6,,903d185fccf839df
1495090771000,48.1439898,11.4956544,6,,903d185fccf839df
1495090772000,48.1439904,11.495637,6,,903d185fccf839df
1495090773000,48.143991,11.4956186,6,,903d185fccf839df
1495090774000,48.1439928,11.4956022,6,,903d185fccf839df
1495090775000,48.143991,11.4955764,8,,903d185fccf839df
1495090776000,48.1439901,11.4955504,6,,903d185fccf839df
1495090777000,48.1439895,11.4955249,6,,903d185fccf839df
1495090778000,48.1439875,11.495502,6,,903d185fccf839df
1495090779000,48.1439868,11.4954821,6,,903d185fccf839df
1495090780000,48.1439829,11.4954566,6,,903d185fccf839df
1495090781000,48.1439821,11.4954264,6,,903d185fccf839df
1495090782000,48.1439847,11.4954106,6,,903d185fccf839df
1495090783000,48.1439926,11.4953892,6,,903d185fccf839df
1495090784000,48.144001,11.4953648,6,,903d185fccf839df
1495090785000,48.1440019,11.4953447,6,,903d185fccf839df
1495090786000,48.1440014,11.4953304,6,,903d185fccf839df
1495090787000,48.1440017,11.495315,6,,903d185fccf839df
1495090788000,48.1440038,11.4952962,6,,903d185fccf839df
1495090789000,48.1440053,11.4952825,6,,903d185fccf839df
