timestamp, latitude, longitude, accuracy, UUID 
1495279607495,48.1436297,11.4974246,21.757999420166016,,903d185fccf839df
1495279608780,48.1436297,11.4974246,25.474000930786133,,903d185fccf839df
1495279614606,48.1434428,11.4974031,32,,903d185fccf839df
1495279613887,48.1434428,11.4974031,39.71699905395508,,903d185fccf839df
1495279615627,48.1434758,11.4973865,32,,903d185fccf839df
1495279616627,48.1434783,11.4973772,32,,903d185fccf839df
1495279617627,48.1434996,11.4973611,32,,903d185fccf839df
1495279618627,48.1435042,11.4973254,32,,903d185fccf839df
1495279619627,48.143509,11.4972925,32,,903d185fccf839df
1495279620627,48.1435146,11.4972574,32,,903d185fccf839df
1495279621627,48.1435186,11.497229,32,,903d185fccf839df
1495279622627,48.1435242,11.4972094,32,,903d185fccf839df
1495279623627,48.143523,11.4971959,32,,903d185fccf839df
1495279624627,48.1435218,11.4971736,32,,903d185fccf839df
1495279625627,48.1435189,11.4971488,24,,903d185fccf839df
1495279626627,48.1435177,11.4971256,24,,903d185fccf839df
1495279627610,48.1435278,11.4971011,16,,903d185fccf839df
1495279628610,48.1435414,11.497077,12,,903d185fccf839df
1495279629999,48.1435642,11.49705,16,,903d185fccf839df
1495279630999,48.1435675,11.49704,32,,903d185fccf839df
1495279631999,48.143569,11.4970214,24,,903d185fccf839df
1495279632999,48.1435599,11.4969993,12,,903d185fccf839df
1495279633999,48.1435507,11.4969737,32,,903d185fccf839df
1495279634999,48.1435401,11.4969459,16,,903d185fccf839df
1495279635999,48.1435309,11.4969152,12,,903d185fccf839df
1495279636999,48.1435334,11.4968959,12,,903d185fccf839df
1495279637999,48.1435297,11.4968681,12,,903d185fccf839df
1495279636804,48.1435297,11.4968681,13.770000457763672,,903d185fccf839df
1495279638999,48.1435331,11.4968347,12,,903d185fccf839df
1495279639999,48.1435331,11.4968347,12,,903d185fccf839df
1495279640999,48.1435133,11.496787,12,,903d185fccf839df
1495279641999,48.143513,11.4967587,32,,903d185fccf839df
1495279642999,48.143513,11.4967587,12,,903d185fccf839df
1495279643999,48.1435338,11.4967181,12,,903d185fccf839df
1495279644999,48.1435338,11.4967181,16,,903d185fccf839df
1495279645999,48.1435338,11.4967181,16,,903d185fccf839df
1495279646999,48.1435511,11.4966611,8,,903d185fccf839df
1495279647999,48.1435553,11.4966362,12,,903d185fccf839df
1495279648999,48.1435608,11.4966163,12,,903d185fccf839df
1495279649999,48.143566,11.4965982,12,,903d185fccf839df
1495279650999,48.1435699,11.4965803,12,,903d185fccf839df
1495279651999,48.1435742,11.4965634,8,,903d185fccf839df
1495279652999,48.1435807,11.4965431,8,,903d185fccf839df
1495279653999,48.1435864,11.496525,8,,903d185fccf839df
1495279654999,48.1435929,11.4965055,8,,903d185fccf839df
1495279655999,48.1435929,11.4965055,8,,903d185fccf839df
1495279656999,48.1436229,11.4964941,8,,903d185fccf839df
1495279657999,48.1436334,11.4964817,8,,903d185fccf839df
1495279658999,48.1436472,11.4964664,8,,903d185fccf839df
1495279659999,48.1436626,11.4964483,8,,903d185fccf839df
1495279660999,48.1436827,11.4964296,8,,903d185fccf839df
1495279661999,48.1437045,11.4964149,6,,903d185fccf839df
1495279662999,48.1437238,11.4964001,6,,903d185fccf839df
1495279663999,48.1437434,11.4963864,8,,903d185fccf839df
1495279664999,48.1437631,11.4963738,4,,903d185fccf839df
1495279665999,48.1437818,11.4963585,6,,903d185fccf839df
1495279666999,48.1437993,11.4963443,6,,903d185fccf839df
1495279667999,48.1438127,11.4963278,12,,903d185fccf839df
1495279668999,48.1438235,11.4963091,12,,903d185fccf839df
1495279669999,48.1438319,11.4962913,12,,903d185fccf839df
1495279670999,48.1438383,11.4962735,8,,903d185fccf839df
1495279671999,48.1438424,11.4962535,8,,903d185fccf839df
1495279672999,48.143847,11.4962351,8,,903d185fccf839df
1495279673999,48.1438514,11.4962225,6,,903d185fccf839df
1495279674999,48.1438522,11.496215,16,,903d185fccf839df
1495279675999,48.1438525,11.4962071,12,,903d185fccf839df
1495279676999,48.1438563,11.4961996,8,,903d185fccf839df
1495279677999,48.1438603,11.4961891,8,,903d185fccf839df
1495279678999,48.1438635,11.4961754,12,,903d185fccf839df
1495279679999,48.1438645,11.4961572,8,,903d185fccf839df
1495279680999,48.1438664,11.4961365,8,,903d185fccf839df
1495279681999,48.1438694,11.496116,8,,903d185fccf839df
1495279682999,48.143875,11.4960972,8,,903d185fccf839df
1495279683999,48.1438819,11.4960776,12,,903d185fccf839df
1495279684999,48.1438933,11.4960542,6,,903d185fccf839df
1495279685999,48.1439014,11.4960432,6,,903d185fccf839df
1495279686999,48.1439071,11.496028,4,,903d185fccf839df
1495279687999,48.1439152,11.4960103,4,,903d185fccf839df
1495279688999,48.1439226,11.4959914,6,,903d185fccf839df
1495279689999,48.1439288,11.4959763,4,,903d185fccf839df
1495279690999,48.143935,11.4959573,8,,903d185fccf839df
1495279691999,48.1439412,11.4959345,4,,903d185fccf839df
1495279692999,48.1439484,11.4959128,4,,903d185fccf839df
1495279693999,48.1439541,11.4958924,4,,903d185fccf839df
1495279694999,48.1439594,11.4958679,8,,903d185fccf839df
1495279695999,48.143963,11.4958533,6,,903d185fccf839df
