timestamp, latitude, longitude, accuracy, UUID 
1508336927684,48.1483775,11.5683668,20.177000045776367,,b152918cb29dbf4
1508336931165,48.1483745,11.5684538,32,,b152918cb29dbf4
1508336932188,48.1483154,11.5686237,12,,b152918cb29dbf4
1508336933188,48.1482851,11.5686421,16,,b152918cb29dbf4
1508336934166,48.1481872,11.5686532,8,,b152918cb29dbf4
1508336935166,48.1482123,11.5686636,16,,b152918cb29dbf4
1508336936168,48.1482061,11.5686665,48,,b152918cb29dbf4
1508336937168,48.1481364,11.5687977,12,,b152918cb29dbf4
1508336938168,48.1481368,11.5687636,12,,b152918cb29dbf4
1508336939000,48.1481486,11.5687214,12,,b152918cb29dbf4
1508336940000,48.1481687,11.568701,12,,b152918cb29dbf4
1508336941000,48.148163,11.5687121,8,,b152918cb29dbf4
1508336942000,48.1481548,11.568707,8,,b152918cb29dbf4
1508336943000,48.1481484,11.5686924,8,,b152918cb29dbf4
1508336944000,48.1481372,11.5686701,8,,b152918cb29dbf4
1508336945000,48.1481243,11.568644,6,,b152918cb29dbf4
1508336946000,48.1481104,11.5686194,6,,b152918cb29dbf4
1508336947000,48.1480961,11.5686053,6,,b152918cb29dbf4
1508336948000,48.1480855,11.56859,6,,b152918cb29dbf4
1508336949000,48.1480799,11.5685737,4,,b152918cb29dbf4
1508336950000,48.1480779,11.568558,4,,b152918cb29dbf4
1508336951000,48.1480738,11.5685384,4,,b152918cb29dbf4
1508336952000,48.1480728,11.5685174,4,,b152918cb29dbf4
1508336953000,48.1480718,11.5685036,6,,b152918cb29dbf4
1508336954000,48.1480666,11.5684961,6,,b152918cb29dbf4
1508336955000,48.1480591,11.5684829,6,,b152918cb29dbf4
1508336956000,48.1480382,11.568464,6,,b152918cb29dbf4
1508336957000,48.148025,11.568451,6,,b152918cb29dbf4
1508336958000,48.1480153,11.5684423,6,,b152918cb29dbf4
1508336959000,48.1480043,11.5684312,6,,b152918cb29dbf4
1508336960000,48.1479919,11.5684193,6,,b152918cb29dbf4
1508336961000,48.1479921,11.5684105,8,,b152918cb29dbf4
1508336962000,48.1479853,11.5683974,8,,b152918cb29dbf4
1508336963000,48.1479776,11.5683832,6,,b152918cb29dbf4
1508336964000,48.1479696,11.5683715,6,,b152918cb29dbf4
1508336965000,48.1479609,11.5683619,6,,b152918cb29dbf4
1508336966000,48.1479521,11.5683469,6,,b152918cb29dbf4
1508336967000,48.1479459,11.5683299,6,,b152918cb29dbf4
1508336968000,48.1479388,11.568323,4,,b152918cb29dbf4
1508336969000,48.1479308,11.5683151,4,,b152918cb29dbf4
1508336970000,48.1479221,11.5683084,4,,b152918cb29dbf4
1508336971000,48.1479108,11.5683048,4,,b152918cb29dbf4
1508336972000,48.1478984,11.5682984,4,,b152918cb29dbf4
1508336973000,48.1478856,11.5682901,4,,b152918cb29dbf4
1508336974000,48.1478766,11.5682793,4,,b152918cb29dbf4
1508336975000,48.1478671,11.5682758,4,,b152918cb29dbf4
1508336976000,48.1478602,11.5682719,4,,b152918cb29dbf4
1508336977000,48.14785,11.5682663,4,,b152918cb29dbf4
1508336978000,48.1478392,11.5682633,4,,b152918cb29dbf4
