timestamp, latitude, longitude, accuracy, UUID 
1494403514055,48.1568572,11.567443,19.60300064086914,,903d185fccf839df
1494403523780,48.1568572,11.567443,19.57200050354004,,903d185fccf839df
1494403526437,48.1568072,11.5673528,8,,903d185fccf839df
1494403527432,48.1568018,11.5673468,16,,903d185fccf839df
1494403528432,48.1568077,11.5673517,24,,903d185fccf839df
1494403529432,48.1568107,11.5673604,24,,903d185fccf839df
1494403530432,48.1568194,11.5673379,24,,903d185fccf839df
1494403531436,48.1568277,11.5673295,6,,903d185fccf839df
1494403532436,48.1568278,11.5673294,6,,903d185fccf839df
1494403534000,48.1568481,11.5673078,6,,903d185fccf839df
1494403535000,48.1568547,11.5673002,6,,903d185fccf839df
1494403536000,48.1568654,11.5672961,6,,903d185fccf839df
1494403537000,48.1568813,11.5672954,6,,903d185fccf839df
1494403538000,48.1568936,11.5672891,6,,903d185fccf839df
1494403539000,48.1569015,11.5672861,6,,903d185fccf839df
1494403540000,48.1569029,11.5672819,6,,903d185fccf839df
1494403541000,48.1569114,11.5672859,6,,903d185fccf839df
1494403542000,48.1569247,11.5673056,6,,903d185fccf839df
1494403543000,48.1569347,11.5673242,6,,903d185fccf839df
1494403544000,48.1569405,11.5673456,6,,903d185fccf839df
1494403545000,48.1569455,11.5673654,6,,903d185fccf839df
1494403546000,48.1569504,11.5673854,6,,903d185fccf839df
1494403547000,48.1569565,11.5674068,8,,903d185fccf839df
1494403548000,48.1569672,11.5674293,8,,903d185fccf839df
1494403549000,48.1570037,11.5674896,6,,903d185fccf839df
1494403550000,48.1570224,11.5675102,6,,903d185fccf839df
1494403551000,48.1570335,11.5675139,6,,903d185fccf839df
1494403552000,48.1570409,11.5675258,6,,903d185fccf839df
1494403553000,48.1570691,11.5675398,8,,903d185fccf839df
1494403554000,48.1571018,11.5675525,8,,903d185fccf839df
1494403555000,48.1571018,11.5675525,8,,903d185fccf839df
1494403556000,48.1571018,11.5675525,8,,903d185fccf839df
1494403557000,48.1571502,11.5675923,6,,903d185fccf839df
1494403558000,48.1571645,11.567603,6,,903d185fccf839df
1494403559000,48.1571719,11.5676054,6,,903d185fccf839df
