timestamp, latitude, longitude, accuracy, UUID 
1498057231550,48.1574649,11.5666889,19.44300079345703,,903d185fccf839df
1498057235540,48.1574093,11.5670461,6,,903d185fccf839df
1498057236549,48.157406,11.5670487,32,,903d185fccf839df
1498057237560,48.1574013,11.5670497,32,,903d185fccf839df
1498057238560,48.1573953,11.5670447,32,,903d185fccf839df
1498057239560,48.1573953,11.5670447,32,,903d185fccf839df
1498057240560,48.1573948,11.5670319,24,,903d185fccf839df
1498057241560,48.1573948,11.5670318,24,,903d185fccf839df
1498057242560,48.1573948,11.5670318,24,,903d185fccf839df
1498057243564,48.1573948,11.5670318,12,,903d185fccf839df
1498057244564,48.1573948,11.5670318,12,,903d185fccf839df
1498057246000,48.1573948,11.5670318,12,,903d185fccf839df
1498057247000,48.1573948,11.5670318,12,,903d185fccf839df
1498057248000,48.1573948,11.5670318,12,,903d185fccf839df
1498057249000,48.1573948,11.5670318,12,,903d185fccf839df
1498057250000,48.1573948,11.5670318,12,,903d185fccf839df
1498057251000,48.1573948,11.5670318,12,,903d185fccf839df
1498057252000,48.1573948,11.5670318,12,,903d185fccf839df
1498057253000,48.1575,11.5667925,12,,903d185fccf839df
1498057254000,48.1575211,11.5667606,12,,903d185fccf839df
1498057255000,48.1575398,11.5667408,8,,903d185fccf839df
1498057256000,48.15754,11.5667407,8,,903d185fccf839df
1498057257000,48.15754,11.5667407,12,,903d185fccf839df
1498057258000,48.15754,11.5667407,8,,903d185fccf839df
1498057259000,48.15754,11.5667407,8,,903d185fccf839df
1498057260000,48.15754,11.5667407,8,,903d185fccf839df
1498057261000,48.15754,11.5667407,8,,903d185fccf839df
1498057262000,48.15754,11.5667407,6,,903d185fccf839df
1498057261058,48.15754,11.5667407,9.187999725341797,,903d185fccf839df
1498057263000,48.1576338,11.566692,6,,903d185fccf839df
1498057264000,48.1576338,11.566692,6,,903d185fccf839df
1498057265000,48.1576338,11.566692,6,,903d185fccf839df
1498057266000,48.1576627,11.5667055,8,,903d185fccf839df
