timestamp, latitude, longitude, accuracy, UUID 
1498458288592,48.1575083,11.5667454,20,,903d185fccf839df
1498458291338,48.1574899,11.567028,4,,903d185fccf839df
1498458292344,48.1575033,11.5670379,24,,903d185fccf839df
1498458293344,48.1575075,11.5670223,24,,903d185fccf839df
1498458294344,48.1574315,11.567032,24,,903d185fccf839df
1498458295337,48.1574008,11.5670413,8,,903d185fccf839df
1498458296337,48.157401,11.5670338,8,,903d185fccf839df
1498458297000,48.1574123,11.5670399,8,,903d185fccf839df
1498458298000,48.1574189,11.5670362,12,,903d185fccf839df
1498458299000,48.1574293,11.5670404,6,,903d185fccf839df
1498458300000,48.1574422,11.5670402,6,,903d185fccf839df
1498458301000,48.1574449,11.5670426,6,,903d185fccf839df
1498458302000,48.1574477,11.5670522,6,,903d185fccf839df
1498458303000,48.1574478,11.5670659,6,,903d185fccf839df
1498458304000,48.1574168,11.5670439,8,,903d185fccf839df
1498458305000,48.1573941,11.5670364,8,,903d185fccf839df
1498458306000,48.157394,11.5670366,8,,903d185fccf839df
1498458307000,48.1573826,11.5670684,8,,903d185fccf839df
1498458308000,48.1573811,11.5670978,8,,903d185fccf839df
1498458309000,48.157387,11.5671096,8,,903d185fccf839df
1498458310000,48.1573924,11.5671251,8,,903d185fccf839df
1498458311000,48.1573984,11.5671382,8,,903d185fccf839df
1498458312000,48.1573965,11.5671488,6,,903d185fccf839df
1498458313000,48.1573952,11.567172,6,,903d185fccf839df
1498458314000,48.1573967,11.5672014,6,,903d185fccf839df
1498458315000,48.1573925,11.567228,6,,903d185fccf839df
1498458316000,48.1573893,11.5672546,8,,903d185fccf839df
1498458317000,48.1573918,11.567277,8,,903d185fccf839df
1498458318000,48.1573927,11.5672953,8,,903d185fccf839df
1498458319000,48.1573903,11.5673102,8,,903d185fccf839df
1498458320000,48.1573899,11.5673283,6,,903d185fccf839df
1498458321000,48.1573899,11.5673283,8,,903d185fccf839df
1498458322000,48.1573837,11.5673857,6,,903d185fccf839df
1498458323000,48.1573829,11.5674055,16,,903d185fccf839df
1498458324000,48.1573821,11.5674226,16,,903d185fccf839df
1498458325000,48.1573814,11.5674362,16,,903d185fccf839df
1498458326000,48.157381,11.5674456,16,,903d185fccf839df
1498458327000,48.1573817,11.5674542,12,,903d185fccf839df
1498458328000,48.1573949,11.5674588,12,,903d185fccf839df
1498458329000,48.1574097,11.5674643,12,,903d185fccf839df
1498458330000,48.1574268,11.5674705,16,,903d185fccf839df
1498458331000,48.1574646,11.5674858,16,,903d185fccf839df
1498458332000,48.1574789,11.5674878,16,,903d185fccf839df
1498458333000,48.1574929,11.567489,16,,903d185fccf839df
1498458334000,48.157508,11.5674885,16,,903d185fccf839df
1498458335000,48.1575254,11.5674892,12,,903d185fccf839df
1498458336000,48.1575623,11.5674959,12,,903d185fccf839df
1498458337000,48.1575775,11.5674958,12,,903d185fccf839df
1498458338000,48.1575942,11.5674988,16,,903d185fccf839df
1498458339000,48.1576098,11.5675037,16,,903d185fccf839df
1498458340000,48.1576265,11.5675092,16,,903d185fccf839df
1498458341000,48.1576413,11.567516,16,,903d185fccf839df
1498458339779,48.1576413,11.567516,16,,903d185fccf839df
1498458342000,48.1576545,11.56752,8,,903d185fccf839df
1498458343000,48.15767,11.5675178,12,,903d185fccf839df
1498458344000,48.1577039,11.5674921,12,,903d185fccf839df
1498458345000,48.1577121,11.567486,8,,903d185fccf839df
1498458346000,48.1577202,11.5674741,16,,903d185fccf839df
1498458347000,48.1577292,11.5674613,16,,903d185fccf839df
1498458348000,48.15774,11.5674457,12,,903d185fccf839df
1498458349000,48.1577492,11.5674306,16,,903d185fccf839df
1498458350000,48.157758,11.5674151,16,,903d185fccf839df
1498458351000,48.1577697,11.5673981,8,,903d185fccf839df
1498458352000,48.1577834,11.5673441,8,,903d185fccf839df
1498458353000,48.1578048,11.5672937,16,,903d185fccf839df
1498458354000,48.1578168,11.5672766,8,,903d185fccf839df
1498458355000,48.1578278,11.5672568,12,,903d185fccf839df
1498458356000,48.1578429,11.5672015,12,,903d185fccf839df
1498458357000,48.1578543,11.5671817,16,,903d185fccf839df
1498458358000,48.1578708,11.5671292,16,,903d185fccf839df
1498458359000,48.1578845,11.5671128,16,,903d185fccf839df
1498458360000,48.1578943,11.5670958,12,,903d185fccf839df
1498458362000,48.1579058,11.5670577,12,,903d185fccf839df
1498458363000,48.1579122,11.5670436,12,,903d185fccf839df
1498458364000,48.1579198,11.5670309,6,,903d185fccf839df
1498458365000,48.1579263,11.5670215,8,,903d185fccf839df
1498458366000,48.1579332,11.5670094,12,,903d185fccf839df
1498458367000,48.1579332,11.5670094,16,,903d185fccf839df
1498458368000,48.1579332,11.5670094,16,,903d185fccf839df
1498458369000,48.1579332,11.5670094,16,,903d185fccf839df
1498458384454,48.1574827,11.5667532,122.4000015258789,,903d185fccf839df
1498458389575,48.1574827,11.5667532,122.4000015258789,,903d185fccf839df
1498458399628,48.1575777,11.5671939,104.0999984741211,,903d185fccf839df
1498458404648,48.157697,11.5672094,26.270000457763672,,903d185fccf839df
1498458409634,48.1577209,11.5671678,25.22800064086914,,903d185fccf839df
1498458414678,48.1578342,11.5672144,21.277999877929688,,903d185fccf839df
1498458419711,48.1578228,11.5671325,21.440000534057617,,903d185fccf839df
1498458424699,48.1576429,11.5671614,21.775999069213867,,903d185fccf839df
1498458429715,48.1576492,11.5669065,20.665000915527344,,903d185fccf839df
1498458434756,48.1578002,11.5669686,19.80500030517578,,903d185fccf839df
1498458439726,48.1578272,11.5669927,19.708999633789062,,903d185fccf839df
1498458444781,48.1578002,11.5669686,20.68899917602539,,903d185fccf839df
1498458449902,48.1577675,11.5669037,19.714000701904297,,903d185fccf839df
1498458455018,48.1577813,11.5669609,19.804000854492188,,903d185fccf839df
1498458459976,48.1576316,11.5670795,21.658000946044922,,903d185fccf839df
1498458464979,48.1576241,11.5671536,19.625999450683594,,903d185fccf839df
