timestamp, latitude, longitude, accuracy, UUID 
1508506876095,48.1508927,11.5678816,44.606998443603516,,b152918cb29dbf4
1508506892237,48.1508028,11.5681041,22.415000915527344,,b152918cb29dbf4
1508506895040,48.1510112,11.5677682,16,,b152918cb29dbf4
1508506900085,48.1509698,11.5679535,48,,b152918cb29dbf4
1508506901085,48.1509729,11.567974,48,,b152918cb29dbf4
1508506902085,48.1509601,11.5679944,48,,b152918cb29dbf4
1508506909087,48.150945,11.56815,32,,b152918cb29dbf4
1508506910087,48.151038,11.5684665,8,,b152918cb29dbf4
1508506911087,48.1510232,11.5684722,8,,b152918cb29dbf4
1508506912000,48.1510076,11.5684775,8,,b152918cb29dbf4
1508506913000,48.150993,11.5684883,8,,b152918cb29dbf4
1508506914000,48.1509775,11.5684971,8,,b152918cb29dbf4
1508506915000,48.1509643,11.5685081,8,,b152918cb29dbf4
1508506916000,48.1509572,11.56852,8,,b152918cb29dbf4
1508506917000,48.1509485,11.568527,8,,b152918cb29dbf4
1508506918000,48.1509373,11.5685328,6,,b152918cb29dbf4
1508506919000,48.1509273,11.5685389,6,,b152918cb29dbf4
1508506920000,48.15092,11.5685454,6,,b152918cb29dbf4
1508506921000,48.1509141,11.5685509,6,,b152918cb29dbf4
1508506922000,48.1509076,11.5685607,6,,b152918cb29dbf4
1508506923000,48.1509076,11.5685607,6,,b152918cb29dbf4
1508506924000,48.1509076,11.5685607,6,,b152918cb29dbf4
1508506925000,48.1509076,11.5685607,6,,b152918cb29dbf4
1508506926000,48.150881,11.5685938,6,,b152918cb29dbf4
1508506927000,48.150872,11.5686058,6,,b152918cb29dbf4
1508506928000,48.150872,11.5686058,6,,b152918cb29dbf4
1508506929000,48.150872,11.5686058,6,,b152918cb29dbf4
1508506930000,48.150872,11.5686058,6,,b152918cb29dbf4
1508506931000,48.1508564,11.5686514,6,,b152918cb29dbf4
1508506932000,48.1508564,11.5686514,6,,b152918cb29dbf4
1508506933000,48.1508564,11.5686514,6,,b152918cb29dbf4
1508506934000,48.1508564,11.5686514,6,,b152918cb29dbf4
1508506935000,48.1508564,11.5686514,6,,b152918cb29dbf4
1508506936000,48.1508399,11.5686905,6,,b152918cb29dbf4
1508506937000,48.1508334,11.5687034,6,,b152918cb29dbf4
1508506938000,48.1508221,11.5687204,6,,b152918cb29dbf4
1508506939000,48.1508221,11.5687204,6,,b152918cb29dbf4
1508506940000,48.1508221,11.5687204,6,,b152918cb29dbf4
1508506941000,48.1508022,11.5687553,4,,b152918cb29dbf4
1508506942000,48.1507902,11.5687809,4,,b152918cb29dbf4
1508506943000,48.1507771,11.5687974,4,,b152918cb29dbf4
1508506944000,48.1507659,11.5688133,4,,b152918cb29dbf4
1508506945000,48.1507593,11.568829,6,,b152918cb29dbf4
1508506946000,48.1507545,11.5688292,6,,b152918cb29dbf4
1508506947000,48.150743,11.5688432,6,,b152918cb29dbf4
1508506948000,48.1507321,11.568865,6,,b152918cb29dbf4
1508506949000,48.1507211,11.5688872,6,,b152918cb29dbf4
1508506950000,48.1507115,11.5689186,6,,b152918cb29dbf4
1508506951000,48.150711,11.5689267,6,,b152918cb29dbf4
1508506952000,48.1507103,11.5689319,6,,b152918cb29dbf4
1508506953000,48.1507086,11.5689489,6,,b152918cb29dbf4
1508506954000,48.1507029,11.5689757,6,,b152918cb29dbf4
1508506955000,48.1506972,11.5689894,6,,b152918cb29dbf4
1508506956000,48.1506889,11.5690028,6,,b152918cb29dbf4
1508506957000,48.1506816,11.5690154,4,,b152918cb29dbf4
1508506957440,48.1506816,11.5690154,13.993000030517578,,b152918cb29dbf4
1508506958000,48.1506691,11.5690261,4,,b152918cb29dbf4
1508506959000,48.1506651,11.569031,4,,b152918cb29dbf4
1508506960000,48.1506533,11.5690384,4,,b152918cb29dbf4
1508506961000,48.1506409,11.5690438,4,,b152918cb29dbf4
1508506962000,48.1506288,11.5690417,4,,b152918cb29dbf4
1508506963000,48.1506221,11.5690387,4,,b152918cb29dbf4
1508506964000,48.1506176,11.5690345,4,,b152918cb29dbf4
1508506965000,48.1506148,11.5690304,4,,b152918cb29dbf4
1508506966000,48.1506068,11.5690291,4,,b152918cb29dbf4
1508506967000,48.150602,11.5690283,4,,b152918cb29dbf4
1508506968000,48.1505925,11.5690295,4,,b152918cb29dbf4
1508506969000,48.1505878,11.5690305,4,,b152918cb29dbf4
1508506970000,48.1505852,11.5690305,4,,b152918cb29dbf4
1508506971000,48.1505836,11.5690305,4,,b152918cb29dbf4
1508506972000,48.1505815,11.5690294,4,,b152918cb29dbf4
1508506973000,48.1505819,11.5690304,6,,b152918cb29dbf4
1508506974000,48.1505815,11.5690324,6,,b152918cb29dbf4
1508506975000,48.1505849,11.569031,6,,b152918cb29dbf4
1508506976000,48.1505893,11.5690277,6,,b152918cb29dbf4
1508506977000,48.1505886,11.5690308,6,,b152918cb29dbf4
1508506978000,48.150588,11.5690337,6,,b152918cb29dbf4
1508506979000,48.1505851,11.5690391,8,,b152918cb29dbf4
1508506978917,48.1505851,11.5690391,11.196000099182129,,b152918cb29dbf4
1508506993709,48.1506767,11.5689829,77.5999984741211,,b152918cb29dbf4
1509845221962,48.150223,11.5689724,23.81599998474121,,b152918cb29dbf4
1508507003880,48.1507098,11.5690185,19.78499984741211,,b152918cb29dbf4
1508507008872,48.1507073,11.5690432,19.993999481201172,,b152918cb29dbf4
1508507013911,48.1507312,11.5690015,19.999000549316406,,b152918cb29dbf4
1508507018943,48.1506767,11.5689829,34.400001525878906,,b152918cb29dbf4
1508507023958,48.150696,11.5689613,19.757999420166016,,b152918cb29dbf4
1508507028977,48.1506767,11.5689829,20.899999618530273,,b152918cb29dbf4
1508507033986,48.1506767,11.5689829,20,,b152918cb29dbf4
1508507038988,48.1506767,11.5689829,36.900001525878906,,b152918cb29dbf4
1508507044003,48.1506767,11.5689829,42.5,,b152918cb29dbf4
1508507049053,48.1506767,11.5689829,64.0999984741211,,b152918cb29dbf4
1508507054066,48.1506767,11.5689829,56.099998474121094,,b152918cb29dbf4
1508507059083,48.1506767,11.5689829,26.399999618530273,,b152918cb29dbf4
1508507064092,48.1506767,11.5689829,20.100000381469727,,b152918cb29dbf4
1508507069110,48.1506767,11.5689829,30,,b152918cb29dbf4
1508507074125,48.1507098,11.5690185,19.783000946044922,,b152918cb29dbf4
1508507079125,48.1506821,11.5689041,20.000999450683594,,b152918cb29dbf4
1508507082000,48.1506484,11.5689832,24,,b152918cb29dbf4
1508507083000,48.1506208,11.5690647,12,,b152918cb29dbf4
1508507084000,48.1505757,11.5690413,12,,b152918cb29dbf4
1508507085000,48.1505318,11.5690204,8,,b152918cb29dbf4
1508507086000,48.150516,11.5690111,8,,b152918cb29dbf4
1508507087000,48.1505175,11.5690152,6,,b152918cb29dbf4
1508507088000,48.1505411,11.5690201,6,,b152918cb29dbf4
1508507089000,48.1505402,11.5690164,6,,b152918cb29dbf4
1508507090000,48.1505418,11.5690158,6,,b152918cb29dbf4
1508507091000,48.150535,11.5690036,6,,b152918cb29dbf4
1508507092000,48.1505666,11.5690268,6,,b152918cb29dbf4
1508507093000,48.1505517,11.568993,6,,b152918cb29dbf4
1508507094000,48.1505384,11.5689429,6,,b152918cb29dbf4
1508507095000,48.1505507,11.5689326,6,,b152918cb29dbf4
1508507096000,48.1505756,11.5689113,6,,b152918cb29dbf4
1508507097000,48.1505878,11.5688893,6,,b152918cb29dbf4
1508507098000,48.150591,11.5688651,6,,b152918cb29dbf4
1508507099000,48.1506015,11.5688497,6,,b152918cb29dbf4
1508507100000,48.1506113,11.5688295,6,,b152918cb29dbf4
1508507101000,48.1506236,11.5688164,6,,b152918cb29dbf4
1508507102000,48.1506373,11.5687988,6,,b152918cb29dbf4
1508507103000,48.1506426,11.5687833,4,,b152918cb29dbf4
1508507104000,48.1506507,11.5687698,4,,b152918cb29dbf4
1508507105000,48.1506583,11.5687575,4,,b152918cb29dbf4
1508507106000,48.1506647,11.5687419,4,,b152918cb29dbf4
1508507107000,48.1506732,11.5687275,4,,b152918cb29dbf4
1508507108000,48.1506818,11.5687105,4,,b152918cb29dbf4
1508507109000,48.1506817,11.5686965,4,,b152918cb29dbf4
1508507110000,48.1506825,11.5686863,4,,b152918cb29dbf4
1508507111000,48.1506931,11.5686763,4,,b152918cb29dbf4
1508507112000,48.1506957,11.5686635,4,,b152918cb29dbf4
1508507113000,48.1507037,11.5686523,4,,b152918cb29dbf4
1508507114000,48.1507108,11.5686453,4,,b152918cb29dbf4
1508507115000,48.1507222,11.5686351,4,,b152918cb29dbf4
1508507116000,48.150732,11.5686231,4,,b152918cb29dbf4
1508507117000,48.1507373,11.5686175,4,,b152918cb29dbf4
1508507118000,48.1507464,11.5686068,4,,b152918cb29dbf4
1508507119000,48.1507486,11.5685824,4,,b152918cb29dbf4
1508507120000,48.150757,11.568563,4,,b152918cb29dbf4
1508507121000,48.1507595,11.568546,4,,b152918cb29dbf4
1508507122000,48.1507686,11.5685329,4,,b152918cb29dbf4
1508507123000,48.150778,11.5685155,4,,b152918cb29dbf4
1508507124000,48.1507815,11.568503,4,,b152918cb29dbf4
1508507125000,48.1507842,11.5684847,4,,b152918cb29dbf4
1508507126000,48.150793,11.5684707,4,,b152918cb29dbf4
1508507127000,48.1508025,11.5684561,4,,b152918cb29dbf4
1508507128000,48.150811,11.568443,4,,b152918cb29dbf4
1508507129000,48.1508142,11.5684373,4,,b152918cb29dbf4
1508507130000,48.1508176,11.5684217,4,,b152918cb29dbf4
1508507131000,48.1508213,11.5684138,4,,b152918cb29dbf4
1508507132000,48.1508244,11.5684046,4,,b152918cb29dbf4
1508507133000,48.1508357,11.5683954,4,,b152918cb29dbf4
1508507134000,48.1508462,11.5683805,4,,b152918cb29dbf4
1508507135000,48.1508575,11.568369,4,,b152918cb29dbf4
1508507136000,48.150869,11.5683617,4,,b152918cb29dbf4
1508507137000,48.1508826,11.5683499,4,,b152918cb29dbf4
1508507138000,48.1508999,11.5683341,4,,b152918cb29dbf4
1508507139000,48.1509108,11.5683185,4,,b152918cb29dbf4
1508507140000,48.1509192,11.5683006,4,,b152918cb29dbf4
1508507141000,48.1509367,11.5682856,4,,b152918cb29dbf4
1508507142000,48.1509471,11.5682723,4,,b152918cb29dbf4
1508507143000,48.1509545,11.5682622,4,,b152918cb29dbf4
1508507144000,48.150963,11.5682549,4,,b152918cb29dbf4
1508507145000,48.1509694,11.5682435,4,,b152918cb29dbf4
1508507146000,48.1509775,11.5682274,4,,b152918cb29dbf4
1508507147000,48.1509813,11.5682137,4,,b152918cb29dbf4
1508507148000,48.1509879,11.5681941,4,,b152918cb29dbf4
1508507149000,48.1509923,11.5681725,4,,b152918cb29dbf4
1508507150000,48.1509974,11.5681454,4,,b152918cb29dbf4
1508507151000,48.1509992,11.5681214,4,,b152918cb29dbf4
1508507152000,48.1509988,11.5680988,4,,b152918cb29dbf4
1508507153000,48.1509988,11.5680759,4,,b152918cb29dbf4
1508507154000,48.1510053,11.5680531,4,,b152918cb29dbf4
1508507155000,48.1510124,11.5680286,4,,b152918cb29dbf4
1508507156000,48.151013,11.5680112,4,,b152918cb29dbf4
1508507157000,48.1510107,11.5679947,4,,b152918cb29dbf4
