timestamp, latitude, longitude, accuracy, UUID 
1497538115646,48.1509724,11.565084,20.81999969482422,,903d185fccf839df
1497538116991,48.1509592,11.5651172,20.51099967956543,,903d185fccf839df
1497538120048,48.1510444,11.5650713,48,,903d185fccf839df
1497538121023,48.1509744,11.5652161,12,,903d185fccf839df
1497538122037,48.1509721,11.5652319,24,,903d185fccf839df
1497538123039,48.1509687,11.5652437,24,,903d185fccf839df
1497538124027,48.1509637,11.5652588,24,,903d185fccf839df
1497538123872,48.1509637,11.5652588,29.857999801635742,,903d185fccf839df
1497538125027,48.1509633,11.5652742,16,,903d185fccf839df
1497538126000,48.1509583,11.5652944,16,,903d185fccf839df
1497538127000,48.1509562,11.5653102,16,,903d185fccf839df
1497538128000,48.1509494,11.5653238,12,,903d185fccf839df
1497538129000,48.1509414,11.5653308,12,,903d185fccf839df
1497538130000,48.1509324,11.5653512,12,,903d185fccf839df
1497538131000,48.1509254,11.5653605,12,,903d185fccf839df
1497538132000,48.1509193,11.5653702,8,,903d185fccf839df
1497538133000,48.1509093,11.5653801,8,,903d185fccf839df
1497538134000,48.150897,11.565398,8,,903d185fccf839df
1497538135000,48.1508882,11.5654245,8,,903d185fccf839df
1497538136000,48.1508769,11.5654369,8,,903d185fccf839df
1497538137000,48.1508769,11.5654371,8,,903d185fccf839df
1497538138000,48.1508607,11.565479,8,,903d185fccf839df
1497538139000,48.1508507,11.5654936,8,,903d185fccf839df
1497538140000,48.1508423,11.5655134,8,,903d185fccf839df
1497538141000,48.1508353,11.5655233,8,,903d185fccf839df
1497538142000,48.1508311,11.5655313,8,,903d185fccf839df
1497538143000,48.1508255,11.565541,8,,903d185fccf839df
1497538144000,48.1508182,11.5655489,8,,903d185fccf839df
1497538145000,48.1508117,11.5655554,8,,903d185fccf839df
1497538146000,48.1508098,11.5655622,8,,903d185fccf839df
1497538147000,48.1508098,11.5655622,8,,903d185fccf839df
1497538148000,48.1508098,11.5655622,8,,903d185fccf839df
1497538149000,48.1508098,11.5655622,8,,903d185fccf839df
1497538150000,48.1508098,11.5655622,12,,903d185fccf839df
1497538151000,48.1508098,11.5655622,6,,903d185fccf839df
1497538152000,48.1508152,11.5656065,6,,903d185fccf839df
1497538153000,48.1508065,11.5656233,8,,903d185fccf839df
1497538154000,48.1508021,11.5656405,8,,903d185fccf839df
1497538155000,48.1508001,11.5656526,16,,903d185fccf839df
1497538156000,48.1507867,11.5656609,8,,903d185fccf839df
1497538157000,48.1507793,11.5656666,12,,903d185fccf839df
1497538158000,48.1507711,11.5656881,12,,903d185fccf839df
1497538159000,48.1507548,11.5657098,12,,903d185fccf839df
1497538160000,48.1507422,11.5657341,12,,903d185fccf839df
1497538161000,48.15073,11.5657489,12,,903d185fccf839df
1497538162000,48.1507205,11.565763,12,,903d185fccf839df
1497538163000,48.1507088,11.5657789,12,,903d185fccf839df
1497538164000,48.1507047,11.5657876,12,,903d185fccf839df
1497538165000,48.1506942,11.5658025,12,,903d185fccf839df
1497538166000,48.1506878,11.5658118,12,,903d185fccf839df
1497538167000,48.150665,11.5658431,12,,903d185fccf839df
1497538168000,48.1506344,11.5658766,12,,903d185fccf839df
1497538169000,48.1506262,11.5658922,16,,903d185fccf839df
1497538170000,48.1506185,11.5659088,12,,903d185fccf839df
1497538171000,48.1506095,11.5659262,12,,903d185fccf839df
1497538172000,48.1506022,11.5659418,12,,903d185fccf839df
1497538173000,48.1505937,11.5659539,12,,903d185fccf839df
1497538174000,48.1505853,11.5659649,12,,903d185fccf839df
1497538175000,48.1505771,11.5659807,12,,903d185fccf839df
1497538176000,48.1505714,11.5659947,12,,903d185fccf839df
1497538177000,48.1505688,11.5660053,12,,903d185fccf839df
1497538178000,48.1505664,11.5660153,12,,903d185fccf839df
1497538179000,48.150565,11.5660262,12,,903d185fccf839df
1497538180000,48.1505645,11.5660388,12,,903d185fccf839df
1497538181000,48.1505577,11.5660509,12,,903d185fccf839df
1497538182000,48.1505496,11.5660627,12,,903d185fccf839df
1497538183000,48.1505404,11.5660754,12,,903d185fccf839df
1497538184000,48.1505319,11.566088,12,,903d185fccf839df
1497538185000,48.1505281,11.5660985,12,,903d185fccf839df
1497538186000,48.1505232,11.5661163,16,,903d185fccf839df
1497538187000,48.1505138,11.5661395,8,,903d185fccf839df
1497538188000,48.1505034,11.5661584,12,,903d185fccf839df
1497538189000,48.1504959,11.5661756,12,,903d185fccf839df
1497538190000,48.150491,11.5661937,12,,903d185fccf839df
1497538191000,48.150487,11.5662138,8,,903d185fccf839df
1497538192000,48.1504859,11.566235,8,,903d185fccf839df
1497538193000,48.150484,11.5662567,12,,903d185fccf839df
1497538194000,48.1504799,11.5662788,8,,903d185fccf839df
1497538195000,48.1504764,11.5662978,16,,903d185fccf839df
1497538196000,48.1504738,11.5663143,8,,903d185fccf839df
1497538197000,48.1504677,11.5663287,16,,903d185fccf839df
1497538198000,48.1504645,11.5663447,16,,903d185fccf839df
1497538199000,48.1504552,11.5663899,12,,903d185fccf839df
1497538200000,48.1504521,11.5664076,8,,903d185fccf839df
1497538201000,48.1504494,11.5664262,16,,903d185fccf839df
1497538202000,48.1504482,11.5664455,16,,903d185fccf839df
1497538203000,48.1504483,11.5664917,16,,903d185fccf839df
1497538204000,48.1504433,11.5665104,12,,903d185fccf839df
1497538205000,48.1504414,11.5665297,12,,903d185fccf839df
1497538206000,48.1504385,11.5665485,12,,903d185fccf839df
1497538207000,48.1504337,11.5665665,12,,903d185fccf839df
1497538208000,48.150426,11.5665811,12,,903d185fccf839df
1497538209000,48.1504216,11.5665936,12,,903d185fccf839df
1497538210000,48.1504196,11.5666069,12,,903d185fccf839df
1497538211000,48.1504188,11.566621,12,,903d185fccf839df
1497538212000,48.1504164,11.5666359,12,,903d185fccf839df
1497538213000,48.15041,11.5666508,16,,903d185fccf839df
1497538214000,48.150408,11.5666642,12,,903d185fccf839df
1497538215000,48.1504041,11.5666845,12,,903d185fccf839df
1497538216000,48.1504005,11.5667054,12,,903d185fccf839df
1497538217000,48.1503979,11.5667243,12,,903d185fccf839df
1497538218000,48.1503849,11.5667808,12,,903d185fccf839df
1497538219000,48.1503825,11.5668056,12,,903d185fccf839df
1497538220000,48.150357,11.566849,8,,903d185fccf839df
1497538221000,48.150352,11.566868,8,,903d185fccf839df
1497538222000,48.150321,11.5668828,12,,903d185fccf839df
1497538223000,48.1502912,11.566892,12,,903d185fccf839df
1497538224000,48.1502911,11.566892,12,,903d185fccf839df
1497538225000,48.1502911,11.566892,12,,903d185fccf839df
1497538226000,48.1502911,11.566892,8,,903d185fccf839df
1497538227000,48.1502911,11.566892,4,,903d185fccf839df
1497538228000,48.1502911,11.566892,8,,903d185fccf839df
1497538229000,48.1502911,11.566892,12,,903d185fccf839df
1497538230000,48.1502911,11.566892,8,,903d185fccf839df
1497538231000,48.1502911,11.566892,12,,903d185fccf839df
1497538232000,48.1502911,11.566892,8,,903d185fccf839df
1497538233000,48.1502911,11.566892,8,,903d185fccf839df
1497538234000,48.1502911,11.566892,12,,903d185fccf839df
1497538235000,48.1502911,11.566892,8,,903d185fccf839df
1497538236000,48.1502911,11.566892,4,,903d185fccf839df
1497538237000,48.1502911,11.566892,6,,903d185fccf839df
1497538238000,48.1502911,11.566892,6,,903d185fccf839df
1497538239000,48.1502911,11.566892,12,,903d185fccf839df
1497538240000,48.1502911,11.566892,12,,903d185fccf839df
1497538241000,48.1502911,11.566892,12,,903d185fccf839df
1497538242000,48.1502911,11.566892,16,,903d185fccf839df
1497538243000,48.1502911,11.566892,12,,903d185fccf839df
1497538244000,48.1502911,11.566892,8,,903d185fccf839df
1497538245000,48.1502911,11.566892,12,,903d185fccf839df
1497538246000,48.1502911,11.566892,6,,903d185fccf839df
1497538247000,48.1502911,11.566892,8,,903d185fccf839df
1497538248000,48.1502952,11.5669019,4,,903d185fccf839df
1497538249000,48.1502977,11.5669112,8,,903d185fccf839df
1497538250000,48.1502982,11.5669233,12,,903d185fccf839df
1497538251000,48.1502976,11.5669371,12,,903d185fccf839df
1497538252000,48.1502971,11.5669509,12,,903d185fccf839df
1497538253000,48.1502963,11.5669647,8,,903d185fccf839df
1497538254000,48.1502955,11.5669773,12,,903d185fccf839df
1497538255000,48.1502907,11.566993,12,,903d185fccf839df
1497538256000,48.1502893,11.56701,12,,903d185fccf839df
1497538257000,48.1502857,11.5670227,12,,903d185fccf839df
1497538258000,48.150282,11.567031,16,,903d185fccf839df
1497538259000,48.1502756,11.5670445,16,,903d185fccf839df
1497538260000,48.1502719,11.5670585,8,,903d185fccf839df
1497538261000,48.1502636,11.5670723,8,,903d185fccf839df
1497538262000,48.1502548,11.5670832,12,,903d185fccf839df
1497538263000,48.1502501,11.5671011,12,,903d185fccf839df
1497538264000,48.1502399,11.567118,8,,903d185fccf839df
1497538265000,48.1502256,11.567132,16,,903d185fccf839df
1497538266000,48.1502175,11.5671441,16,,903d185fccf839df
1497538267000,48.150211,11.5671616,16,,903d185fccf839df
1497538268000,48.1501931,11.5672071,16,,903d185fccf839df
1497538269000,48.15019,11.5672194,16,,903d185fccf839df
1497538270000,48.1501851,11.5672333,8,,903d185fccf839df
1497538271000,48.1501802,11.5672473,16,,903d185fccf839df
1497538272000,48.1501774,11.5672636,16,,903d185fccf839df
1497538273000,48.1501784,11.5672776,16,,903d185fccf839df
1497538274000,48.1501806,11.5672912,16,,903d185fccf839df
1497538275000,48.1501803,11.5673019,8,,903d185fccf839df
1497538276000,48.1501796,11.5673141,12,,903d185fccf839df
1497538277000,48.1501796,11.5673281,16,,903d185fccf839df
1497538278000,48.1501834,11.5673423,16,,903d185fccf839df
1497538279000,48.1501841,11.5673537,16,,903d185fccf839df
1497538280000,48.1501849,11.5673706,16,,903d185fccf839df
1497538281000,48.1501865,11.567385,16,,903d185fccf839df
1497538282000,48.1501865,11.5673851,12,,903d185fccf839df
1497538283000,48.1501865,11.5673851,16,,903d185fccf839df
1497538284000,48.1501865,11.5673851,16,,903d185fccf839df
1497538285000,48.1501836,11.5673895,8,,903d185fccf839df
1497538286000,48.1501831,11.5673919,8,,903d185fccf839df
1497538287000,48.1501823,11.5673952,16,,903d185fccf839df
1497538288000,48.1501739,11.5674072,8,,903d185fccf839df
1497538289000,48.150166,11.5674195,16,,903d185fccf839df
1497538290000,48.1501588,11.5674273,16,,903d185fccf839df
1497538291000,48.1501523,11.5674353,8,,903d185fccf839df
1497538292000,48.1501484,11.5674449,12,,903d185fccf839df
1497538293000,48.1501443,11.5674536,24,,903d185fccf839df
1497538294000,48.1501357,11.5674648,24,,903d185fccf839df
1497538295000,48.1501354,11.5674753,24,,903d185fccf839df
1497538296000,48.1501335,11.5674953,24,,903d185fccf839df
1497538297000,48.150123,11.5675406,24,,903d185fccf839df
1497538298000,48.1501083,11.5676018,16,,903d185fccf839df
1497538299000,48.1501061,11.5676303,16,,903d185fccf839df
1497538300000,48.1501078,11.5676397,16,,903d185fccf839df
1497538301000,48.1501066,11.5676563,16,,903d185fccf839df
1497538302000,48.1501046,11.5676709,12,,903d185fccf839df
1497538303000,48.150097,11.5676867,12,,903d185fccf839df
1497538304000,48.1500948,11.5677007,12,,903d185fccf839df
1497538305000,48.1500944,11.56772,24,,903d185fccf839df
1497538306000,48.1500902,11.5677756,16,,903d185fccf839df
1497538307000,48.1500893,11.5677946,16,,903d185fccf839df
1497538308000,48.1500759,11.567852,16,,903d185fccf839df
1497538309000,48.1500713,11.5678691,12,,903d185fccf839df
1497538310000,48.1500622,11.5678889,12,,903d185fccf839df
1497538311000,48.150055,11.5679053,12,,903d185fccf839df
1497538312000,48.1500495,11.567918,12,,903d185fccf839df
1497538313000,48.1500332,11.5679625,12,,903d185fccf839df
1497538314000,48.1500163,11.5680041,12,,903d185fccf839df
1497538315000,48.1500128,11.5680162,12,,903d185fccf839df
1497538316000,48.1500102,11.5680313,12,,903d185fccf839df
1497538317000,48.150008,11.5680441,12,,903d185fccf839df
1497538318000,48.1500036,11.5680565,12,,903d185fccf839df
1497538319000,48.1499988,11.5680703,12,,903d185fccf839df
1497538320000,48.1500007,11.5680839,12,,903d185fccf839df
1497538321000,48.1500002,11.5680954,8,,903d185fccf839df
1497538322000,48.1499971,11.5681122,12,,903d185fccf839df
1497538323000,48.1499975,11.5681252,12,,903d185fccf839df
1497538324000,48.1499927,11.5681407,12,,903d185fccf839df
1497538325000,48.1499876,11.5681541,12,,903d185fccf839df
1497538326000,48.1499884,11.5681663,12,,903d185fccf839df
1497538327000,48.1499892,11.5681816,12,,903d185fccf839df
1497538328000,48.1499908,11.5682394,16,,903d185fccf839df
1497538329000,48.1499826,11.5682947,16,,903d185fccf839df
1497538330000,48.1499823,11.5683089,16,,903d185fccf839df
1497538331000,48.1499828,11.5683241,12,,903d185fccf839df
1497538332000,48.149983,11.568337,16,,903d185fccf839df
1497538333000,48.1499779,11.5683538,16,,903d185fccf839df
1497538334000,48.1499756,11.5683722,16,,903d185fccf839df
1497538335000,48.1499732,11.5683972,16,,903d185fccf839df
1497538336000,48.1499586,11.5684572,12,,903d185fccf839df
