timestamp, latitude, longitude, accuracy, UUID 
1498057718515,48.1577549,11.5674136,19.597999572753906,,903d185fccf839df
1498057721410,48.1576574,11.5670242,16,,903d185fccf839df
1498057722426,48.1576515,11.5670518,32,,903d185fccf839df
1498057723426,48.1576515,11.5670654,24,,903d185fccf839df
1498057724426,48.1576428,11.5670978,24,,903d185fccf839df
1498057725426,48.1576392,11.5671293,24,,903d185fccf839df
1498057726426,48.1576248,11.5671545,16,,903d185fccf839df
1498057727426,48.1575935,11.5671703,16,,903d185fccf839df
1498057728468,48.1576132,11.5672122,16,,903d185fccf839df
1498057729468,48.157626,11.5672864,16,,903d185fccf839df
1498057730999,48.1576335,11.5674067,12,,903d185fccf839df
1498057731999,48.1576345,11.5674451,12,,903d185fccf839df
1498057732999,48.1576464,11.5674806,12,,903d185fccf839df
1498057733999,48.1576458,11.567503,12,,903d185fccf839df
1498057734999,48.1576325,11.5675222,12,,903d185fccf839df
1498057735999,48.157613,11.5675485,12,,903d185fccf839df
1498057736999,48.1575992,11.567564,12,,903d185fccf839df
1498057737999,48.1575862,11.567579,12,,903d185fccf839df
1498057738999,48.1575648,11.5675873,12,,903d185fccf839df
1498057739999,48.1575435,11.5675975,12,,903d185fccf839df
1498057740999,48.1575248,11.5675982,12,,903d185fccf839df
1498057741999,48.15751,11.5675986,12,,903d185fccf839df
1498057742999,48.1574918,11.567603,8,,903d185fccf839df
1498057743999,48.1574738,11.5676059,8,,903d185fccf839df
1498057744999,48.1574619,11.5676042,8,,903d185fccf839df
1498057745999,48.1574468,11.5676058,8,,903d185fccf839df
1498057746999,48.1574292,11.5676003,8,,903d185fccf839df
1498057747999,48.157413,11.5675988,8,,903d185fccf839df
1498057748999,48.1573949,11.5675893,8,,903d185fccf839df
1498057749999,48.15738,11.567584,8,,903d185fccf839df
1498057750999,48.1573654,11.5675797,8,,903d185fccf839df
1498057751999,48.1573547,11.5675773,8,,903d185fccf839df
1498057752999,48.1573462,11.5675694,8,,903d185fccf839df
1498057753999,48.1573359,11.5675634,8,,903d185fccf839df
1498057754999,48.1573233,11.5675629,8,,903d185fccf839df
1498057755999,48.157311,11.5675627,8,,903d185fccf839df
1498057756999,48.1572964,11.567561,8,,903d185fccf839df
1498057757999,48.1572813,11.5675571,12,,903d185fccf839df
1498057758999,48.1572682,11.5675574,8,,903d185fccf839df
1498057759999,48.1572572,11.5675583,12,,903d185fccf839df
1498057760999,48.1572451,11.5675574,12,,903d185fccf839df
1498057761999,48.1572319,11.5675523,12,,903d185fccf839df
1498057762999,48.1572223,11.5675469,12,,903d185fccf839df
1498057763999,48.1572106,11.5675435,8,,903d185fccf839df
1498057764999,48.1571977,11.5675396,16,,903d185fccf839df
1498057765999,48.1571856,11.5675368,16,,903d185fccf839df
1498057766999,48.1571764,11.5675346,12,,903d185fccf839df
1498057767999,48.1571659,11.5675287,12,,903d185fccf839df
1498057768999,48.1571568,11.5675237,16,,903d185fccf839df
1498057769999,48.1571472,11.5675183,16,,903d185fccf839df
1498057770999,48.1571372,11.5675104,8,,903d185fccf839df
1498057771999,48.1571263,11.5675036,8,,903d185fccf839df
1498057772999,48.1571136,11.5674972,12,,903d185fccf839df
1498057773999,48.1571009,11.5674937,12,,903d185fccf839df
1498057774999,48.1570884,11.5674904,12,,903d185fccf839df
1498057775999,48.1570755,11.5674868,8,,903d185fccf839df
1498057776999,48.157065,11.5674839,8,,903d185fccf839df
1498057777999,48.1570555,11.5674809,12,,903d185fccf839df
1498057778999,48.1570236,11.5674733,12,,903d185fccf839df
1498057779999,48.1570139,11.5674704,24,,903d185fccf839df
1498057780999,48.1569803,11.5674549,16,,903d185fccf839df
1498057781999,48.1569708,11.5674521,16,,903d185fccf839df
1498057782999,48.1569595,11.5674473,16,,903d185fccf839df
1498057783999,48.1569468,11.5674446,12,,903d185fccf839df
1498057784999,48.1569338,11.5674417,12,,903d185fccf839df
1498057785999,48.1569001,11.5674292,12,,903d185fccf839df
1498057786999,48.156885,11.5674243,12,,903d185fccf839df
1498057787999,48.1568696,11.56742,12,,903d185fccf839df
1498057788999,48.156856,11.567418,12,,903d185fccf839df
1498057789999,48.1568441,11.5674181,12,,903d185fccf839df
1498057790999,48.1568337,11.5674189,12,,903d185fccf839df
1498057791999,48.1568213,11.5674203,8,,903d185fccf839df
1498057792999,48.1568106,11.5674261,6,,903d185fccf839df
1498057793999,48.1567982,11.5674334,8,,903d185fccf839df
1498057794999,48.156786,11.5674378,12,,903d185fccf839df
1498057795999,48.1567747,11.5674409,8,,903d185fccf839df
1498057796999,48.1567638,11.5674417,8,,903d185fccf839df
1498057797999,48.156753,11.5674382,12,,903d185fccf839df
1498057798999,48.1567434,11.5674312,12,,903d185fccf839df
1498057799999,48.1567358,11.5674205,8,,903d185fccf839df
1498057800999,48.1567294,11.5674097,16,,903d185fccf839df
1498057801999,48.1567251,11.5674,6,,903d185fccf839df
1498057802999,48.1567215,11.5673925,16,,903d185fccf839df
1498057803999,48.1567215,11.5673924,8,,903d185fccf839df
1498057804999,48.1567215,11.5673924,12,,903d185fccf839df
1498057805999,48.1567168,11.5673884,6,,903d185fccf839df
1498057806999,48.1567082,11.5673822,8,,903d185fccf839df
1498057807999,48.1566992,11.5673738,8,,903d185fccf839df
1498057808999,48.1566888,11.5673644,8,,903d185fccf839df
1498057809999,48.1566785,11.5673543,8,,903d185fccf839df
1498057810999,48.1566714,11.5673508,12,,903d185fccf839df
1498057811999,48.1566654,11.5673496,8,,903d185fccf839df
1498057812999,48.1566592,11.5673487,8,,903d185fccf839df
1498057813999,48.156653,11.5673469,8,,903d185fccf839df
1498057814999,48.156645,11.5673457,8,,903d185fccf839df
1498057815999,48.1566361,11.5673437,6,,903d185fccf839df
1498057816999,48.1566277,11.5673432,8,,903d185fccf839df
1498057817999,48.1566165,11.5673451,16,,903d185fccf839df
1498057818999,48.1566045,11.5673462,12,,903d185fccf839df
1498057819999,48.1565932,11.5673471,12,,903d185fccf839df
1498057820999,48.1565821,11.5673483,12,,903d185fccf839df
1498057821999,48.1565735,11.5673477,16,,903d185fccf839df
1498057822999,48.1565661,11.567344,12,,903d185fccf839df
1498057823999,48.1565593,11.5673392,24,,903d185fccf839df
1498057824999,48.1565507,11.5673359,16,,903d185fccf839df
1498057825999,48.1565431,11.5673326,8,,903d185fccf839df
1498057826999,48.1565431,11.5673326,24,,903d185fccf839df
1498057827999,48.156536,11.5673325,12,,903d185fccf839df
1498057828999,48.1565296,11.5673298,12,,903d185fccf839df
1498057829999,48.1565224,11.5673264,16,,903d185fccf839df
1498057830999,48.1565156,11.5673233,16,,903d185fccf839df
1498057831999,48.1565095,11.5673214,16,,903d185fccf839df
1498057832999,48.1565025,11.5673194,24,,903d185fccf839df
1498057833999,48.1564961,11.5673167,24,,903d185fccf839df
1498057834999,48.1564954,11.5673208,24,,903d185fccf839df
1498057868965,48.1564954,11.5673208,24,,903d185fccf839df
1498057874017,48.1564954,11.5673208,24,,903d185fccf839df
1498057879104,48.1564954,11.5673208,24,,903d185fccf839df
1498057892811,48.1567691,11.5671492,500,,903d185fccf839df
1498057897815,48.1567691,11.5671492,500,,903d185fccf839df
1498057907978,48.1692513,11.5681689,1700,,903d185fccf839df
1498057910236,48.1692513,11.5681689,1700,,903d185fccf839df
1498057912989,48.1692513,11.5681689,1700,,903d185fccf839df
1498057918010,48.1692513,11.5681689,1700,,903d185fccf839df
1498057923095,48.1692513,11.5681689,1700,,903d185fccf839df
1498057928088,48.1692513,11.5681689,1700,,903d185fccf839df
1498057933112,48.1692513,11.5681689,1700,,903d185fccf839df
1498057938156,48.1692513,11.5681689,1700,,903d185fccf839df
1498057943841,48.1692513,11.5681689,1700,,903d185fccf839df
1498057948166,48.1692513,11.5681689,1700,,903d185fccf839df
1498057953186,48.1692513,11.5681689,1700,,903d185fccf839df
1498057958199,48.1692513,11.5681689,1700,,903d185fccf839df
1498057963205,48.1692513,11.5681689,1700,,903d185fccf839df
1498057968260,48.1692513,11.5681689,1700,,903d185fccf839df
1498057973254,48.1692513,11.5681689,1700,,903d185fccf839df
1498057978266,48.1692513,11.5681689,1700,,903d185fccf839df
1498057983282,48.1692513,11.5681689,1700,,903d185fccf839df
1498057988283,48.1692513,11.5681689,1700,,903d185fccf839df
1498057993306,48.1692513,11.5681689,1700,,903d185fccf839df
1498057998387,48.1692513,11.5681689,1700,,903d185fccf839df
1498058004697,48.151341,11.5642523,110,,903d185fccf839df
1498058009371,48.151341,11.5642523,135.60000610351562,,903d185fccf839df
1498058014697,48.151289,11.5642076,64.0999984741211,,903d185fccf839df
1498058019725,48.151341,11.5642523,42.5,,903d185fccf839df
1498058024753,48.151341,11.5642523,48.900001525878906,,903d185fccf839df
1498058029788,48.151341,11.5642523,32.099998474121094,,903d185fccf839df
1498058034790,48.151341,11.5642523,32.099998474121094,,903d185fccf839df
1498058039830,48.151341,11.5642523,20,,903d185fccf839df
1498058044833,48.1512969,11.5642134,19.329999923706055,,903d185fccf839df
1498058050212,48.1512969,11.5642134,19.336999893188477,,903d185fccf839df
1498058060275,48.1512616,11.5641732,20.43899917602539,,903d185fccf839df
1498058065278,48.1512075,11.5641251,19.43400001525879,,903d185fccf839df
1498058070999,48.1510993,11.5643295,12,,903d185fccf839df
1498058071074,48.1510993,11.5643295,19.17099952697754,,903d185fccf839df
1498058074000,48.1510982,11.564331,12,,903d185fccf839df
1498058075000,48.1510994,11.5643309,16,,903d185fccf839df
1498058076000,48.1510994,11.5643308,8,,903d185fccf839df
1498058077000,48.1510994,11.5643308,8,,903d185fccf839df
1498058078000,48.1510994,11.5643308,8,,903d185fccf839df
1498058079000,48.1510994,11.5643308,8,,903d185fccf839df
1498058080000,48.1510994,11.5643308,12,,903d185fccf839df
1498058081000,48.1510994,11.5643308,12,,903d185fccf839df
1498058082000,48.1510966,11.564339,8,,903d185fccf839df
1498058083000,48.1510945,11.564348,8,,903d185fccf839df
1498058084000,48.1510959,11.5643473,16,,903d185fccf839df
1498058085000,48.1510972,11.5643473,16,,903d185fccf839df
1498058086000,48.1510955,11.5643556,16,,903d185fccf839df
1498058087000,48.1510955,11.5643556,16,,903d185fccf839df
1498058088000,48.1510955,11.5643556,24,,903d185fccf839df
1498058089000,48.1510955,11.5643556,12,,903d185fccf839df
1498058090000,48.1510955,11.5643556,16,,903d185fccf839df
1498058091000,48.1510955,11.5643556,16,,903d185fccf839df
1498058092000,48.1510955,11.5643556,16,,903d185fccf839df
1498058093000,48.1510955,11.5643556,16,,903d185fccf839df
1498058094000,48.1510955,11.5643556,12,,903d185fccf839df
1498058095000,48.1510889,11.5643567,16,,903d185fccf839df
1498058096000,48.1510899,11.5643787,16,,903d185fccf839df
1498058097000,48.1510941,11.5644081,12,,903d185fccf839df
1498058098000,48.1511036,11.5644719,12,,903d185fccf839df
1498058099000,48.1511117,11.5645307,12,,903d185fccf839df
1498058100000,48.1511288,11.5645879,12,,903d185fccf839df
1498058101000,48.1511364,11.5646409,16,,903d185fccf839df
1498058102000,48.1511358,11.5646562,16,,903d185fccf839df
1498058103000,48.1511291,11.5647102,16,,903d185fccf839df
1498058104000,48.1511253,11.5647236,16,,903d185fccf839df
1498058105000,48.1511237,11.564738,8,,903d185fccf839df
1498058106000,48.1511227,11.5647504,12,,903d185fccf839df
1498058107000,48.1511226,11.5647505,12,,903d185fccf839df
1498058108000,48.1511201,11.5647615,16,,903d185fccf839df
1498058109000,48.1511148,11.5647803,16,,903d185fccf839df
1498058110000,48.1510958,11.5648268,16,,903d185fccf839df
1498058111000,48.1510809,11.564874,16,,903d185fccf839df
1498058112000,48.1510774,11.5648866,8,,903d185fccf839df
1498058113000,48.1510643,11.5649193,16,,903d185fccf839df
1498058114000,48.1510596,11.5649343,16,,903d185fccf839df
1498058115000,48.1510556,11.5649477,12,,903d185fccf839df
1498058116000,48.1510509,11.5649601,24,,903d185fccf839df
1498058117000,48.1510459,11.5649809,24,,903d185fccf839df
1498058118000,48.151041,11.5650102,24,,903d185fccf839df
1498058119000,48.1510387,11.5650237,24,,903d185fccf839df
1498058120000,48.1510317,11.5650754,12,,903d185fccf839df
1498058121000,48.1510274,11.5650936,12,,903d185fccf839df
1498058122000,48.1510178,11.5651503,12,,903d185fccf839df
1498058123000,48.1510141,11.5651651,12,,903d185fccf839df
1498058124000,48.1510096,11.565179,8,,903d185fccf839df
