timestamp, latitude, longitude, accuracy, UUID 
1496161481648,48.1510328,11.5648771,19.56399917602539,,903d185fccf839df
1496161481862,48.1510328,11.5648771,19.56399917602539,,903d185fccf839df
1496161486884,48.1510328,11.5648771,19.56399917602539,,903d185fccf839df
1496161488803,48.1511997,11.5649102,16,,903d185fccf839df
1496161488391,48.1511997,11.5649102,25.05699920654297,,903d185fccf839df
1496161489788,48.1511902,11.5649278,24,,903d185fccf839df
1496161490758,48.1511758,11.5649353,16,,903d185fccf839df
1496161491758,48.1511673,11.5649463,16,,903d185fccf839df
1496161492999,48.1511546,11.5649662,16,,903d185fccf839df
1496161493999,48.1511388,11.564979,12,,903d185fccf839df
1496161494999,48.1511214,11.5649974,12,,903d185fccf839df
1496161495999,48.1511031,11.5650115,12,,903d185fccf839df
1496161496999,48.1510938,11.5650254,12,,903d185fccf839df
1496161496593,48.1510938,11.5650254,13.758999824523926,,903d185fccf839df
1496161497999,48.1510926,11.5650363,8,,903d185fccf839df
1496161498999,48.1510882,11.5650614,8,,903d185fccf839df
1496161499999,48.1510828,11.5650824,8,,903d185fccf839df
1496161500999,48.1510636,11.5651038,8,,903d185fccf839df
1496161501999,48.1510559,11.5651216,8,,903d185fccf839df
1496161502999,48.1510536,11.5651349,8,,903d185fccf839df
1496161503999,48.1510529,11.565151,8,,903d185fccf839df
1496161504999,48.1510515,11.5651626,8,,903d185fccf839df
1496161505999,48.1510465,11.565175,8,,903d185fccf839df
1496161506999,48.1510418,11.5651872,8,,903d185fccf839df
1496161507999,48.151033,11.5651931,8,,903d185fccf839df
1496161508999,48.1510252,11.5652043,8,,903d185fccf839df
1496161509999,48.1510211,11.5652142,8,,903d185fccf839df
1496161510999,48.1510211,11.5652142,8,,903d185fccf839df
1496161511999,48.1510211,11.5652142,8,,903d185fccf839df
1496161512999,48.1510211,11.5652142,8,,903d185fccf839df
1496161513999,48.1510211,11.5652142,12,,903d185fccf839df
1496161514999,48.1509993,11.5652484,12,,903d185fccf839df
1496161515999,48.1509859,11.5652763,12,,903d185fccf839df
1496161516999,48.1509859,11.5652763,8,,903d185fccf839df
1496161517999,48.1509769,11.565319,12,,903d185fccf839df
